MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-06-16 19:15:35,1.8.1,yhc210607,2,4.02,1,1,Left,Left,23,5,7,0,,,0.15
2021-06-16 19:15:36,1.8.1,yhc210607,2,4.03,1,1,Pellet,Left,23,5,8,1,0.49,2877.0,
2021-06-16 19:15:53,1.8.1,yhc210607,2,4.02,1,1,Left,Left,24,5,8,1,,,0.09
2021-06-16 19:15:54,1.8.1,yhc210607,2,4.03,1,1,Pellet,Left,24,5,9,2,0.49,18.0,
2021-06-16 19:16:25,1.8.1,yhc210607,2,4.02,1,2,Left,Left,25,5,9,2,,,0.07
2021-06-16 19:16:26,1.8.1,yhc210607,2,4.03,1,2,Left,Left,26,5,9,2,,,0.07
2021-06-16 19:16:27,1.8.1,yhc210607,2,4.03,1,2,Pellet,Left,26,5,10,3,0.42,33.0,
2021-06-16 19:16:57,1.8.1,yhc210607,2,4.03,1,2,Left,Left,27,5,10,3,,,0.32
2021-06-16 19:16:58,1.8.1,yhc210607,2,4.03,1,2,Left,Left,28,5,10,3,,,0.08
2021-06-16 19:17:21,1.8.1,yhc210607,2,4.03,3,2,Pellet,Left,28,5,11,4,17.53,53.0,
2021-06-16 19:17:47,1.8.1,yhc210607,2,4.03,1,3,Left,Left,29,5,11,4,,,0.17
2021-06-16 19:17:48,1.8.1,yhc210607,2,4.03,1,3,Left,Left,30,5,11,4,,,0.03
2021-06-16 19:17:50,1.8.1,yhc210607,2,4.03,1,3,Left,Left,31,5,11,4,,,0.24
2021-06-16 19:17:51,1.8.1,yhc210607,2,4.03,1,3,Pellet,Left,31,5,12,5,0.18,30.0,
2021-06-16 19:17:58,1.8.1,yhc210607,2,4.03,1,4,Left,Left,32,5,12,5,,,0.21
2021-06-16 19:17:59,1.8.1,yhc210607,2,4.03,1,4,Left,Left,33,5,12,5,,,0.38
2021-06-16 19:18:01,1.8.1,yhc210607,2,4.03,1,4,Left,Left,34,5,12,5,,,0.57
2021-06-16 19:18:03,1.8.1,yhc210607,2,4.03,1,4,Left,Left,35,5,12,5,,,0.42
2021-06-16 19:18:04,1.8.1,yhc210607,2,4.02,1,4,Pellet,Left,35,5,13,6,0.18,14.0,
2021-06-16 19:18:31,1.8.1,yhc210607,2,4.03,1,5,Left,Left,36,5,13,6,,,0.56
2021-06-16 19:18:33,1.8.1,yhc210607,2,4.03,1,5,Left,Left,37,5,13,6,,,0.4
2021-06-16 19:18:34,1.8.1,yhc210607,2,4.03,1,5,Left,Left,38,5,13,6,,,0.0
2021-06-16 19:18:36,1.8.1,yhc210607,2,4.03,1,5,Left,Left,39,5,13,6,,,0.09
2021-06-16 19:18:38,1.8.1,yhc210607,2,4.03,1,5,Left,Left,40,5,13,6,,,0.28
2021-06-16 19:18:38,1.8.1,yhc210607,2,4.03,1,5,Pellet,Left,40,5,14,7,0.18,34.0,
2021-06-16 19:19:09,1.8.1,yhc210607,2,4.03,1,6,Left,Left,41,5,14,7,,,0.06
2021-06-16 19:19:12,1.8.1,yhc210607,2,4.03,1,6,Left,Left,42,5,14,7,,,0.36
2021-06-16 19:19:13,1.8.1,yhc210607,2,4.03,1,6,Left,Left,43,5,14,7,,,0.0
2021-06-16 19:19:15,1.8.1,yhc210607,2,4.03,1,6,Left,Left,44,5,14,7,,,0.68
2021-06-16 19:19:18,1.8.1,yhc210607,2,4.03,1,6,Left,Left,45,5,14,7,,,0.67
2021-06-16 19:19:19,1.8.1,yhc210607,2,4.03,1,6,Left,Left,46,5,14,7,,,0.35
2021-06-16 19:19:20,1.8.1,yhc210607,2,4.02,2,6,Pellet,Left,46,5,15,8,0.06,42.0,
2021-06-16 19:30:57,1.8.1,yhc210607,2,4.03,1,7,Left,Left,47,5,15,8,,,0.06
2021-06-16 19:31:01,1.8.1,yhc210607,2,4.03,1,7,Left,Left,48,5,15,8,,,0.05
2021-06-16 19:31:03,1.8.1,yhc210607,2,4.03,1,7,Left,Left,49,5,15,8,,,0.19
2021-06-16 19:31:06,1.8.1,yhc210607,2,4.03,1,7,Left,Left,50,5,15,8,,,0.09
2021-06-16 19:31:07,1.8.1,yhc210607,2,4.03,1,7,Left,Left,51,5,15,8,,,0.49
