MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-06-13 16:27:28,1.8.1,yhc210607,6,3.91,1,1,Right,Left,6762,332,493,0,,,0.0
2021-06-13 16:58:37,1.8.1,yhc210607,6,3.9,1,1,Left,Left,6763,332,493,0,,,0.09
2021-06-13 16:58:39,1.8.1,yhc210607,6,3.91,1,1,Pellet,Left,6763,332,494,1,0.85,44310.0,
2021-06-13 16:59:42,1.8.1,yhc210607,6,3.91,1,1,Left,Left,6764,332,494,1,,,0.1
2021-06-13 16:59:44,1.8.1,yhc210607,6,3.9,2,1,Pellet,Left,6764,332,495,2,0.49,66.0,
2021-06-13 17:00:16,1.8.1,yhc210607,6,3.91,1,2,Left,Left,6765,332,495,2,,,0.04
2021-06-13 17:00:18,1.8.1,yhc210607,6,3.91,1,2,Left,Left,6766,332,495,2,,,0.19
2021-06-13 17:00:20,1.8.1,yhc210607,6,3.89,1,2,Pellet,Left,6766,332,496,3,0.42,35.0,
2021-06-13 17:02:25,1.8.1,yhc210607,6,3.89,1,2,Left,Left,6767,332,496,3,,,0.01
2021-06-13 17:02:31,1.8.1,yhc210607,6,3.9,1,2,Left,Left,6768,332,496,3,,,0.8
2021-06-13 17:02:52,1.8.1,yhc210607,6,3.91,4,2,Pellet,Left,6768,332,497,4,13.86,153.0,
2021-06-13 17:03:30,1.8.1,yhc210607,6,3.91,1,3,Right,Left,6768,333,497,4,,,0.01
2021-06-13 17:03:48,1.8.1,yhc210607,6,3.9,1,3,Left,Left,6769,333,497,4,,,0.12
2021-06-13 17:05:21,1.8.1,yhc210607,6,3.9,1,3,Right,Left,6769,334,497,4,,,0.24
2021-06-13 17:06:11,1.8.1,yhc210607,6,3.89,1,3,Left,Left,6770,334,497,4,,,0.11
2021-06-13 17:06:12,1.8.1,yhc210607,6,3.9,1,3,Left,Left,6771,334,497,4,,,0.17
2021-06-13 17:06:14,1.8.1,yhc210607,6,3.9,1,3,Pellet,Left,6771,334,498,5,1.22,202.0,
2021-06-13 17:06:35,1.8.1,yhc210607,6,3.9,1,4,Left,Left,6772,334,498,5,,,0.08
2021-06-13 17:07:23,1.8.1,yhc210607,6,3.9,1,4,Left,Left,6773,334,498,5,,,0.0
2021-06-13 17:07:24,1.8.1,yhc210607,6,3.9,1,4,Left,Left,6774,334,498,5,,,0.11
2021-06-13 17:08:54,1.8.1,yhc210607,6,3.9,1,4,Left,Left,6775,334,498,5,,,0.44
2021-06-13 17:09:06,1.8.1,yhc210607,6,3.9,7,4,Pellet,Left,6775,334,499,6,0.36,172.0,
2021-06-13 17:10:13,1.8.1,yhc210607,6,3.9,1,5,Left,Left,6776,334,499,6,,,0.2
2021-06-13 17:10:14,1.8.1,yhc210607,6,3.9,1,5,Left,Left,6777,334,499,6,,,0.02
2021-06-13 17:10:16,1.8.1,yhc210607,6,3.9,1,5,Left,Left,6778,334,499,6,,,0.42
2021-06-13 17:10:18,1.8.1,yhc210607,6,3.91,1,5,Left,Left,6779,334,499,6,,,0.17
2021-06-13 17:10:20,1.8.1,yhc210607,6,3.91,1,5,Left,Left,6780,334,499,6,,,0.97
2021-06-13 17:10:22,1.8.1,yhc210607,6,3.9,2,5,Pellet,Left,6780,334,500,7,0.06,76.0,
2021-06-13 17:10:33,1.8.1,yhc210607,6,3.9,1,6,Left,Left,6781,334,500,7,,,0.08
2021-06-13 17:10:34,1.8.1,yhc210607,6,3.91,1,6,Left,Left,6782,334,500,7,,,0.12
2021-06-13 17:10:40,1.8.1,yhc210607,6,3.9,1,6,Left,Left,6783,334,500,7,,,0.09
2021-06-13 17:10:42,1.8.1,yhc210607,6,3.9,1,6,Left,Left,6784,334,500,7,,,0.79
2021-06-13 17:10:44,1.8.1,yhc210607,6,3.9,1,6,Left,Left,6785,334,500,7,,,0.66
2021-06-13 17:10:45,1.8.1,yhc210607,6,3.9,1,6,Left,Left,6786,334,500,7,,,0.47
2021-06-13 17:10:47,1.8.1,yhc210607,6,3.9,2,6,Pellet,Left,6786,334,501,8,0.12,25.0,
2021-06-13 17:11:14,1.8.1,yhc210607,6,3.9,1,7,Left,Left,6787,334,501,8,,,0.03
2021-06-13 17:11:16,1.8.1,yhc210607,6,3.9,1,7,Left,Left,6788,334,501,8,,,0.08
2021-06-13 17:11:17,1.8.1,yhc210607,6,3.89,1,7,Left,Left,6789,334,501,8,,,0.13
2021-06-13 17:11:31,1.8.1,yhc210607,6,3.89,1,7,Left,Left,6790,334,501,8,,,0.03
2021-06-13 17:11:32,1.8.1,yhc210607,6,3.9,1,7,Left,Left,6791,334,501,8,,,0.26
2021-06-13 17:11:35,1.8.1,yhc210607,6,3.91,1,7,Left,Left,6792,334,501,8,,,0.49
2021-06-13 17:11:36,1.8.1,yhc210607,6,3.9,1,7,Left,Left,6793,334,501,8,,,0.45
2021-06-13 17:11:51,1.8.1,yhc210607,6,3.9,2,7,Pellet,Left,6793,334,502,9,11.87,64.0,
2021-06-13 17:12:33,1.8.1,yhc210607,6,3.9,1,9,Right,Left,6793,335,502,9,,,0.06
2021-06-13 17:12:50,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6794,335,502,9,,,0.04
2021-06-13 17:12:51,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6795,335,502,9,,,0.03
2021-06-13 17:12:52,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6796,335,502,9,,,0.04
2021-06-13 17:12:57,1.8.1,yhc210607,6,3.91,1,9,Left,Left,6797,335,502,9,,,0.1
2021-06-13 17:12:59,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6798,335,502,9,,,0.11
2021-06-13 17:13:01,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6799,335,502,9,,,0.08
2021-06-13 17:13:03,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6800,335,502,9,,,0.56
2021-06-13 17:14:39,1.8.1,yhc210607,6,3.9,1,9,Right,Left,6800,336,502,9,,,0.09
2021-06-13 17:14:46,1.8.1,yhc210607,6,3.91,1,9,Right,Left,6800,337,502,9,,,0.61
2021-06-13 17:14:48,1.8.1,yhc210607,6,3.9,1,9,Right,Left,6800,338,502,9,,,0.47
2021-06-13 17:15:01,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6801,338,502,9,,,0.05
2021-06-13 17:15:02,1.8.1,yhc210607,6,3.9,1,9,Left,Left,6802,338,502,9,,,0.03
2021-06-13 17:15:04,1.8.1,yhc210607,6,3.91,1,9,Pellet,Left,6802,338,503,10,1.35,193.0,
2021-06-13 17:15:52,1.8.1,yhc210607,6,3.9,1,10,Left,Left,6803,338,503,10,,,0.05
2021-06-13 17:15:55,1.8.1,yhc210607,6,3.89,1,10,Left,Left,6804,338,503,10,,,0.05
2021-06-13 17:15:56,1.8.1,yhc210607,6,3.9,1,10,Left,Left,6805,338,503,10,,,0.04
2021-06-13 17:15:59,1.8.1,yhc210607,6,3.9,1,10,Left,Left,6806,338,503,10,,,0.37
2021-06-13 17:16:02,1.8.1,yhc210607,6,3.9,1,10,Left,Left,6807,338,503,10,,,0.09
2021-06-13 17:16:03,1.8.1,yhc210607,6,3.91,1,10,Left,Left,6808,338,503,10,,,0.1
2021-06-13 17:16:04,1.8.1,yhc210607,6,3.91,1,10,Left,Left,6809,338,503,10,,,0.06
2021-06-13 17:16:06,1.8.1,yhc210607,6,3.91,1,10,Left,Left,6810,338,503,10,,,0.04
2021-06-13 17:16:07,1.8.1,yhc210607,6,3.9,1,10,Left,Left,6811,338,503,10,,,0.08
2021-06-13 17:16:08,1.8.1,yhc210607,6,3.9,1,10,Left,Left,6812,338,503,10,,,0.08
2021-06-13 17:16:09,1.8.1,yhc210607,6,3.9,2,10,Pellet,Left,6812,338,504,11,0.06,65.0,
2021-06-13 17:16:24,1.8.1,yhc210607,6,3.9,1,12,Left,Left,6813,338,504,11,,,0.07
2021-06-13 17:16:25,1.8.1,yhc210607,6,3.9,1,12,Left,Left,6814,338,504,11,,,0.03
2021-06-13 17:16:26,1.8.1,yhc210607,6,3.9,1,12,Left,Left,6815,338,504,11,,,0.03
