MM:DD:YYYY hh:mm:ss,Library_Version,Prob_left,Prob_right,Battery_Voltage,Motor_Turns,PelletsToSwitch,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Session_type,Device_Number
2023-02-18 16:38:00,1.17.0,20,80,4.18,,30,Left,Right,1,0,0,0,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:40:00,1.17.0,20,80,4.19,,30,Left,Right,2,0,0,0,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:40:00,1.17.0,20,80,4.18,,30,Left,Right,3,0,0,0,,,0.25,,,,,Bandit,C:\Use
2023-02-18 16:42:00,1.17.0,20,80,4.19,,30,Left,Right,4,0,0,0,,,0.23,,,,,Bandit,C:\Use
2023-02-18 16:42:00,1.17.0,20,80,4.18,,30,Right,Right,4,1,0,0,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:42:00,1.17.0,20,80,4.19,3.0,30,Pellet,Right,4,1,1,0,1.51,,,,,,,Bandit,C:\Use
2023-02-18 16:43:00,1.17.0,20,80,4.19,,30,Left,Right,5,1,1,1,,,0.04,,,,,Bandit,C:\Use
2023-02-18 16:43:00,1.17.0,20,80,4.19,,30,Right,Right,5,2,1,1,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:43:00,1.17.0,20,80,4.19,1.0,30,Pellet,Right,5,2,2,1,0.25,75.0,,,,,,Bandit,C:\Use
2023-02-18 16:44:00,1.17.0,20,80,4.19,,30,Left,Right,6,2,2,2,,,0.0,,,,,Bandit,C:\Use
2023-02-18 16:44:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,6,2,2,2,,,,,,,,Bandit,C:\Use
2023-02-18 16:44:00,1.17.0,20,80,4.18,,30,LeftinTimeOut,Right,6,2,2,2,,,,,,,,Bandit,C:\Use
2023-02-18 16:44:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,6,2,2,2,,,,,,,,Bandit,C:\Use
2023-02-18 16:44:00,1.17.0,20,80,4.19,,30,LeftinTimeOut,Right,6,2,2,2,,,,,,,,Bandit,C:\Use
