MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-09-15 15:37:21,1.17.0,Bandit,2,3.9,,30,80,20,Left,Left,1,0,0,0,,,0.14
2023-09-15 15:37:55,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,1,0,0,0,,,1.52
2023-09-15 15:37:56,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,1,0,0,0,,,0.03
2023-09-15 15:37:57,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,1,0,0,0,,,0.07
2023-09-15 15:38:03,1.17.0,Bandit,2,3.9,,30,80,20,RightWithPellet,Left,1,1,0,0,,,0.07
2023-09-15 15:40:19,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,1,1,0,0,,,0.68
2023-09-15 15:41:42,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,1,1,0,0,,,0.08
2023-09-15 15:43:34,1.17.0,Bandit,2,3.91,3.0,30,80,20,Pellet,Left,1,1,1,0,Timed_out,,
2023-09-15 16:00:12,1.17.0,Bandit,2,3.9,,30,80,20,Left,Left,2,1,1,1,,,0.56
2023-09-15 16:01:17,1.17.0,Bandit,2,3.9,1.0,30,80,20,Pellet,Left,2,1,2,1,Timed_out,1063.0,
2023-09-15 16:08:13,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,3,1,2,2,,,0.61
2023-09-15 16:08:14,1.17.0,Bandit,2,3.9,2.0,30,80,20,Pellet,Left,3,1,3,2,0.36,417.0,
2023-09-15 16:08:40,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,4,1,3,3,,,0.29
2023-09-15 16:08:41,1.17.0,Bandit,2,3.9,1.0,30,80,20,Pellet,Left,4,1,4,3,0.55,27.0,
2023-09-15 16:10:33,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,5,1,4,4,,,0.06
2023-09-15 16:10:34,1.17.0,Bandit,2,3.9,1.0,30,80,20,Pellet,Left,5,1,5,4,0.67,113.0,
2023-09-15 16:16:08,1.17.0,Bandit,2,3.9,,30,80,20,Left,Left,6,1,5,5,,,0.62
2023-09-15 16:19:16,1.17.0,Bandit,2,3.9,,30,80,20,RightWithPellet,Left,6,1,5,5,,,0.26
2023-09-15 16:19:26,1.17.0,Bandit,2,3.9,,30,80,20,RightWithPellet,Left,6,1,5,5,,,0.05
2023-09-15 16:19:27,1.17.0,Bandit,2,3.9,,30,80,20,RightWithPellet,Left,6,1,5,5,,,0.17
2023-09-15 16:19:44,1.17.0,Bandit,2,3.9,,30,80,20,RightWithPellet,Left,6,1,5,5,,,0.28
2023-09-15 16:19:49,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.07
2023-09-15 16:19:52,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.06
2023-09-15 16:19:53,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.24
2023-09-15 16:19:54,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.3
2023-09-15 16:19:56,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.66
2023-09-15 16:19:57,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.35
2023-09-15 16:19:59,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.87
2023-09-15 16:20:02,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.49
2023-09-15 16:20:03,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.02
2023-09-15 16:20:06,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.04
2023-09-15 16:20:09,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.71
2023-09-15 16:20:12,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.3
2023-09-15 16:20:13,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.04
2023-09-15 16:20:14,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.11
2023-09-15 16:20:16,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.31
2023-09-15 16:20:18,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.42
2023-09-15 16:20:19,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.17
2023-09-15 16:20:21,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.04
2023-09-15 16:20:22,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.17
2023-09-15 16:20:24,1.17.0,Bandit,2,3.9,,30,80,20,LeftWithPellet,Left,6,1,5,5,,,0.19
2023-09-15 16:20:28,1.17.0,Bandit,2,3.9,2.0,30,80,20,Pellet,Left,6,1,6,5,Timed_out,594.0,
2023-09-15 17:04:42,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,7,1,6,6,,,0.0
2023-09-15 17:04:44,1.17.0,Bandit,2,3.9,1.0,30,80,20,Pellet,Left,7,1,7,6,1.22,2656.0,
2023-09-15 17:21:37,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,8,1,7,7,,,0.29
2023-09-15 17:21:38,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,8,1,7,7,,,0.08
2023-09-15 17:21:40,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,8,1,8,7,2.29,1015.0,
2023-09-15 17:22:10,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,9,1,8,8,,,0.27
2023-09-15 17:22:13,1.17.0,Bandit,2,3.89,2.0,30,80,20,Pellet,Left,9,1,9,8,0.48,34.0,
2023-09-15 17:22:41,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,10,1,9,9,,,0.39
2023-09-15 17:22:56,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,10,1,10,9,14.05,43.0,
2023-09-15 17:23:22,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,11,1,10,10,,,0.1
2023-09-15 17:23:24,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,11,1,11,10,0.61,28.0,
2023-09-15 17:24:35,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,12,1,11,11,,,0.43
2023-09-15 17:24:37,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,12,1,12,11,0.73,73.0,
2023-09-15 17:24:56,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,13,1,12,12,,,0.18
2023-09-15 18:00:51,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,13,1,12,12,,,1.36
2023-09-15 18:00:54,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,13,1,13,12,Timed_out,2177.0,
2023-09-15 18:09:42,1.17.0,Bandit,2,3.9,,30,80,20,Left,Left,14,1,13,13,,,1.2
2023-09-15 18:09:44,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,14,1,14,13,1.16,530.0,
2023-09-15 18:10:11,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,15,1,14,14,,,0.22
2023-09-15 18:10:13,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,15,1,15,14,0.55,29.0,
2023-09-15 18:11:07,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,16,1,15,15,,,0.14
2023-09-15 18:11:13,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,17,1,15,15,,,0.38
2023-09-15 18:11:14,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,17,1,16,15,0.30,61.0,
2023-09-15 18:11:34,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,18,1,16,16,,,0.15
2023-09-15 18:11:35,1.17.0,Bandit,2,3.89,,30,80,20,LeftDuringDispense,Left,18,1,16,16,,,0.05
2023-09-15 18:11:38,1.17.0,Bandit,2,3.89,2.0,30,80,20,Pellet,Left,18,1,17,16,0.67,24.0,
2023-09-15 18:11:58,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,19,1,17,17,,,0.13
2023-09-15 18:12:00,1.17.0,Bandit,2,3.89,2.0,30,80,20,Pellet,Left,19,1,18,17,0.61,22.0,
2023-09-15 18:12:25,1.17.0,Bandit,2,3.9,,30,80,20,Left,Left,20,1,18,18,,,0.1
2023-09-15 18:12:25,1.17.0,Bandit,2,3.89,,30,80,20,LeftDuringDispense,Left,20,1,18,18,,,0.1
2023-09-15 18:12:47,1.17.0,Bandit,2,3.89,3.0,30,80,20,Pellet,Left,20,1,19,18,17.01,47.0,
2023-09-15 18:13:08,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,21,1,19,19,,,0.23
2023-09-15 18:13:08,1.17.0,Bandit,2,3.89,,30,80,20,LeftDuringDispense,Left,21,1,19,19,,,0.05
2023-09-15 18:13:11,1.17.0,Bandit,2,3.89,,30,80,20,LeftDuringDispense,Left,21,1,19,19,,,0.15
2023-09-15 18:13:11,1.17.0,Bandit,2,3.9,,30,80,20,LeftDuringDispense,Left,21,1,19,19,,,0.05
2023-09-15 18:13:14,1.17.0,Bandit,2,3.89,,30,80,20,LeftWithPellet,Left,21,1,19,19,,,0.09
2023-09-15 18:13:16,1.17.0,Bandit,2,3.89,3.0,30,80,20,Pellet,Left,21,1,20,19,1.75,29.0,
2023-09-15 18:13:30,1.17.0,Bandit,2,3.9,,30,80,20,Left,Left,22,1,20,20,,,0.1
2023-09-15 18:13:34,1.17.0,Bandit,2,3.89,2.0,30,80,20,Pellet,Left,22,1,21,20,0.91,18.0,
2023-09-15 18:14:42,1.17.0,Bandit,2,3.89,,30,80,20,Right,Left,22,2,21,21,,,0.02
2023-09-15 18:26:25,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,23,2,21,21,,,0.03
2023-09-15 18:26:25,1.17.0,Bandit,2,3.89,,30,80,20,LeftDuringDispense,Left,23,2,21,21,,,0.04
2023-09-15 18:26:29,1.17.0,Bandit,2,3.89,2.0,30,80,20,Pellet,Left,23,2,22,21,0.97,775.0,
2023-09-15 18:27:01,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,24,2,22,22,,,0.16
2023-09-15 18:27:02,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,24,2,23,22,0.36,33.0,
2023-09-15 18:27:30,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,25,2,23,23,,,0.23
2023-09-15 18:54:41,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,26,2,23,23,,,0.09
2023-09-15 18:54:47,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,27,2,23,23,,,0.24
2023-09-15 18:54:48,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,27,2,24,23,0.36,1666.0,
2023-09-15 18:55:12,1.17.0,Bandit,2,3.9,,30,80,20,Left,Left,28,2,24,24,,,0.05
2023-09-15 18:55:13,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,28,2,25,24,0.06,25.0,
2023-09-15 18:55:26,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,29,2,25,25,,,0.13
2023-09-15 18:55:28,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,29,2,26,25,0.73,15.0,
2023-09-15 18:56:09,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,30,2,26,26,,,0.11
2023-09-15 18:56:10,1.17.0,Bandit,2,3.89,1.0,30,80,20,Pellet,Left,30,2,27,26,0.55,42.0,
2023-09-15 18:56:38,1.17.0,Bandit,2,3.89,,30,80,20,Left,Left,31,2,27,27,,,0.34
