MM:DD:YYYY hh:mm:ss,Library_Version,Prob_left,Prob_right,Battery_Voltage,Motor_Turns,PelletsToSwitch,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Session_type,Device_Number
2023-06-12 18:33:30,1.17.0,20,80,3.9,,30,Left,Right,1,0,0,0,,,0.15,Bandit,C:\Use
2023-06-12 18:33:52,1.17.0,20,80,3.9,,30,Left,Right,2,0,0,0,,,0.0,Bandit,C:\Use
2023-06-12 18:34:09,1.17.0,20,80,3.9,,30,Left,Right,3,0,0,0,,,0.0,Bandit,C:\Use
2023-06-12 18:34:21,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,3,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:34:24,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,3,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:34:29,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,3,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:34:36,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,3,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:34:41,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,3,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:35:22,1.17.0,20,80,3.9,,30,Left,Right,4,0,0,0,,,0.0,Bandit,C:\Use
2023-06-12 18:35:28,1.17.0,20,80,3.89,,30,LeftinTimeOut,Right,4,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:45:44,1.17.0,20,80,3.89,,30,Left,Right,5,0,0,0,,,0.0,Bandit,C:\Use
2023-06-12 18:46:22,1.17.0,20,80,3.9,,30,Left,Right,6,0,0,0,,,0.0,Bandit,C:\Use
2023-06-12 18:46:24,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,6,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:46:28,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,6,0,0,0,,,,Bandit,C:\Use
2023-06-12 18:48:07,1.17.0,20,80,3.9,,30,Left,Right,7,0,0,0,,,0.0,Bandit,C:\Use
2023-06-12 18:48:15,1.17.0,20,80,3.89,3.0,30,Pellet,Right,7,0,1,0,0.67,,,Bandit,C:\Use
2023-06-12 18:48:44,1.17.0,20,80,3.9,,30,Left,Right,8,0,1,1,,,0.0,Bandit,C:\Use
2023-06-12 18:48:54,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,8,0,1,1,,,,Bandit,C:\Use
2023-06-12 18:49:01,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,8,0,1,1,,,,Bandit,C:\Use
2023-06-12 18:49:04,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,8,0,1,1,,,,Bandit,C:\Use
2023-06-12 18:49:06,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,8,0,1,1,,,,Bandit,C:\Use
2023-06-12 18:49:09,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,8,0,1,1,,,,Bandit,C:\Use
2023-06-12 18:49:23,1.17.0,20,80,3.89,,30,Left,Right,9,0,1,1,,,0.0,Bandit,C:\Use
2023-06-12 18:50:03,1.17.0,20,80,3.9,2.0,30,Pellet,Right,9,0,2,1,35.88,108.0,,Bandit,C:\Use
2023-06-12 18:50:25,1.17.0,20,80,3.9,,30,Left,Right,10,0,2,2,,,0.0,Bandit,C:\Use
2023-06-12 18:50:42,1.17.0,20,80,3.9,,30,Left,Right,11,0,2,2,,,0.0,Bandit,C:\Use
2023-06-12 18:50:46,1.17.0,20,80,3.9,1.0,30,Pellet,Right,11,0,3,2,0.30,43.0,,Bandit,C:\Use
2023-06-12 18:51:02,1.17.0,20,80,3.9,,30,Left,Right,12,0,3,3,,,0.19,Bandit,C:\Use
2023-06-12 18:51:11,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,12,0,3,3,,,,Bandit,C:\Use
2023-06-12 18:51:11,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,12,0,3,3,,,,Bandit,C:\Use
2023-06-12 18:51:12,1.17.0,20,80,3.89,,30,LeftinTimeOut,Right,12,0,3,3,,,,Bandit,C:\Use
2023-06-12 18:51:16,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,12,0,3,3,,,,Bandit,C:\Use
2023-06-12 18:51:20,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,12,0,3,3,,,,Bandit,C:\Use
2023-06-12 18:51:21,1.17.0,20,80,3.89,,30,LeftinTimeOut,Right,12,0,3,3,,,,Bandit,C:\Use
2023-06-12 18:51:24,1.17.0,20,80,3.9,,30,LeftinTimeOut,Right,12,0,3,3,,,,Bandit,C:\Use
