MM:DD:YYYY hh:mm:ss,Library_Version,Prob_left,Prob_right,Battery_Voltage,Motor_Turns,PelletsToSwitch,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Session_type,Device_Number
2023-03-31 19:33:32,1.17.0,20,80,3.73,,30,Right,Right,0,1,0,0,,,0.0,Bandit,C:\Use
2023-03-31 19:33:41,1.17.0,20,80,3.72,2.0,30,Pellet,Right,0,1,1,0,6.19,,,Bandit,C:\Use
2023-03-31 19:34:15,1.17.0,20,80,3.73,,30,Left,Right,1,1,1,1,,,0.0,Bandit,C:\Use
2023-03-31 19:38:10,1.17.0,20,80,3.73,,30,Left,Right,2,1,1,1,,,0.0,Bandit,C:\Use
2023-03-31 19:39:56,1.17.0,20,80,3.73,2.0,30,Pellet,Right,2,1,2,1,Timed_out,375.0,,Bandit,C:\Use
2023-03-31 19:55:11,1.17.0,20,80,3.73,,30,Right,Right,2,2,2,2,,,0.0,Bandit,C:\Use
2023-03-31 19:55:30,1.17.0,20,80,3.73,6.0,30,Pellet,Right,2,2,3,2,6.19,934.0,,Bandit,C:\Use
2023-03-31 20:07:35,1.17.0,20,80,3.73,,30,Right,Right,2,3,3,3,,,0.0,Bandit,C:\Use
2023-03-31 20:07:40,1.17.0,20,80,3.72,2.0,30,Pellet,Right,2,3,4,3,1.77,730.0,,Bandit,C:\Use
2023-03-31 20:27:55,1.17.0,20,80,3.73,,30,Left,Right,3,3,4,4,,,0.0,Bandit,C:\Use
2023-03-31 20:28:41,1.17.0,20,80,3.73,,30,Left,Right,4,3,4,4,,,0.0,Bandit,C:\Use
2023-03-31 20:29:24,1.17.0,20,80,3.72,,30,Left,Right,5,3,4,4,,,0.14,Bandit,C:\Use
2023-03-31 20:31:03,1.17.0,20,80,3.72,,30,Left,Right,6,3,4,4,,,0.2,Bandit,C:\Use
2023-03-31 20:33:05,1.17.0,20,80,3.72,,30,Left,Right,7,3,4,4,,,0.0,Bandit,C:\Use
2023-03-31 20:33:53,1.17.0,20,80,3.73,,30,Right,Right,7,4,4,4,,,0.41,Bandit,C:\Use
2023-03-31 20:33:58,1.17.0,20,80,3.73,1.0,30,Pellet,Right,7,4,5,4,2.44,1578.0,,Bandit,C:\Use
2023-03-31 20:34:36,1.17.0,20,80,3.73,,30,Left,Right,8,4,5,5,,,0.0,Bandit,C:\Use
2023-03-31 20:35:05,1.17.0,20,80,3.72,11.0,30,Pellet,Right,8,4,6,5,0.36,67.0,,Bandit,C:\Use
2023-03-31 20:35:34,1.17.0,20,80,3.73,,30,Left,Right,9,4,6,6,,,0.18,Bandit,C:\Use
2023-03-31 20:37:11,1.17.0,20,80,3.73,,30,Left,Right,10,4,6,6,,,0.0,Bandit,C:\Use
2023-03-31 20:37:40,1.17.0,20,80,3.73,,30,Left,Right,11,4,6,6,,,0.18,Bandit,C:\Use
2023-03-31 21:14:53,1.17.0,20,80,3.72,,30,Left,Right,12,4,6,6,,,0.11,Bandit,C:\Use
2023-03-31 21:15:38,1.17.0,20,80,3.72,,30,Left,Right,13,4,6,6,,,0.0,Bandit,C:\Use
2023-03-31 21:16:57,1.17.0,20,80,3.72,,30,Right,Right,13,5,6,6,,,0.0,Bandit,C:\Use
2023-03-31 21:17:06,1.17.0,20,80,3.72,4.0,30,Pellet,Right,13,5,7,6,1.77,2521.0,,Bandit,C:\Use
2023-03-31 21:17:29,1.17.0,20,80,3.72,,30,Left,Right,14,5,7,7,,,0.0,Bandit,C:\Use
2023-03-31 21:18:29,1.17.0,20,80,3.72,,30,Left,Right,15,5,7,7,,,0.07,Bandit,C:\Use
2023-03-31 21:18:56,1.17.0,20,80,3.72,,30,Right,Right,15,6,7,7,,,0.0,Bandit,C:\Use
2023-03-31 21:19:25,1.17.0,20,80,3.72,11.0,30,Pellet,Right,15,6,8,7,0.06,139.0,,Bandit,C:\Use
2023-03-31 21:20:44,1.17.0,20,80,3.72,,30,Left,Right,16,6,8,8,,,0.0,Bandit,C:\Use
2023-03-31 21:20:52,1.17.0,20,80,3.72,4.0,30,Pellet,Right,16,6,9,8,0.30,87.0,,Bandit,C:\Use
2023-03-31 21:21:53,1.17.0,20,80,3.72,,30,Left,Right,17,6,9,9,,,0.0,Bandit,C:\Use
2023-03-31 21:22:26,1.17.0,20,80,3.73,,30,Left,Right,18,6,9,9,,,0.36,Bandit,C:\Use
2023-03-31 21:23:33,1.17.0,20,80,3.72,,30,Right,Right,18,7,9,9,,,0.19,Bandit,C:\Use
2023-03-31 21:24:02,1.17.0,20,80,3.72,11.0,30,Pellet,Right,18,7,10,9,0.06,190.0,,Bandit,C:\Use
2023-03-31 21:24:28,1.17.0,20,80,3.72,,30,Left,Right,19,7,10,10,,,0.0,Bandit,C:\Use
2023-03-31 21:25:11,1.17.0,20,80,3.72,,30,Left,Right,20,7,10,10,,,0.04,Bandit,C:\Use
2023-03-31 21:25:23,1.17.0,20,80,3.72,,30,RightinTimeout,Right,20,7,10,10,,,0.25,Bandit,C:\Use
2023-03-31 21:26:55,1.17.0,20,80,3.72,,30,Left,Right,21,7,10,10,,,0.18,Bandit,C:\Use
