MM:DD:YYYY hh:mm:ss,Library_Version,Prob_left,Prob_right,Battery_Voltage,Motor_Turns,PelletsToSwitch,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Session_type,Device_Number
2023-05-28 15:32:16,1.17.0,20,80,3.81,,30,Left,Right,1,0,0,0,,,0.0,Bandit,C:\Use
2023-05-28 15:34:49,1.17.0,20,80,3.82,,30,Left,Right,2,0,0,0,,,0.0,Bandit,C:\Use
2023-05-28 15:36:23,1.17.0,20,80,3.82,,30,Right,Right,2,1,0,0,,,0.0,Bandit,C:\Use
2023-05-28 15:42:09,1.17.0,20,80,3.82,,30,Left,Right,3,1,0,0,,,0.05,Bandit,C:\Use
2023-05-28 15:50:26,1.17.0,20,80,3.82,,30,Right,Right,3,2,0,0,,,0.0,Bandit,C:\Use
2023-05-28 15:50:34,1.17.0,20,80,3.82,2.0,30,Pellet,Right,3,2,1,0,2.20,,,Bandit,C:\Use
2023-05-28 15:56:03,1.17.0,20,80,3.82,,30,Left,Right,4,2,1,1,,,0.0,Bandit,C:\Use
2023-05-28 16:33:29,1.17.0,20,80,3.82,,30,Left,Right,5,2,1,1,,,0.0,Bandit,C:\Use
2023-05-28 16:33:33,1.17.0,20,80,3.82,2.0,30,Pellet,Right,5,2,2,1,0.85,2579.0,,Bandit,C:\Use
2023-05-28 16:33:52,1.17.0,20,80,3.82,,30,Left,Right,6,2,2,2,,,0.0,Bandit,C:\Use
2023-05-28 16:34:00,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:06,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:10,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:11,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:17,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:19,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:21,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:24,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:26,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:28,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:29,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:31,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:33,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:35,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:36,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:37,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:39,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:39,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:43,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:44,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:46,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:49,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:49,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:51,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:51,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:52,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:55,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:55,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:56,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:34:58,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:02,1.17.0,20,80,3.82,,30,RightinTimeout,Right,6,2,2,2,,,0.46,Bandit,C:\Use
2023-05-28 16:35:05,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:06,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:07,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:07,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:08,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:10,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:12,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:13,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:14,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:15,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:17,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:17,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:18,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:19,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:21,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:21,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:22,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:23,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:25,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:31,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:32,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:32,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:34,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:35,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:37,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:38,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:39,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:40,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:41,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:43,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:45,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:46,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:46,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:50,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:51,1.17.0,20,80,3.81,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:53,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
2023-05-28 16:35:56,1.17.0,20,80,3.82,,30,LeftinTimeOut,Right,6,2,2,2,,,,Bandit,C:\Use
