MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/31/2023 19:38:07,1.17.0,20,80,3.85,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
3/31/2023 19:38:31,1.17.0,20,80,3.85,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
3/31/2023 20:07:30,1.17.0,20,80,3.85,1,30,Pellet,Left,1,1,1,0,Timed_out,nan,nan
3/31/2023 20:08:00,1.17.0,20,80,3.85,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
3/31/2023 20:08:13,1.17.0,20,80,3.85,2,30,Pellet,Left,1,2,2,1,9.81,43,nan
3/31/2023 20:21:55,1.17.0,20,80,3.85,nan,30,Left,Right,2,2,2,2,nan,nan,0.00
3/31/2023 20:22:22,1.17.0,20,80,3.85,nan,30,Left,Right,3,2,2,2,nan,nan,0.00
3/31/2023 20:23:35,1.17.0,20,80,3.85,nan,30,Left,Right,4,2,2,2,nan,nan,0.03
3/31/2023 20:24:04,1.17.0,20,80,3.85,nan,30,Left,Right,5,2,2,2,nan,nan,0.00
3/31/2023 20:24:09,1.17.0,20,80,3.85,2,30,Pellet,Right,5,2,3,2,0.61,955,nan
3/31/2023 20:24:35,1.17.0,20,80,3.85,nan,30,Left,Right,6,2,3,3,nan,nan,0.00
3/31/2023 20:24:50,1.17.0,20,80,3.85,nan,30,Right,Left,6,3,3,3,nan,nan,0.00
3/31/2023 20:25:10,1.17.0,20,80,3.84,1,30,Pellet,Left,6,3,4,3,17.39,62,nan
3/31/2023 20:31:12,1.17.0,20,80,3.85,nan,30,Right,Left,6,4,4,4,nan,nan,0.00
3/31/2023 20:57:46,1.17.0,20,80,3.85,nan,30,Left,Right,7,4,4,4,nan,nan,0.15
3/31/2023 20:58:09,1.17.0,20,80,3.85,nan,30,Left,Right,8,4,4,4,nan,nan,0.00
3/31/2023 20:58:24,1.17.0,20,80,3.85,nan,30,Left,Right,9,4,4,4,nan,nan,0.00
3/31/2023 20:58:32,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,9,4,4,4,nan,nan,nan
3/31/2023 20:58:34,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,9,4,4,4,nan,nan,nan
3/31/2023 20:58:53,1.17.0,20,80,3.85,nan,30,Left,Right,10,4,4,4,nan,nan,0.07
3/31/2023 20:58:58,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:00,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:03,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:06,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:11,1.17.0,20,80,3.85,nan,30,RightinTimeout,Right,10,4,4,4,nan,nan,0.07
3/31/2023 20:59:11,1.17.0,20,80,3.84,nan,30,RightinTimeout,Right,10,4,4,4,nan,nan,0.19
3/31/2023 20:59:13,1.17.0,20,80,3.84,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:17,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:19,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:23,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 20:59:32,1.17.0,20,80,3.85,nan,30,RightinTimeout,Right,10,4,4,4,nan,nan,0.19
3/31/2023 20:59:41,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,10,4,4,4,nan,nan,nan
3/31/2023 21:00:57,1.17.0,20,80,3.85,nan,30,Left,Right,11,4,4,4,nan,nan,0.00
3/31/2023 21:01:01,1.17.0,20,80,3.84,2,30,Pellet,Right,11,4,5,4,0.06,2151,nan
3/31/2023 21:01:31,1.17.0,20,80,3.85,nan,30,Left,Right,12,4,5,5,nan,nan,0.01
