MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/31/2023 18:19:26,1.17.0,20,80,4.05,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
3/31/2023 18:20:46,1.17.0,20,80,4.05,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
3/31/2023 18:20:56,1.17.0,20,80,4.05,2,30,Pellet,Left,1,1,1,0,4.90,nan,nan
3/31/2023 18:21:40,1.17.0,20,80,4.05,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
3/31/2023 18:55:21,1.17.0,20,80,4.05,1,30,Pellet,Right,2,1,2,1,Timed_out,2065,nan
3/31/2023 18:56:08,1.17.0,20,80,4.05,nan,30,Left,Right,3,1,2,2,nan,nan,0.00
3/31/2023 19:10:25,1.17.0,20,80,4.05,nan,30,Left,Right,4,1,2,2,nan,nan,0.00
3/31/2023 19:10:33,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,4,1,2,2,nan,nan,nan
3/31/2023 19:10:37,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,4,1,2,2,nan,nan,nan
3/31/2023 19:10:41,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,4,1,2,2,nan,nan,nan
3/31/2023 19:10:52,1.17.0,20,80,4.05,nan,30,Left,Right,5,1,2,2,nan,nan,0.00
3/31/2023 19:10:55,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,5,1,2,2,nan,nan,nan
3/31/2023 19:28:06,1.17.0,20,80,4.05,nan,30,Left,Right,6,1,2,2,nan,nan,0.00
3/31/2023 19:28:10,1.17.0,20,80,4.05,1,30,Pellet,Right,6,1,3,2,0.48,1968,nan
3/31/2023 19:28:29,1.17.0,20,80,4.05,nan,30,Left,Right,7,1,3,3,nan,nan,0.00
3/31/2023 19:28:32,1.17.0,20,80,4.04,1,30,Pellet,Right,7,1,4,3,0.30,23,nan
3/31/2023 19:28:50,1.17.0,20,80,4.05,nan,30,Left,Right,8,1,4,4,nan,nan,0.00
3/31/2023 19:29:04,1.17.0,20,80,4.05,nan,30,Left,Right,9,1,4,4,nan,nan,0.00
3/31/2023 19:29:07,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,9,1,4,4,nan,nan,nan
3/31/2023 19:29:13,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,9,1,4,4,nan,nan,nan
3/31/2023 19:29:56,1.17.0,20,80,4.05,nan,30,Left,Right,10,1,4,4,nan,nan,0.00
3/31/2023 19:29:59,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:00,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:03,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:04,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:06,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:10,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:12,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:13,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:14,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:16,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,10,1,4,4,nan,nan,nan
3/31/2023 19:30:20,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,10,1,4,4,nan,nan,0.24
3/31/2023 19:30:40,1.17.0,20,80,4.05,nan,30,Left,Right,11,1,4,4,nan,nan,0.00
3/31/2023 19:30:43,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:45,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:46,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:47,1.17.0,20,80,4.04,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:48,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:49,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:50,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:53,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:30:54,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Right,11,1,4,4,nan,nan,nan
3/31/2023 19:33:59,1.17.0,20,80,4.05,nan,30,Right,Left,11,2,4,4,nan,nan,0.00
3/31/2023 19:34:07,1.17.0,20,80,4.05,nan,30,LeftinTimeOut,Left,11,2,4,4,nan,nan,nan
3/31/2023 19:34:10,1.17.0,20,80,4.05,nan,30,RightinTimeout,Left,11,2,4,4,nan,nan,0.19
3/31/2023 19:41:48,1.17.0,20,80,4.04,nan,30,Left,Right,12,2,4,4,nan,nan,0.00
3/31/2023 19:45:21,1.17.0,20,80,4.05,nan,30,Left,Right,13,2,4,4,nan,nan,0.00
