MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/15/2023 12:06,1.17.0,Bandit,27,3.95,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.17
9/15/2023 12:08,1.17.0,Bandit,27,3.95,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.33
9/15/2023 12:08,1.17.0,Bandit,27,3.95,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.15
9/15/2023 12:08,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.53
9/15/2023 12:13,1.17.0,Bandit,27,3.95,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.47
9/15/2023 12:14,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.06
9/15/2023 12:16,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.22
9/15/2023 12:18,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.33
9/15/2023 12:21,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.51
9/15/2023 12:21,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.19
9/15/2023 12:24,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.36
9/15/2023 12:24,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.15
9/15/2023 12:26,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.05
9/15/2023 15:11,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.35
9/15/2023 15:11,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.25
9/15/2023 15:11,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.25
9/15/2023 15:11,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.48
9/15/2023 15:11,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,1,0,1,0,Timed_out,nan,nan
9/15/2023 15:13,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,2,0,1,1,nan,nan,0.02
9/15/2023 15:13,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,2,0,2,1,1.09,101,nan
9/15/2023 15:14,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,3,0,2,2,nan,nan,0.44
9/15/2023 15:14,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,3,0,3,2,0.36,71,nan
9/15/2023 15:41,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,4,0,3,3,nan,nan,0.18
9/15/2023 15:41,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,4,0,4,3,0.79,1612,nan
9/15/2023 15:41,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,5,0,4,4,nan,nan,0.22
9/15/2023 15:42,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,5,0,5,4,0.3,28,nan
9/15/2023 15:42,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,6,0,5,5,nan,nan,0.18
9/15/2023 15:42,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,6,0,6,5,0.24,29,nan
9/15/2023 15:43,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,7,0,6,6,nan,nan,0.2
9/15/2023 15:43,1.17.0,Bandit,27,3.94,2,30,80,20,Pellet,Left,7,0,7,6,0.18,36,nan
9/15/2023 16:05,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,8,0,7,7,nan,nan,0.28
9/15/2023 16:05,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,8,0,8,7,0.79,1340,nan
9/15/2023 16:05,1.17.0,Bandit,27,3.94,nan,30,80,20,Left,Left,9,0,8,8,nan,nan,0.1
9/15/2023 16:05,1.17.0,Bandit,27,3.94,1,30,80,20,Pellet,Left,9,0,9,8,0.3,34,nan
9/15/2023 16:08,1.17.0,Bandit,27,3.93,nan,30,80,20,Right,Left,9,1,9,9,nan,nan,0
9/15/2023 16:08,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,9,2,9,9,nan,nan,0.43
9/15/2023 16:08,1.17.0,Bandit,27,3.94,nan,30,80,20,RightWithPellet,Left,9,3,9,9,nan,nan,0.19
9/15/2023 17:35,1.17.0,Bandit,27,3.93,nan,30,80,20,LeftWithPellet,Left,9,3,9,9,nan,nan,0.38
9/15/2023 17:35,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,9,3,9,9,nan,nan,0.13
9/15/2023 17:35,1.17.0,Bandit,27,3.93,nan,30,80,20,LeftWithPellet,Left,9,3,9,9,nan,nan,0.01
9/15/2023 17:35,1.17.0,Bandit,27,3.93,nan,30,80,20,LeftWithPellet,Left,9,3,9,9,nan,nan,0.06
9/15/2023 17:36,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,9,3,9,9,nan,nan,0.04
9/15/2023 17:36,1.17.0,Bandit,27,3.94,nan,30,80,20,LeftWithPellet,Left,9,3,9,9,nan,nan,0.79
