MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/23/2023 20:28:39,1.17.0,20,80,3.85,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
9/23/2023 20:38:35,1.17.0,20,80,3.85,nan,30,Right,Left,1,1,0,0,nan,nan,0.40
9/23/2023 20:39:06,1.17.0,20,80,3.84,3,30,Pellet,Left,1,1,1,0,25.30,nan,nan
9/23/2023 20:45:13,1.17.0,20,80,3.85,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
9/23/2023 20:47:22,1.17.0,20,80,3.85,nan,30,Left,Right,3,1,1,1,nan,nan,0.00
9/23/2023 20:47:37,1.17.0,20,80,3.85,nan,30,Right,Left,3,2,1,1,nan,nan,0.04
9/23/2023 20:47:41,1.17.0,20,80,3.85,2,30,Pellet,Left,3,2,2,1,1.52,515,nan
9/23/2023 20:49:09,1.17.0,20,80,3.85,nan,30,Left,Right,4,2,2,2,nan,nan,0.00
9/23/2023 20:49:29,1.17.0,20,80,3.85,nan,30,Right,Left,4,3,2,2,nan,nan,0.00
9/23/2023 20:49:33,1.17.0,20,80,3.85,2,30,Pellet,Left,4,3,3,2,0.67,112,nan
9/23/2023 21:03:35,1.17.0,20,80,3.85,nan,30,Left,Right,5,3,3,3,nan,nan,0.00
9/23/2023 21:04:21,1.17.0,20,80,3.84,nan,30,Left,Right,6,3,3,3,nan,nan,0.00
9/23/2023 21:04:24,1.17.0,20,80,3.84,2,30,Pellet,Right,6,3,4,3,0.85,891,nan
9/23/2023 21:09:51,1.17.0,20,80,3.85,nan,30,Left,Right,7,3,4,4,nan,nan,0.00
9/23/2023 21:10:22,1.17.0,20,80,3.85,nan,30,Left,Right,8,3,4,4,nan,nan,0.00
9/23/2023 21:15:44,1.17.0,20,80,3.85,nan,30,Right,Left,8,4,4,4,nan,nan,0.29
9/23/2023 21:15:48,1.17.0,20,80,3.85,1,30,Pellet,Left,8,4,5,4,1.03,684,nan
9/23/2023 21:16:58,1.17.0,20,80,3.85,nan,30,Left,Right,9,4,5,5,nan,nan,0.00
9/23/2023 21:17:39,1.17.0,20,80,3.85,nan,30,Left,Right,10,4,5,5,nan,nan,0.00
9/23/2023 21:19:33,1.17.0,20,80,3.85,nan,30,Right,Left,10,5,5,5,nan,nan,0.00
9/23/2023 21:19:40,1.17.0,20,80,3.85,1,30,Pellet,Left,10,5,6,5,3.91,232,nan
9/23/2023 21:20:48,1.17.0,20,80,3.85,nan,30,Left,Right,11,5,6,6,nan,nan,0.10
9/23/2023 21:21:16,1.17.0,20,80,3.85,nan,30,Left,Right,12,5,6,6,nan,nan,0.00
9/23/2023 21:21:30,1.17.0,20,80,3.85,nan,30,Left,Right,13,5,6,6,nan,nan,0.00
9/23/2023 21:21:34,1.17.0,20,80,3.85,1,30,Pellet,Right,13,5,7,6,0.79,114,nan
9/23/2023 21:28:16,1.17.0,20,80,3.84,nan,30,Left,Right,14,5,7,7,nan,nan,0.00
9/23/2023 21:28:27,1.17.0,20,80,3.85,nan,30,Left,Right,15,5,7,7,nan,nan,0.00
9/23/2023 21:28:36,1.17.0,20,80,3.85,nan,30,Left,Right,16,5,7,7,nan,nan,0.00
9/23/2023 21:29:11,1.17.0,20,80,3.85,nan,30,Right,Left,16,6,7,7,nan,nan,0.00
9/23/2023 21:29:15,1.17.0,20,80,3.84,1,30,Pellet,Left,16,6,8,7,0.97,461,nan
9/23/2023 21:30:13,1.17.0,20,80,3.84,nan,30,Left,Right,17,6,8,8,nan,nan,0.00
9/23/2023 21:30:29,1.17.0,20,80,3.84,1,30,Pellet,Right,17,6,9,8,13.43,74,nan
9/23/2023 21:31:55,1.17.0,20,80,3.84,nan,30,Left,Right,18,6,9,9,nan,nan,0.00
9/23/2023 21:32:11,1.17.0,20,80,3.85,nan,30,Left,Right,19,6,9,9,nan,nan,0.00
9/23/2023 21:56:21,1.17.0,20,80,3.85,nan,30,Left,Right,20,6,9,9,nan,nan,0.00
9/23/2023 21:56:37,1.17.0,20,80,3.85,nan,30,Left,Right,21,6,9,9,nan,nan,0.00
9/23/2023 21:56:41,1.17.0,20,80,3.84,1,30,Pellet,Right,21,6,10,9,0.85,1572,nan
9/23/2023 21:57:05,1.17.0,20,80,3.84,nan,30,Left,Right,22,6,10,10,nan,nan,0.00
9/23/2023 22:03:44,1.17.0,20,80,3.84,nan,30,Left,Right,23,6,10,10,nan,nan,0.00
9/23/2023 22:03:49,1.17.0,20,80,3.85,1,30,Pellet,Right,23,6,11,10,1.52,428,nan
9/23/2023 22:04:33,1.17.0,20,80,3.85,nan,30,Right,Left,23,7,11,11,nan,nan,0.00
9/23/2023 22:04:36,1.17.0,20,80,3.84,2,30,Pellet,Left,23,7,12,11,0.85,47,nan
9/23/2023 22:05:21,1.17.0,20,80,3.84,nan,30,Left,Right,24,7,12,12,nan,nan,0.00
9/23/2023 22:05:31,1.17.0,20,80,3.84,nan,30,Right,Left,24,8,12,12,nan,nan,0.00
9/23/2023 22:05:50,1.17.0,20,80,3.85,nan,30,Left,Right,25,8,12,12,nan,nan,0.00
9/23/2023 22:06:01,1.17.0,20,80,3.84,nan,30,Left,Right,26,8,12,12,nan,nan,0.00
9/23/2023 22:06:07,1.17.0,20,80,3.85,nan,30,Left,Right,27,8,12,12,nan,nan,0.00
9/23/2023 22:06:23,1.17.0,20,80,3.84,nan,30,Right,Left,27,9,12,12,nan,nan,0.00
9/23/2023 22:06:28,1.17.0,20,80,3.84,nan,30,RightWithPellet,Left,27,9,12,12,nan,nan,1.54
9/23/2023 22:06:30,1.17.0,20,80,3.84,nan,30,RightWithPellet,Left,27,9,12,12,nan,nan,0.63
9/23/2023 22:06:31,1.17.0,20,80,3.85,1,30,Pellet,Left,27,9,13,12,5.57,115,nan
9/23/2023 22:06:58,1.17.0,20,80,3.84,nan,30,Right,Left,27,10,13,13,nan,nan,0.00
9/23/2023 22:07:01,1.17.0,20,80,3.85,1,30,Pellet,Left,27,10,14,13,0.91,30,nan
9/23/2023 22:07:16,1.17.0,20,80,3.84,nan,30,Right,Left,27,11,14,14,nan,nan,0.00
9/23/2023 22:07:20,1.17.0,20,80,3.84,1,30,Pellet,Left,27,11,15,14,0.55,18,nan
9/23/2023 22:07:33,1.17.0,20,80,3.84,nan,30,Right,Left,27,12,15,15,nan,nan,0.00
9/23/2023 22:07:42,1.17.0,20,80,3.84,nan,30,Right,Left,27,13,15,15,nan,nan,0.00
9/23/2023 22:07:46,1.17.0,20,80,3.85,nan,30,RightinTimeout,Left,27,13,15,15,nan,nan,0.15
9/23/2023 22:07:47,1.17.0,20,80,3.85,nan,30,RightinTimeout,Left,27,13,15,15,nan,nan,0.18
9/23/2023 22:07:47,1.17.0,20,80,3.84,nan,30,RightinTimeout,Left,27,13,15,15,nan,nan,0.20
9/23/2023 22:07:49,1.17.0,20,80,3.85,nan,30,RightinTimeout,Left,27,13,15,15,nan,nan,0.02
9/23/2023 22:07:49,1.17.0,20,80,3.85,nan,30,RightinTimeout,Left,27,13,15,15,nan,nan,0.41
9/23/2023 22:07:58,1.17.0,20,80,3.84,nan,30,Right,Left,27,14,15,15,nan,nan,0.00
9/23/2023 22:08:02,1.17.0,20,80,3.84,1,30,Pellet,Left,27,14,16,15,0.79,42,nan
9/23/2023 22:08:19,1.17.0,20,80,3.84,nan,30,Right,Left,27,15,16,16,nan,nan,0.00
9/23/2023 22:08:23,1.17.0,20,80,3.85,1,30,Pellet,Left,27,15,17,16,0.85,22,nan
9/23/2023 22:11:49,1.17.0,20,80,3.84,nan,30,Left,Right,28,15,17,17,nan,nan,0.00
9/23/2023 22:14:18,1.17.0,20,80,3.84,nan,30,Left,Right,29,15,17,17,nan,nan,108.34
9/23/2023 22:14:31,1.17.0,20,80,3.84,nan,30,Left,Right,30,15,17,17,nan,nan,0.14
9/23/2023 22:14:36,1.17.0,20,80,3.84,nan,30,LeftinTimeOut,Right,30,15,17,17,nan,nan,nan
9/23/2023 22:14:36,1.17.0,20,80,3.84,nan,30,LeftinTimeOut,Right,30,15,17,17,nan,nan,nan
9/23/2023 22:14:37,1.17.0,20,80,3.85,nan,30,LeftinTimeOut,Right,30,15,17,17,nan,nan,nan
9/23/2023 22:14:56,1.17.0,20,80,3.85,nan,30,Left,Right,31,15,17,17,nan,nan,0.00
9/23/2023 22:15:06,1.17.0,20,80,3.84,nan,30,Left,Right,32,15,17,17,nan,nan,0.00
9/23/2023 22:15:22,1.17.0,20,80,3.84,nan,30,Right,Left,32,16,17,17,nan,nan,0.00
9/23/2023 22:15:26,1.17.0,20,80,3.84,1,30,Pellet,Left,32,16,18,17,1.22,423,nan
9/23/2023 22:15:47,1.17.0,20,80,3.84,nan,30,Right,Left,32,17,18,18,nan,nan,0.00
9/23/2023 22:15:50,1.17.0,20,80,3.84,1,30,Pellet,Left,32,17,19,18,0.85,24,nan
9/23/2023 22:24:24,1.17.0,20,80,3.85,nan,30,Left,Right,33,17,19,19,nan,nan,0.00
9/23/2023 22:24:28,1.17.0,20,80,3.84,1,30,Pellet,Right,33,17,20,19,1.09,518,nan
9/23/2023 22:24:55,1.17.0,20,80,3.84,nan,30,Left,Right,34,17,20,20,nan,nan,0.00
9/23/2023 22:26:44,1.17.0,20,80,3.84,nan,30,Right,Left,34,18,20,20,nan,nan,0.00
9/23/2023 22:26:48,1.17.0,20,80,3.84,1,30,Pellet,Left,34,18,21,20,0.97,140,nan
9/23/2023 22:29:45,1.17.0,20,80,3.84,nan,30,Right,Left,34,19,21,21,nan,nan,0.00
9/23/2023 22:29:54,1.17.0,20,80,3.85,1,30,Pellet,Left,34,19,22,21,6.25,186,nan
9/23/2023 22:30:11,1.17.0,20,80,3.84,nan,30,Left,Right,35,19,22,22,nan,nan,0.00
9/23/2023 22:30:35,1.17.0,20,80,3.84,nan,30,Right,Left,35,20,22,22,nan,nan,0.00
9/23/2023 22:30:39,1.17.0,20,80,3.84,2,30,Pellet,Left,35,20,23,22,0.67,45,nan
9/23/2023 22:33:41,1.17.0,20,80,3.84,nan,30,Right,Left,35,21,23,23,nan,nan,0.00
9/23/2023 22:33:45,1.17.0,20,80,3.85,1,30,Pellet,Left,35,21,24,23,1.28,186,nan
9/23/2023 22:41:53,1.17.0,20,80,3.84,nan,30,Right,Left,35,22,24,24,nan,nan,0.00
