,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
0,3/15/2024 16:06,1.17.0,FR1,4,4.12,,1,Left,Left,1,0,0,0,,,0.17,3/15/2024 16:06
1,3/15/2024 16:06,1.17.0,FR1,4,4.12,,1,LeftDuringDispense,Left,2,0,0,0,,,0.6,3/15/2024 16:06
2,3/15/2024 16:07,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,3,0,0,0,,,0.61,3/15/2024 16:07
3,3/15/2024 16:11,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,4,0,0,0,,,0.02,3/15/2024 16:11
4,3/15/2024 16:11,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,5,0,0,0,,,0.24,3/15/2024 16:11
5,3/15/2024 16:11,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,6,0,0,0,,,0.11,3/15/2024 16:11
6,3/15/2024 16:14,1.17.0,FR1,4,4.13,,1,RightWithPellet,Left,6,1,0,0,,,0.02,3/15/2024 16:14
7,3/15/2024 16:14,1.17.0,FR1,4,4.13,,1,RightWithPellet,Left,6,2,0,0,,,0.47,3/15/2024 16:14
8,3/15/2024 16:15,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,7,2,0,0,,,0.38,3/15/2024 16:15
9,3/15/2024 16:21,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,7,3,0,0,,,0.17,3/15/2024 16:21
10,3/15/2024 16:21,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,7,4,0,0,,,0.36,3/15/2024 16:21
11,3/15/2024 16:22,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,8,4,0,0,,,0.16,3/15/2024 16:22
12,3/15/2024 16:22,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,8,5,0,0,,,0.16,3/15/2024 16:22
13,3/15/2024 16:27,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,8,6,0,0,,,0.02,3/15/2024 16:27
14,3/15/2024 16:28,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,9,6,0,0,,,0,3/15/2024 16:28
15,3/15/2024 16:28,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,10,6,0,0,,,0.01,3/15/2024 16:28
16,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,10,7,0,0,,,0.22,3/15/2024 16:31
17,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,10,8,0,0,,,0.01,3/15/2024 16:31
18,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,10,9,0,0,,,0,3/15/2024 16:31
19,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,11,9,0,0,,,0.56,3/15/2024 16:31
20,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,12,9,0,0,,,0.02,3/15/2024 16:31
21,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,13,9,0,0,,,0.16,3/15/2024 16:31
22,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,14,9,0,0,,,0.16,3/15/2024 16:31
23,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,15,9,0,0,,,0.01,3/15/2024 16:31
24,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,16,9,0,0,,,0.05,3/15/2024 16:31
25,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,17,9,0,0,,,0.17,3/15/2024 16:31
26,3/15/2024 16:31,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,18,9,0,0,,,0.78,3/15/2024 16:31
27,3/15/2024 16:33,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,18,10,0,0,,,0.03,3/15/2024 16:33
28,3/15/2024 16:33,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,19,10,0,0,,,0.46,3/15/2024 16:33
29,3/15/2024 16:33,1.17.0,FR1,4,4.13,,1,RightWithPellet,Left,19,11,0,0,,,0.1,3/15/2024 16:33
30,3/15/2024 16:34,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,20,11,0,0,,,0.01,3/15/2024 16:34
31,3/15/2024 16:34,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,20,12,0,0,,,0.17,3/15/2024 16:34
32,3/15/2024 16:37,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,20,13,0,0,,,0.1,3/15/2024 16:37
33,3/15/2024 16:40,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,21,13,0,0,,,0.03,3/15/2024 16:40
34,3/15/2024 16:42,1.17.0,FR1,4,4.12,4,1,Pellet,Left,21,13,1,0,Timed_out,,,3/15/2024 16:42
35,3/15/2024 16:49,1.17.0,FR1,4,4.12,,1,Left,Left,22,13,1,0,,,0.47,3/15/2024 16:49
36,3/15/2024 16:50,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,22,14,1,0,,,0.21,3/15/2024 16:50
37,3/15/2024 16:50,1.17.0,FR1,4,4.12,2,1,Pellet,Left,22,14,2,0,12.92,431,,3/15/2024 16:50
38,3/15/2024 16:51,1.17.0,FR1,4,4.13,,1,Left,Left,23,14,2,0,,,0.04,3/15/2024 16:51
39,3/15/2024 16:52,1.17.0,FR1,4,4.13,2,1,Pellet,Left,23,14,3,0,21.5,136,,3/15/2024 16:52
40,3/15/2024 16:52,1.17.0,FR1,4,4.12,,1,Left,Left,24,14,3,0,,,0.44,3/15/2024 16:52
41,3/15/2024 16:59,1.17.0,FR1,4,4.12,1,1,Pellet,Left,24,14,4,0,Timed_out,456,,3/15/2024 16:59
42,3/15/2024 17:16,1.17.0,FR1,4,4.12,,1,Left,Left,25,14,4,0,,,0.2,3/15/2024 17:16
43,3/15/2024 17:17,1.17.0,FR1,4,4.12,1,1,Pellet,Left,25,14,5,0,7.17,1024,,3/15/2024 17:17
44,3/15/2024 17:20,1.17.0,FR1,4,4.12,,1,Left,Left,26,14,5,0,,,0.18,3/15/2024 17:20
45,3/15/2024 17:20,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,26,15,5,0,,,0.16,3/15/2024 17:20
46,3/15/2024 17:20,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,26,16,5,0,,,0.08,3/15/2024 17:20
47,3/15/2024 17:21,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,27,16,5,0,,,0.18,3/15/2024 17:21
48,3/15/2024 17:21,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,27,17,5,0,,,0.07,3/15/2024 17:21
49,3/15/2024 17:22,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,28,17,5,0,,,0.02,3/15/2024 17:22
50,3/15/2024 17:22,1.17.0,FR1,4,4.13,,1,LeftWithPellet,Left,29,17,5,0,,,0.76,3/15/2024 17:22
51,3/15/2024 17:22,1.17.0,FR1,4,4.12,,1,RightWithPellet,Left,29,18,5,0,,,0.13,3/15/2024 17:22
52,3/15/2024 17:22,1.17.0,FR1,4,4.12,2,1,Pellet,Left,29,18,6,0,Timed_out,354,,3/15/2024 17:22
53,3/15/2024 17:25,1.17.0,FR1,4,4.12,,1,Left,Left,30,18,6,0,,,0.44,3/15/2024 17:25
54,3/15/2024 17:26,1.17.0,FR1,4,4.12,2,1,Pellet,Left,30,18,7,0,21.33,204,,3/15/2024 17:26
55,3/15/2024 17:26,1.17.0,FR1,4,4.12,,1,Left,Left,31,18,7,0,,,0.15,3/15/2024 17:26
56,3/15/2024 17:26,1.17.0,FR1,4,4.12,,1,LeftWithPellet,Left,32,18,7,0,,,0.11,3/15/2024 17:26
57,3/15/2024 17:27,1.17.0,FR1,4,4.12,2,1,Pellet,Left,32,18,8,0,31.26,51,,3/15/2024 17:27
58,3/15/2024 17:28,1.17.0,FR1,4,4.12,,1,Left,Left,33,18,8,0,,,0.29,3/15/2024 17:28
59,3/15/2024 17:28,1.17.0,FR1,4,4.12,1,1,Pellet,Left,33,18,9,0,3.49,76,,3/15/2024 17:28
60,3/15/2024 17:30,1.17.0,FR1,4,4.12,,1,Left,Left,34,18,9,0,,,0.01,3/15/2024 17:30
