,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
0,3/15/2024 16:20,1.16.3,FR1,10,4.16,,1,Right,Left,0,1,0,0,,,0.05,3/15/2024 16:20
1,3/15/2024 16:24,1.16.3,FR1,10,4.17,,1,Left,Left,1,1,0,0,,,1.02,3/15/2024 16:24
2,3/15/2024 16:30,1.16.3,FR1,10,4.16,,1,RightWithPellet,Left,1,2,0,0,,,0.66,3/15/2024 16:30
3,3/15/2024 16:30,1.16.3,FR1,10,4.17,,1,RightWithPellet,Left,1,3,0,0,,,0.21,3/15/2024 16:30
4,3/15/2024 16:32,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,2,3,0,0,,,0.36,3/15/2024 16:32
5,3/15/2024 16:40,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,3,3,0,0,,,0.04,3/15/2024 16:40
6,3/15/2024 16:44,1.16.3,FR1,10,4.16,,1,RightWithPellet,Left,3,4,0,0,,,0.54,3/15/2024 16:44
7,3/15/2024 16:45,1.16.3,FR1,10,4.16,,1,RightWithPellet,Left,3,5,0,0,,,0.22,3/15/2024 16:45
8,3/15/2024 16:53,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,4,5,0,0,,,0.61,3/15/2024 16:53
9,3/15/2024 16:57,1.16.3,FR1,10,4.16,3,1,Pellet,Left,4,5,1,0,Timed_out,,,3/15/2024 16:57
10,3/15/2024 16:59,1.16.3,FR1,10,4.16,,1,Left,Left,5,5,1,0,,,0.36,3/15/2024 16:59
11,3/15/2024 17:03,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,6,5,1,0,,,0.49,3/15/2024 17:03
12,3/15/2024 17:03,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,7,5,1,0,,,0.17,3/15/2024 17:03
13,3/15/2024 17:07,1.16.3,FR1,10,4.16,2,1,Pellet,Left,7,5,2,0,Timed_out,580,,3/15/2024 17:07
14,3/15/2024 17:13,1.16.3,FR1,10,4.17,,1,Left,Left,8,5,2,0,,,0.42,3/15/2024 17:13
15,3/15/2024 17:13,1.16.3,FR1,10,4.16,1,1,Pellet,Left,8,5,3,0,5.11,355,,3/15/2024 17:13
16,3/15/2024 17:22,1.16.3,FR1,10,4.16,,1,Right,Left,8,6,3,0,,,0.14,3/15/2024 17:22
17,3/15/2024 17:23,1.16.3,FR1,10,4.16,,1,Right,Left,8,7,3,0,,,0.03,3/15/2024 17:23
18,3/15/2024 17:23,1.16.3,FR1,10,4.16,,1,Left,Left,9,7,3,0,,,0.07,3/15/2024 17:23
19,3/15/2024 17:24,1.16.3,FR1,10,4.16,,1,LeftWithPellet,Left,10,7,3,0,,,0.35,3/15/2024 17:24
20,3/15/2024 17:24,1.16.3,FR1,10,4.16,,1,RightWithPellet,Left,10,8,3,0,,,0.73,3/15/2024 17:24
21,3/15/2024 17:25,1.16.3,FR1,10,4.16,1,1,Pellet,Left,10,8,4,0,Timed_out,708,,3/15/2024 17:25
22,3/15/2024 17:25,1.16.3,FR1,10,4.16,,1,Left,Left,11,8,4,0,,,0,3/15/2024 17:25
23,3/15/2024 18:15,1.16.3,FR1,10,4.16,1,1,Pellet,Left,11,8,5,0,Timed_out,2994,,3/15/2024 18:15
24,3/15/2024 18:46,1.16.3,FR1,10,4.16,,1,Left,Left,12,8,5,0,,,0.02,3/15/2024 18:46
25,3/15/2024 18:46,1.16.3,FR1,10,4.16,2,1,Pellet,Left,12,8,6,0,9.36,1884,,3/15/2024 18:46
26,3/15/2024 18:54,1.16.3,FR1,10,4.16,,1,Left,Left,13,8,6,0,,,0.04,3/15/2024 18:54
27,3/15/2024 18:54,1.16.3,FR1,10,4.16,,1,RightWithPellet,Left,13,9,6,0,,,0.24,3/15/2024 18:54
28,3/15/2024 18:54,1.16.3,FR1,10,4.15,1,1,Pellet,Left,13,9,7,0,16.14,472,,3/15/2024 18:54
29,3/15/2024 19:03,1.16.3,FR1,10,4.16,,1,Left,Left,14,9,7,0,,,0.23,3/15/2024 19:03
30,3/15/2024 19:09,1.16.3,FR1,10,4.16,1,1,Pellet,Left,14,9,8,0,Timed_out,899,,3/15/2024 19:09
