MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
3/31/2021 18:03,1.4.2,FR1,6,4.22,1,1,Left,Left,1,0,0,0,nan,0.13
3/31/2021 18:10,1.4.2,FR1,6,4.21,4,1,Pellet,Left,1,0,1,0,Timed_out,nan
3/31/2021 18:11,1.4.2,FR1,6,4.21,1,1,Left,Left,2,0,1,0,nan,0.17
3/31/2021 18:11,1.4.2,FR1,6,4.21,2,1,Pellet,Left,2,0,2,0,0.37,nan
3/31/2021 18:11,1.4.2,FR1,6,4.22,1,1,Left,Left,3,0,2,0,nan,0.1
3/31/2021 18:11,1.4.2,FR1,6,4.22,2,1,Pellet,Left,3,0,3,0,0.81,nan
3/31/2021 18:11,1.4.2,FR1,6,4.21,1,1,Left,Left,4,0,3,0,nan,0.34
3/31/2021 18:13,1.4.2,FR1,6,4.2,2,1,Pellet,Left,4,0,4,0,Timed_out,nan
3/31/2021 18:14,1.4.2,FR1,6,4.21,1,1,Right,Left,4,1,4,0,nan,0.08
3/31/2021 18:14,1.4.2,FR1,6,4.21,1,1,Left,Left,5,1,4,0,nan,0
3/31/2021 18:19,1.4.2,FR1,6,4.21,1,1,Pellet,Left,5,1,5,0,Timed_out,nan
3/31/2021 18:19,1.4.2,FR1,6,4.21,1,1,Left,Left,6,1,5,0,nan,0.29
3/31/2021 18:22,1.4.2,FR1,6,4.21,1,1,Pellet,Left,6,1,6,0,Timed_out,nan
3/31/2021 18:24,1.4.2,FR1,6,4.21,1,1,Left,Left,7,1,6,0,nan,0.53
3/31/2021 18:24,1.4.2,FR1,6,4.21,1,1,Pellet,Left,7,1,7,0,0.81,nan
3/31/2021 18:24,1.4.2,FR1,6,4.2,1,1,Left,Left,8,1,7,0,nan,0.02
3/31/2021 18:56,1.4.2,FR1,6,4.2,1,1,Pellet,Left,8,1,8,0,Timed_out,nan
3/31/2021 18:56,1.4.2,FR1,6,4.2,1,1,Left,Left,9,1,8,0,nan,0.38
3/31/2021 18:56,1.4.2,FR1,6,4.2,1,1,Pellet,Left,9,1,9,0,0.56,nan
3/31/2021 19:02,1.4.2,FR1,6,4.2,1,1,Left,Left,10,1,9,0,nan,0.32
3/31/2021 19:02,1.4.2,FR1,6,4.2,1,1,Pellet,Left,10,1,10,0,12.97,nan
3/31/2021 19:02,1.4.2,FR1,6,4.2,1,1,Left,Left,11,1,10,0,nan,0.23
3/31/2021 19:03,1.4.2,FR1,6,4.2,2,1,Pellet,Left,11,1,11,0,6.89,nan
3/31/2021 19:04,1.4.2,FR1,6,4.2,1,1,Right,Left,11,2,11,0,nan,0.24
3/31/2021 19:04,1.4.2,FR1,6,4.21,1,1,Left,Left,12,2,11,0,nan,0.02
3/31/2021 19:09,1.4.2,FR1,6,4.21,1,1,Pellet,Left,12,2,12,0,Timed_out,nan
3/31/2021 19:15,1.4.2,FR1,6,4.2,1,1,Left,Left,13,2,12,0,nan,0.24
3/31/2021 19:16,1.4.2,FR1,6,4.2,1,1,Pellet,Left,13,2,13,0,39.17,nan
3/31/2021 19:16,1.4.2,FR1,6,4.2,1,1,Left,Left,14,2,13,0,nan,0.14
3/31/2021 19:16,1.4.2,FR1,6,4.2,1,1,Pellet,Left,14,2,14,0,4.11,nan
3/31/2021 19:33,1.4.2,FR1,6,4.2,1,1,Left,Left,15,2,14,0,nan,0.25
3/31/2021 19:39,1.4.2,FR1,6,4.2,1,1,Pellet,Left,15,2,15,0,Timed_out,nan
3/31/2021 19:41,1.4.2,FR1,6,4.2,1,1,Left,Left,16,2,15,0,nan,0.08
3/31/2021 19:47,1.4.2,FR1,6,4.2,1,1,Pellet,Left,16,2,16,0,Timed_out,nan
3/31/2021 19:56,1.4.2,FR1,6,4.2,1,1,Left,Left,17,2,16,0,nan,0.05
3/31/2021 19:56,1.4.2,FR1,6,4.2,1,1,Pellet,Left,17,2,17,0,1,nan
3/31/2021 19:57,1.4.2,FR1,6,4.2,1,1,Left,Left,18,2,17,0,nan,0.27
3/31/2021 19:57,1.4.2,FR1,6,4.2,1,1,Pellet,Left,18,2,18,0,0.69,nan
3/31/2021 19:57,1.4.2,FR1,6,4.2,1,1,Left,Left,19,2,18,0,nan,0.15
3/31/2021 19:57,1.4.2,FR1,6,4.2,1,1,Pellet,Left,19,2,19,0,0.56,nan
3/31/2021 19:58,1.4.2,FR1,6,4.2,1,1,Left,Left,20,2,19,0,nan,0.1
3/31/2021 19:58,1.4.2,FR1,6,4.2,1,1,Pellet,Left,20,2,20,0,0.5,nan
3/31/2021 19:59,1.4.2,FR1,6,4.2,1,1,Left,Left,21,2,20,0,nan,0.41
3/31/2021 20:09,1.4.2,FR1,6,4.2,2,1,Pellet,Left,21,2,21,0,Timed_out,nan
3/31/2021 20:09,1.4.2,FR1,6,4.2,1,1,Right,Left,21,3,21,0,nan,0.33
3/31/2021 20:09,1.4.2,FR1,6,4.2,1,1,Left,Left,22,3,21,0,nan,0.24
3/31/2021 20:10,1.4.2,FR1,6,4.2,1,1,Pellet,Left,22,3,22,0,Timed_out,nan
3/31/2021 20:13,1.4.2,FR1,6,4.2,1,1,Right,Left,22,4,22,0,nan,0.35
3/31/2021 20:14,1.4.2,FR1,6,4.2,1,1,Right,Left,22,5,22,0,nan,0.34
3/31/2021 20:14,1.4.2,FR1,6,4.2,1,1,Left,Left,23,5,22,0,nan,0.31
