MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2023 16:50,1.17.0,FR1,8,4.15,nan,1,Left,Left,1,0,0,0,nan,nan,0.3
9/18/2023 17:33,1.17.0,FR1,8,4.15,3,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
9/18/2023 17:34,1.17.0,FR1,8,4.15,nan,1,Left,Left,2,0,1,0,nan,nan,0.04
9/18/2023 18:12,1.17.0,FR1,8,4.15,1,1,Pellet,Left,2,0,2,0,Timed_out,2370,nan
9/18/2023 18:13,1.17.0,FR1,8,4.15,nan,1,Left,Left,3,0,2,0,nan,nan,0.15
9/18/2023 18:14,1.17.0,FR1,8,4.15,1,1,Pellet,Left,3,0,3,0,22.24,71,nan
9/18/2023 18:14,1.17.0,FR1,8,4.14,nan,1,Right,Left,3,1,3,0,nan,nan,0.21
9/18/2023 18:14,1.17.0,FR1,8,4.15,nan,1,Right,Left,3,2,3,0,nan,nan,0.28
9/18/2023 18:15,1.17.0,FR1,8,4.15,nan,1,Right,Left,3,3,3,0,nan,nan,0.01
9/18/2023 18:15,1.17.0,FR1,8,4.15,nan,1,Right,Left,3,4,3,0,nan,nan,0.02
9/18/2023 18:15,1.17.0,FR1,8,4.14,nan,1,Right,Left,3,5,3,0,nan,nan,0.53
9/18/2023 18:15,1.17.0,FR1,8,4.15,nan,1,Right,Left,3,6,3,0,nan,nan,0
9/18/2023 18:18,1.17.0,FR1,8,4.14,nan,1,Left,Left,4,6,3,0,nan,nan,0.06
9/18/2023 18:18,1.17.0,FR1,8,4.14,1,1,Pellet,Left,4,6,4,0,9.69,262,nan
9/18/2023 18:19,1.17.0,FR1,8,4.15,nan,1,Right,Left,4,7,4,0,nan,nan,0
9/18/2023 18:27,1.17.0,FR1,8,4.14,nan,1,Left,Left,5,7,4,0,nan,nan,0.1
9/18/2023 18:27,1.17.0,FR1,8,4.15,1,1,Pellet,Left,5,7,5,0,2.01,536,nan
9/18/2023 18:31,1.17.0,FR1,8,4.15,nan,1,Right,Left,5,8,5,0,nan,nan,0.12
9/18/2023 18:35,1.17.0,FR1,8,4.15,nan,1,Left,Left,6,8,5,0,nan,nan,0.31
9/18/2023 18:35,1.17.0,FR1,8,4.14,1,1,Pellet,Left,6,8,6,0,5.95,464,nan
9/18/2023 18:49,1.17.0,FR1,8,4.14,nan,1,Right,Left,6,9,6,0,nan,nan,0.27
