MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/28/2023 17:10:47,1.16.3,FR1,8,4.13,nan,1,Left,Left,1,0,0,0,nan,nan,0.78
7/28/2023 19:33:22,1.16.3,FR1,8,4.12,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.29
7/28/2023 19:54:32,1.16.3,FR1,8,4.12,4,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
7/28/2023 20:03:19,1.16.3,FR1,8,4.12,nan,1,Right,Left,1,2,1,0,nan,nan,0.80
7/28/2023 20:03:20,1.16.3,FR1,8,4.12,nan,1,Right,Left,1,3,1,0,nan,nan,0.00
7/28/2023 20:09:26,1.16.3,FR1,8,4.12,nan,1,Left,Left,2,3,1,0,nan,nan,0.26
7/28/2023 20:10:31,1.16.3,FR1,8,4.12,2,1,Pellet,Left,2,3,2,0,Timed_out,959,nan
7/28/2023 20:15:11,1.16.3,FR1,8,4.12,nan,1,Right,Left,2,4,2,0,nan,nan,0.15
7/28/2023 20:35:52,1.16.3,FR1,8,4.12,nan,1,Right,Left,2,5,2,0,nan,nan,0.46
7/28/2023 20:44:35,1.16.3,FR1,8,4.12,nan,1,Right,Left,2,6,2,0,nan,nan,0.03
7/28/2023 20:44:37,1.16.3,FR1,8,4.12,nan,1,Right,Left,2,7,2,0,nan,nan,0.17
7/28/2023 20:45:07,1.16.3,FR1,8,4.12,nan,1,Left,Left,3,7,2,0,nan,nan,0.56
7/28/2023 20:45:40,1.16.3,FR1,8,4.12,2,1,Pellet,Left,3,7,3,0,31.29,2108,nan
7/28/2023 20:52:17,1.16.3,FR1,8,4.12,nan,1,Right,Left,3,8,3,0,nan,nan,0.08
7/28/2023 20:52:19,1.16.3,FR1,8,4.12,nan,1,Right,Left,3,9,3,0,nan,nan,1.22
7/28/2023 20:54:14,1.16.3,FR1,8,4.12,nan,1,Left,Left,4,9,3,0,nan,nan,0.05
7/28/2023 20:54:17,1.16.3,FR1,8,4.12,1,1,Pellet,Left,4,9,4,0,2.65,518,nan
7/28/2023 21:18:15,1.16.3,FR1,8,4.12,nan,1,Right,Left,4,10,4,0,nan,nan,0.89
7/28/2023 21:20:39,1.16.3,FR1,8,4.12,nan,1,Left,Left,5,10,4,0,nan,nan,0.18
7/28/2023 21:20:44,1.16.3,FR1,8,4.12,1,1,Pellet,Left,5,10,5,0,3.54,1587,nan
7/28/2023 21:25:32,1.16.3,FR1,8,4.12,nan,1,Right,Left,5,11,5,0,nan,nan,0.71
7/28/2023 21:27:53,1.16.3,FR1,8,4.12,nan,1,Right,Left,5,12,5,0,nan,nan,0.59
7/28/2023 21:36:54,1.16.3,FR1,8,4.12,nan,1,Right,Left,5,13,5,0,nan,nan,0.04
7/28/2023 21:36:55,1.16.3,FR1,8,4.12,nan,1,Right,Left,5,14,5,0,nan,nan,0.00
7/28/2023 21:37:00,1.16.3,FR1,8,4.12,nan,1,Right,Left,5,15,5,0,nan,nan,0.80
7/28/2023 21:45:55,1.16.3,FR1,8,4.12,nan,1,Left,Left,6,15,5,0,nan,nan,0.33
7/28/2023 21:45:58,1.16.3,FR1,8,4.12,1,1,Pellet,Left,6,15,6,0,2.59,1514,nan
7/28/2023 21:47:30,1.16.3,FR1,8,4.12,nan,1,Right,Left,6,16,6,0,nan,nan,0.66
