MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2023 16:21:20,1.16.3,FR1,1,4.19,nan,1,Right,Left,0,1,0,0,nan,nan,0.34
9/18/2023 16:25:56,1.16.3,FR1,1,4.19,nan,1,Left,Left,1,1,0,0,nan,nan,0.11
9/18/2023 16:26:01,1.16.3,FR1,1,4.18,4,1,Pellet,Left,1,1,1,0,0.06,nan,nan
9/18/2023 16:26:42,1.16.3,FR1,1,4.18,nan,1,Left,Left,2,1,1,0,nan,nan,0.03
9/18/2023 16:29:56,1.16.3,FR1,1,4.18,nan,1,LeftWithPellet,Left,3,1,1,0,nan,nan,0.58
9/18/2023 16:30:37,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,3,2,1,0,nan,nan,0.18
9/18/2023 16:33:55,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,3,3,1,0,nan,nan,0.10
9/18/2023 16:33:57,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,3,4,1,0,nan,nan,0.22
9/18/2023 16:38:18,1.16.3,FR1,1,4.18,nan,1,LeftWithPellet,Left,4,4,1,0,nan,nan,0.47
9/18/2023 16:43:18,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,4,5,1,0,nan,nan,0.14
9/18/2023 16:46:53,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,4,6,1,0,nan,nan,0.59
9/18/2023 16:47:37,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,4,7,1,0,nan,nan,0.02
9/18/2023 16:47:53,1.16.3,FR1,1,4.19,nan,1,LeftWithPellet,Left,5,7,1,0,nan,nan,0.04
9/18/2023 16:48:21,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,5,8,1,0,nan,nan,0.23
9/18/2023 16:59:04,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,5,9,1,0,nan,nan,0.12
9/18/2023 16:59:17,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,5,10,1,0,nan,nan,0.13
9/18/2023 17:07:06,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,5,11,1,0,nan,nan,0.21
9/18/2023 17:11:00,1.16.3,FR1,1,4.18,2,1,Pellet,Left,5,11,2,0,Timed_out,2699,nan
9/18/2023 17:12:36,1.16.3,FR1,1,4.18,nan,1,Right,Left,5,12,2,0,nan,nan,0.10
9/18/2023 17:12:37,1.16.3,FR1,1,4.19,nan,1,Right,Left,5,13,2,0,nan,nan,0.00
9/18/2023 17:12:43,1.16.3,FR1,1,4.19,nan,1,Right,Left,5,14,2,0,nan,nan,0.25
9/18/2023 17:12:44,1.16.3,FR1,1,4.19,nan,1,Right,Left,5,15,2,0,nan,nan,0.05
9/18/2023 17:12:45,1.16.3,FR1,1,4.19,nan,1,Right,Left,5,16,2,0,nan,nan,0.21
9/18/2023 17:12:56,1.16.3,FR1,1,4.19,nan,1,Left,Left,6,16,2,0,nan,nan,0.51
9/18/2023 17:13:27,1.16.3,FR1,1,4.18,2,1,Pellet,Left,6,16,3,0,29.43,147,nan
9/18/2023 17:13:35,1.16.3,FR1,1,4.18,nan,1,Left,Left,7,16,3,0,nan,nan,0.02
9/18/2023 17:14:14,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,7,17,3,0,nan,nan,0.09
9/18/2023 17:20:02,1.16.3,FR1,1,4.19,nan,1,LeftWithPellet,Left,8,17,3,0,nan,nan,0.05
9/18/2023 17:20:03,1.16.3,FR1,1,4.18,nan,1,LeftWithPellet,Left,9,17,3,0,nan,nan,0.14
9/18/2023 17:24:02,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,9,18,3,0,nan,nan,0.15
9/18/2023 17:24:03,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,9,19,3,0,nan,nan,0.11
9/18/2023 17:24:15,1.16.3,FR1,1,4.18,nan,1,LeftWithPellet,Left,10,19,3,0,nan,nan,0.25
9/18/2023 17:24:16,1.16.3,FR1,1,4.19,nan,1,LeftWithPellet,Left,11,19,3,0,nan,nan,0.20
9/18/2023 17:31:00,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,11,20,3,0,nan,nan,0.06
9/18/2023 17:38:44,1.16.3,FR1,1,4.18,2,1,Pellet,Left,11,20,4,0,Timed_out,1517,nan
9/18/2023 17:39:03,1.16.3,FR1,1,4.19,nan,1,Left,Left,12,20,4,0,nan,nan,0.01
9/18/2023 17:45:41,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,12,21,4,0,nan,nan,0.04
9/18/2023 17:45:54,1.16.3,FR1,1,4.18,1,1,Pellet,Left,12,21,5,0,Timed_out,430,nan
9/18/2023 17:46:06,1.16.3,FR1,1,4.18,nan,1,Right,Left,12,22,5,0,nan,nan,0.05
9/18/2023 17:46:11,1.16.3,FR1,1,4.19,nan,1,Right,Left,12,23,5,0,nan,nan,0.01
9/18/2023 17:54:36,1.16.3,FR1,1,4.19,nan,1,Right,Left,12,24,5,0,nan,nan,0.23
9/18/2023 18:34:46,1.16.3,FR1,1,4.18,nan,1,Right,Left,12,25,5,0,nan,nan,0.02
9/18/2023 18:36:36,1.16.3,FR1,1,4.18,nan,1,Left,Left,13,25,5,0,nan,nan,0.08
9/18/2023 18:37:28,1.16.3,FR1,1,4.18,1,1,Pellet,Left,13,25,6,0,52.16,3094,nan
9/18/2023 18:41:24,1.16.3,FR1,1,4.18,nan,1,Left,Left,14,25,6,0,nan,nan,0.44
9/18/2023 18:41:25,1.16.3,FR1,1,4.18,nan,1,LeftDuringDispense,Left,15,25,6,0,nan,nan,0.24
9/18/2023 18:41:34,1.16.3,FR1,1,4.18,2,1,Pellet,Left,15,25,7,0,6.48,246,nan
9/18/2023 18:42:38,1.16.3,FR1,1,4.18,nan,1,Right,Left,15,26,7,0,nan,nan,0.15
