MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2023 16:43:04,1.16.3,FR1,4,4.18,nan,1,Left,Left,1,0,0,0,nan,nan,0.00
9/18/2023 16:43:05,1.16.3,FR1,4,4.18,nan,1,LeftDuringDispense,Left,2,0,0,0,nan,nan,0.44
9/18/2023 16:43:05,1.16.3,FR1,4,4.18,nan,1,LeftDuringDispense,Left,3,0,0,0,nan,nan,0.07
9/18/2023 16:48:46,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,3,1,0,0,nan,nan,0.27
9/18/2023 16:48:49,1.16.3,FR1,4,4.18,nan,1,RightWithPellet,Left,3,2,0,0,nan,nan,0.15
9/18/2023 16:49:34,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,4,2,0,0,nan,nan,0.31
9/18/2023 16:49:35,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,5,2,0,0,nan,nan,0.28
9/18/2023 16:55:51,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,6,2,0,0,nan,nan,0.41
9/18/2023 16:55:53,1.16.3,FR1,4,4.18,nan,1,LeftWithPellet,Left,7,2,0,0,nan,nan,0.40
9/18/2023 16:56:39,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,7,3,0,0,nan,nan,0.69
9/18/2023 16:56:46,1.16.3,FR1,4,4.18,nan,1,LeftWithPellet,Left,8,3,0,0,nan,nan,0.63
9/18/2023 17:03:21,1.16.3,FR1,4,4.18,nan,1,LeftWithPellet,Left,9,3,0,0,nan,nan,0.71
9/18/2023 17:05:16,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,10,3,0,0,nan,nan,0.08
9/18/2023 17:05:36,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,10,4,0,0,nan,nan,0.78
9/18/2023 17:06:09,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,11,4,0,0,nan,nan,0.95
9/18/2023 17:07:07,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,12,4,0,0,nan,nan,0.02
9/18/2023 17:07:48,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,12,5,0,0,nan,nan,0.32
9/18/2023 17:09:51,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,12,6,0,0,nan,nan,0.28
9/18/2023 17:11:42,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,12,7,0,0,nan,nan,0.43
9/18/2023 17:19:42,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,12,8,0,0,nan,nan,1.04
9/18/2023 17:19:44,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,12,9,0,0,nan,nan,0.69
9/18/2023 17:19:50,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,12,10,0,0,nan,nan,0.01
9/18/2023 17:19:54,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,12,11,0,0,nan,nan,0.12
9/18/2023 17:20:00,1.16.3,FR1,4,4.18,4,1,Pellet,Left,12,11,1,0,Timed_out,nan,nan
9/18/2023 17:20:55,1.16.3,FR1,4,4.17,nan,1,Right,Left,12,12,1,0,nan,nan,0.12
9/18/2023 17:20:57,1.16.3,FR1,4,4.18,nan,1,Right,Left,12,13,1,0,nan,nan,0.18
9/18/2023 17:20:58,1.16.3,FR1,4,4.17,nan,1,Right,Left,12,14,1,0,nan,nan,0.00
9/18/2023 17:26:15,1.16.3,FR1,4,4.17,nan,1,Right,Left,12,15,1,0,nan,nan,0.29
9/18/2023 17:26:32,1.16.3,FR1,4,4.17,nan,1,Left,Left,13,15,1,0,nan,nan,0.24
9/18/2023 17:27:08,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,13,16,1,0,nan,nan,0.16
9/18/2023 17:27:58,1.16.3,FR1,4,4.16,nan,1,RightWithPellet,Left,13,17,1,0,nan,nan,0.05
9/18/2023 17:30:04,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,14,17,1,0,nan,nan,0.16
9/18/2023 17:34:48,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,15,17,1,0,nan,nan,0.21
9/18/2023 17:34:54,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,16,17,1,0,nan,nan,0.32
9/18/2023 17:34:56,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,17,17,1,0,nan,nan,0.30
9/18/2023 17:36:25,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,17,18,1,0,nan,nan,0.22
9/18/2023 17:36:54,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,18,18,1,0,nan,nan,0.20
9/18/2023 17:37:49,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,19,18,1,0,nan,nan,0.70
9/18/2023 17:38:23,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,20,18,1,0,nan,nan,0.23
9/18/2023 17:43:21,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,20,19,1,0,nan,nan,0.10
9/18/2023 17:46:53,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,20,20,1,0,nan,nan,0.04
9/18/2023 17:51:21,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,21,20,1,0,nan,nan,0.13
9/18/2023 17:53:24,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,22,20,1,0,nan,nan,0.07
9/18/2023 17:53:55,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,23,20,1,0,nan,nan,0.64
9/18/2023 17:54:29,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,24,20,1,0,nan,nan,0.17
9/18/2023 17:54:32,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,25,20,1,0,nan,nan,0.02
9/18/2023 17:55:06,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,26,20,1,0,nan,nan,0.21
9/18/2023 17:55:11,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,27,20,1,0,nan,nan,0.33
9/18/2023 17:55:31,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,27,21,1,0,nan,nan,0.98
9/18/2023 17:55:54,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,28,21,1,0,nan,nan,0.05
9/18/2023 17:56:23,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,29,21,1,0,nan,nan,0.49
9/18/2023 17:59:01,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,30,21,1,0,nan,nan,0.19
9/18/2023 18:02:31,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,31,21,1,0,nan,nan,0.03
9/18/2023 18:07:43,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,32,21,1,0,nan,nan,0.24
9/18/2023 18:07:46,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,33,21,1,0,nan,nan,0.20
9/18/2023 18:08:01,1.16.3,FR1,4,4.17,nan,1,LeftWithPellet,Left,34,21,1,0,nan,nan,0.10
9/18/2023 18:08:23,1.16.3,FR1,4,4.16,nan,1,RightWithPellet,Left,34,22,1,0,nan,nan,0.24
9/18/2023 18:09:55,1.16.3,FR1,4,4.16,nan,1,RightWithPellet,Left,34,23,1,0,nan,nan,0.06
9/18/2023 18:21:07,1.16.3,FR1,4,4.17,nan,1,RightWithPellet,Left,34,24,1,0,nan,nan,0.06
9/18/2023 18:23:29,1.16.3,FR1,4,4.16,nan,1,LeftWithPellet,Left,35,24,1,0,nan,nan,0.14
9/18/2023 19:16:01,1.16.3,FR1,4,4.16,nan,1,RightWithPellet,Left,35,25,1,0,nan,nan,0.44
9/18/2023 19:16:05,1.16.3,FR1,4,4.17,2,1,Pellet,Left,35,25,2,0,Timed_out,6965,nan
9/18/2023 19:17:49,1.16.3,FR1,4,4.16,nan,1,Left,Left,36,25,2,0,nan,nan,0.06
9/18/2023 19:18:02,1.16.3,FR1,4,4.16,2,1,Pellet,Left,36,25,3,0,11.82,117,nan
9/18/2023 19:18:19,1.16.3,FR1,4,4.16,nan,1,Left,Left,37,25,3,0,nan,nan,0.00
9/18/2023 19:18:38,1.16.3,FR1,4,4.16,2,1,Pellet,Left,37,25,4,0,18.06,36,nan
9/18/2023 19:23:22,1.16.3,FR1,4,4.16,nan,1,Right,Left,37,26,4,0,nan,nan,0.24
