MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/11/2023 12:44:46,1.17.0,FR1,1,3.80,nan,1,Right,Left,0,1,0,0,nan,nan,0.06
9/11/2023 12:44:47,1.17.0,FR1,1,3.80,nan,1,Right,Left,0,2,0,0,nan,nan,0.15
9/11/2023 12:45:27,1.17.0,FR1,1,3.80,nan,1,Right,Left,0,3,0,0,nan,nan,0.44
9/11/2023 12:48:29,1.17.0,FR1,1,3.80,nan,1,Right,Left,0,4,0,0,nan,nan,0.17
9/11/2023 12:48:36,1.17.0,FR1,1,3.80,nan,1,Right,Left,0,5,0,0,nan,nan,0.00
9/11/2023 12:50:57,1.17.0,FR1,1,3.80,nan,1,Left,Left,1,5,0,0,nan,nan,0.87
9/11/2023 12:51:48,1.17.0,FR1,1,3.80,nan,1,RightWithPellet,Left,1,5,0,0,nan,nan,0.10
9/11/2023 13:05:30,1.17.0,FR1,1,3.80,nan,1,RightWithPellet,Left,1,5,0,0,nan,nan,0.35
9/11/2023 13:15:51,1.17.0,FR1,1,3.80,nan,1,LeftWithPellet,Left,1,5,0,0,nan,nan,0.37
9/11/2023 13:22:47,1.17.0,FR1,1,3.81,nan,1,RightWithPellet,Left,1,5,0,0,nan,nan,0.21
9/11/2023 13:31:33,1.17.0,FR1,1,3.80,3,1,Pellet,Left,1,5,1,0,Timed_out,nan,nan
9/11/2023 13:32:33,1.17.0,FR1,1,3.80,nan,1,Right,Left,1,6,1,0,nan,nan,0.07
9/11/2023 13:33:01,1.17.0,FR1,1,3.80,nan,1,Left,Left,2,6,1,0,nan,nan,0.52
9/11/2023 13:33:11,1.17.0,FR1,1,3.80,1,1,Pellet,Left,2,6,2,0,8.45,98,nan
9/11/2023 13:38:17,1.17.0,FR1,1,3.80,nan,1,Right,Left,2,7,2,0,nan,nan,0.02
9/11/2023 13:57:28,1.17.0,FR1,1,3.80,nan,1,Right,Left,2,8,2,0,nan,nan,0.39
9/11/2023 13:57:35,1.17.0,FR1,1,3.80,nan,1,Right,Left,2,9,2,0,nan,nan,0.00
9/11/2023 19:24:32,1.17.0,FR1,1,3.79,nan,1,Right,Left,2,10,2,0,nan,nan,0.76
9/11/2023 19:24:39,1.17.0,FR1,1,3.80,nan,1,Right,Left,2,11,2,0,nan,nan,0.00
9/11/2023 20:02:52,1.17.0,FR1,1,3.79,nan,1,Right,Left,2,12,2,0,nan,nan,0.68
9/11/2023 20:06:10,1.17.0,FR1,1,3.80,nan,1,Left,Left,3,12,2,0,nan,nan,0.34
9/11/2023 20:06:12,1.17.0,FR1,1,3.79,1,1,Pellet,Left,3,12,3,0,0.06,23581,nan
9/11/2023 21:01:00,1.17.0,FR1,1,3.79,nan,1,Left,Left,4,12,3,0,nan,nan,0.03
9/11/2023 21:01:00,1.17.0,FR1,1,3.78,nan,1,LeftDuringDispense,Left,4,12,3,0,nan,nan,0.07
9/11/2023 21:01:08,1.17.0,FR1,1,3.79,3,1,Pellet,Left,4,12,4,0,4.58,3296,nan
9/11/2023 21:02:23,1.17.0,FR1,1,3.78,nan,1,Right,Left,4,13,4,0,nan,nan,0.12
9/11/2023 21:05:20,1.17.0,FR1,1,3.79,nan,1,Left,Left,5,13,4,0,nan,nan,0.47
9/11/2023 21:05:25,1.17.0,FR1,1,3.78,1,1,Pellet,Left,5,13,5,0,3.54,257,nan
9/11/2023 21:08:25,1.17.0,FR1,1,3.79,nan,1,Left,Left,6,13,5,0,nan,nan,0.41
9/11/2023 21:08:32,1.17.0,FR1,1,3.79,1,1,Pellet,Left,6,13,6,0,5.81,187,nan
9/11/2023 21:09:16,1.17.0,FR1,1,3.79,nan,1,Right,Left,6,14,6,0,nan,nan,0.49
9/11/2023 21:09:58,1.17.0,FR1,1,3.79,nan,1,Right,Left,6,15,6,0,nan,nan,0.07
9/11/2023 21:14:29,1.17.0,FR1,1,3.79,nan,1,Left,Left,7,15,6,0,nan,nan,0.43
9/11/2023 21:14:35,1.17.0,FR1,1,3.79,1,1,Pellet,Left,7,15,7,0,4.71,363,nan
9/11/2023 21:16:46,1.17.0,FR1,1,3.78,nan,1,Right,Left,7,16,7,0,nan,nan,0.17
9/11/2023 21:16:55,1.17.0,FR1,1,3.78,nan,1,Left,Left,8,16,7,0,nan,nan,0.44
9/11/2023 21:17:07,1.17.0,FR1,1,3.79,1,1,Pellet,Left,8,16,8,0,11.15,152,nan
9/11/2023 21:21:24,1.17.0,FR1,1,3.79,nan,1,Left,Left,9,16,8,0,nan,nan,0.36
9/11/2023 21:21:28,1.17.0,FR1,1,3.79,1,1,Pellet,Left,9,16,9,0,3.48,261,nan
9/11/2023 21:22:09,1.17.0,FR1,1,3.79,nan,1,Left,Left,10,16,9,0,nan,nan,0.24
9/11/2023 21:22:16,1.17.0,FR1,1,3.79,1,1,Pellet,Left,10,16,10,0,6.18,48,nan
9/11/2023 21:24:43,1.17.0,FR1,1,3.79,nan,1,Right,Left,10,17,10,0,nan,nan,0.19
9/11/2023 21:26:43,1.17.0,FR1,1,3.78,nan,1,Right,Left,10,18,10,0,nan,nan,0.29
9/11/2023 21:27:33,1.17.0,FR1,1,3.78,nan,1,Left,Left,11,18,10,0,nan,nan,0.28
9/11/2023 21:27:40,1.17.0,FR1,1,3.79,1,1,Pellet,Left,11,18,11,0,5.44,324,nan
9/11/2023 21:28:58,1.17.0,FR1,1,3.79,nan,1,Left,Left,12,18,11,0,nan,nan,0.29
9/11/2023 21:29:01,1.17.0,FR1,1,3.78,1,1,Pellet,Left,12,18,12,0,1.71,81,nan
9/11/2023 21:29:41,1.17.0,FR1,1,3.79,nan,1,Right,Left,12,19,12,0,nan,nan,0.21
9/11/2023 21:31:14,1.17.0,FR1,1,3.78,nan,1,Left,Left,13,19,12,0,nan,nan,0.39
9/11/2023 21:31:16,1.17.0,FR1,1,3.79,nan,1,LeftWithPellet,Left,13,19,12,0,nan,nan,0.14
9/11/2023 21:31:17,1.17.0,FR1,1,3.78,1,1,Pellet,Left,13,19,13,0,1.70,136,nan
9/11/2023 21:31:39,1.17.0,FR1,1,3.78,nan,1,Left,Left,14,19,13,0,nan,nan,0.35
9/11/2023 21:31:45,1.17.0,FR1,1,3.79,2,1,Pellet,Left,14,19,14,0,2.32,27,nan
9/11/2023 21:32:12,1.17.0,FR1,1,3.79,nan,1,Left,Left,15,19,14,0,nan,nan,0.21
9/11/2023 21:32:14,1.17.0,FR1,1,3.78,1,1,Pellet,Left,15,19,15,0,0.73,30,nan
9/11/2023 21:32:38,1.17.0,FR1,1,3.79,nan,1,Left,Left,16,19,15,0,nan,nan,0.24
9/11/2023 21:32:43,1.17.0,FR1,1,3.79,1,1,Pellet,Left,16,19,16,0,4.16,29,nan
9/11/2023 21:33:03,1.17.0,FR1,1,3.78,nan,1,Left,Left,17,19,16,0,nan,nan,0.50
9/11/2023 21:33:04,1.17.0,FR1,1,3.78,nan,1,LeftDuringDispense,Left,17,19,16,0,nan,nan,0.04
9/11/2023 21:33:08,1.17.0,FR1,1,3.78,2,1,Pellet,Left,17,19,17,0,0.67,25,nan
9/11/2023 21:33:31,1.17.0,FR1,1,3.78,nan,1,Left,Left,18,19,17,0,nan,nan,0.25
9/11/2023 21:33:34,1.17.0,FR1,1,3.78,1,1,Pellet,Left,18,19,18,0,1.95,26,nan
9/11/2023 21:33:55,1.17.0,FR1,1,3.78,nan,1,Left,Left,19,19,18,0,nan,nan,0.04
9/11/2023 21:33:58,1.17.0,FR1,1,3.78,nan,1,LeftWithPellet,Left,19,19,18,0,nan,nan,0.39
9/11/2023 21:34:02,1.17.0,FR1,1,3.79,1,1,Pellet,Left,19,19,19,0,5.32,28,nan
9/11/2023 21:34:28,1.17.0,FR1,1,3.79,nan,1,Left,Left,20,19,19,0,nan,nan,0.20
9/11/2023 21:34:33,1.17.0,FR1,1,3.79,1,1,Pellet,Left,20,19,20,0,3.73,31,nan
9/11/2023 21:34:59,1.17.0,FR1,1,3.78,nan,1,Right,Left,20,20,20,0,nan,nan,0.15
9/11/2023 21:35:00,1.17.0,FR1,1,3.79,nan,1,Left,Left,21,20,20,0,nan,nan,0.18
9/11/2023 21:35:03,1.17.0,FR1,1,3.79,1,1,Pellet,Left,21,20,21,0,1.22,30,nan
9/11/2023 21:35:24,1.17.0,FR1,1,3.78,nan,1,Left,Left,22,20,21,0,nan,nan,0.22
9/11/2023 21:35:33,1.17.0,FR1,1,3.79,1,1,Pellet,Left,22,20,22,0,7.60,30,nan
9/11/2023 21:35:54,1.17.0,FR1,1,3.78,nan,1,Right,Left,22,21,22,0,nan,nan,0.17
9/11/2023 21:38:23,1.17.0,FR1,1,3.78,nan,1,Left,Left,23,21,22,0,nan,nan,0.13
9/11/2023 21:38:26,1.17.0,FR1,1,3.79,1,1,Pellet,Left,23,21,23,0,1.28,173,nan
9/11/2023 21:39:46,1.17.0,FR1,1,3.79,nan,1,Right,Left,23,22,23,0,nan,nan,0.26
9/11/2023 21:39:58,1.17.0,FR1,1,3.77,nan,1,Left,Left,24,22,23,0,nan,nan,0.27
