MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/6/2023 19:33:22,1.17.0,FR1,3,4.09,nan,1,Left,Left,1,0,0,0,nan,nan,0.22
3/6/2023 20:01:09,1.17.0,FR1,3,4.09,1,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
3/6/2023 20:02:34,1.17.0,FR1,3,4.09,nan,1,Left,Left,2,0,1,0,nan,nan,0.60
3/6/2023 20:02:40,1.17.0,FR1,3,4.09,1,1,Pellet,Left,2,0,2,0,4.59,90,nan
3/6/2023 20:29:07,1.17.0,FR1,3,4.09,nan,1,Left,Left,3,0,2,0,nan,nan,0.50
3/6/2023 20:29:21,1.17.0,FR1,3,4.09,1,1,Pellet,Left,3,0,3,0,13.44,1602,nan
3/6/2023 20:31:16,1.17.0,FR1,3,4.09,nan,1,Right,Left,3,1,3,0,nan,nan,0.05
3/6/2023 20:31:59,1.17.0,FR1,3,4.09,nan,1,Left,Left,4,1,3,0,nan,nan,0.64
3/6/2023 20:32:05,1.17.0,FR1,3,4.09,2,1,Pellet,Left,4,1,4,0,3.79,164,nan
3/6/2023 20:33:16,1.17.0,FR1,3,4.09,nan,1,Right,Left,4,2,4,0,nan,nan,0.91
3/6/2023 20:36:12,1.17.0,FR1,3,4.09,nan,1,Left,Left,5,2,4,0,nan,nan,0.16
3/6/2023 20:36:17,1.17.0,FR1,3,4.09,1,1,Pellet,Left,5,2,5,0,4.41,252,nan
3/6/2023 20:38:03,1.17.0,FR1,3,4.09,nan,1,Left,Left,6,2,5,0,nan,nan,0.30
3/6/2023 20:38:14,1.17.0,FR1,3,4.09,3,1,Pellet,Left,6,2,6,0,6.50,117,nan
3/6/2023 20:38:50,1.17.0,FR1,3,4.09,nan,1,Left,Left,7,2,6,0,nan,nan,0.46
3/6/2023 20:38:59,1.17.0,FR1,3,4.09,1,1,Pellet,Left,7,2,7,0,8.52,45,nan
3/6/2023 20:40:04,1.17.0,FR1,3,4.09,nan,1,Left,Left,8,2,7,0,nan,nan,0.44
3/6/2023 20:40:15,1.17.0,FR1,3,4.09,1,1,Pellet,Left,8,2,8,0,10.05,76,nan
3/6/2023 20:41:02,1.17.0,FR1,3,4.08,nan,1,Left,Left,9,2,8,0,nan,nan,0.19
3/6/2023 20:41:12,1.17.0,FR1,3,4.09,1,1,Pellet,Left,9,2,9,0,9.56,57,nan
