MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-04 17:13:19,1.17.0,FR1,5,4.08,,1,Poke,Left,0,1,0,0,,,0.24,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-09-04 17:13:30,1.17.0,FR1,5,4.09,,1,Poke,Left,1,1,0,0,,,0.03,0 days 00:00:11.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:13:34,1.17.0,FR1,5,4.09,3.0,1,Pellet,Left,1,1,1,0,1.21,,,0 days 00:00:15.000000000,1.0,,0.0,0.0,,0,FR1
2023-09-04 17:14:20,1.17.0,FR1,5,4.08,,1,Poke,Left,2,1,1,0,,,0.18,0 days 00:01:01.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:14:21,1.17.0,FR1,5,4.09,2.0,1,Pellet,Left,2,1,2,0,1.09,47.0,,0 days 00:01:02.000000000,1.0,0.7833333333333333,0.0,0.0,,0,FR1
2023-09-04 17:14:38,1.17.0,FR1,5,4.09,,1,Poke,Left,3,1,2,0,,,0.24,0 days 00:01:19.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:14:39,1.17.0,FR1,5,4.09,2.0,1,Pellet,Left,3,1,3,0,0.24,18.0,,0 days 00:01:20.000000000,1.0,0.3,0.0,0.0,,0,FR1
2023-09-04 17:15:09,1.17.0,FR1,5,4.08,,1,Poke,Left,4,1,3,0,,,0.37,0 days 00:01:50.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:15:10,1.17.0,FR1,5,4.08,1.0,1,Pellet,Left,4,1,4,0,0.3,31.0,,0 days 00:01:51.000000000,1.0,0.5166666666666667,0.0,0.0,,0,FR1
2023-09-04 17:15:33,1.17.0,FR1,5,4.08,,1,Poke,Left,5,1,4,0,,,0.36,0 days 00:02:14.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:15:34,1.17.0,FR1,5,4.08,1.0,1,Pellet,Left,5,1,5,0,0.24,24.0,,0 days 00:02:15.000000000,1.0,0.4,0.0,0.0,,0,FR1
2023-09-04 17:15:58,1.17.0,FR1,5,4.08,,1,Poke,Left,6,1,5,0,,,0.33,0 days 00:02:39.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:15:59,1.17.0,FR1,5,4.09,1.0,1,Pellet,Left,6,1,6,0,0.3,25.0,,0 days 00:02:40.000000000,1.0,0.4166666666666667,0.0,0.0,,0,FR1
2023-09-04 17:16:20,1.17.0,FR1,5,4.08,,1,Poke,Left,7,1,6,0,,,0.16,0 days 00:03:01.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:16:22,1.17.0,FR1,5,4.08,1.0,1,Pellet,Left,7,1,7,0,0.6,22.0,,0 days 00:03:03.000000000,1.0,0.38333333333333336,0.0,0.0,,0,FR1
2023-09-04 17:16:43,1.17.0,FR1,5,4.08,,1,Poke,Left,8,1,7,0,,,0.13,0 days 00:03:24.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:16:44,1.17.0,FR1,5,4.08,1.0,1,Pellet,Left,8,1,8,0,0.3,23.0,,0 days 00:03:25.000000000,1.0,0.36666666666666664,0.0,0.0,,0,FR1
2023-09-04 17:17:09,1.17.0,FR1,5,4.09,,1,Poke,Left,9,1,8,0,,,0.07,0 days 00:03:50.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:17:10,1.17.0,FR1,5,4.08,1.0,1,Pellet,Left,9,1,9,0,0.24,26.0,,0 days 00:03:51.000000000,1.0,0.43333333333333335,0.0,0.0,,0,FR1
2023-09-04 17:17:43,1.17.0,FR1,5,4.08,,1,Poke,Left,9,2,9,0,,,0.05,0 days 00:04:24.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-09-04 17:17:47,1.17.0,FR1,5,4.09,,1,Poke,Left,10,2,9,0,,,0.22,0 days 00:04:28.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:17:50,1.17.0,FR1,5,4.09,1.0,1,Pellet,Left,10,2,10,0,1.46,40.0,,0 days 00:04:31.000000000,1.0,0.6666666666666666,0.0,0.0,,0,FR1
2023-09-04 17:18:39,1.17.0,FR1,5,4.08,,1,Poke,Left,11,2,10,0,,,0.65,0 days 00:05:20.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:18:39,1.17.0,FR1,5,4.09,,1,Poke,Left,11,2,10,0,,,0.15,0 days 00:05:20.000000000,0.0,,0.0,0.0,0.0,0,FR1
2023-09-04 17:18:43,1.17.0,FR1,5,4.08,2.0,1,Pellet,Left,11,2,11,0,1.09,53.0,,0 days 00:05:24.000000000,1.0,0.8833333333333333,0.0,0.0,,0,FR1
2023-09-04 17:19:10,1.17.0,FR1,5,4.08,,1,Poke,Left,11,3,11,0,,,0.41,0 days 00:05:51.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-09-04 17:19:12,1.17.0,FR1,5,4.08,,1,Poke,Left,12,3,11,0,,,0.02,0 days 00:05:53.000000000,0.0,,1.0,0.0,1.0,0,FR1
2023-09-04 17:19:13,1.17.0,FR1,5,4.08,,1,Poke,Left,12,3,11,0,,,0.28,0 days 00:05:54.000000000,0.0,,0.0,0.0,0.0,0,FR1
