MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/11/2023 16:28:58,1.17.0,FR1,8,3.78,nan,1,Left,Left,1,0,0,0,nan,nan,0.04
9/11/2023 16:33:33,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.70
9/11/2023 16:33:35,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.22
9/11/2023 16:36:23,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.04
9/11/2023 16:37:22,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.41
9/11/2023 16:38:15,1.17.0,FR1,8,3.78,nan,1,RightWithPellet,Left,1,0,0,0,nan,nan,0.08
9/11/2023 16:40:59,1.17.0,FR1,8,3.77,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.44
9/11/2023 16:42:46,1.17.0,FR1,8,3.78,nan,1,RightWithPellet,Left,1,0,0,0,nan,nan,0.42
9/11/2023 16:43:56,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.08
9/11/2023 16:44:12,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.39
9/11/2023 16:44:18,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.78
9/11/2023 16:44:22,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.03
9/11/2023 16:44:55,1.17.0,FR1,8,3.78,nan,1,RightWithPellet,Left,1,0,0,0,nan,nan,0.16
9/11/2023 16:45:58,1.17.0,FR1,8,3.78,nan,1,RightWithPellet,Left,1,0,0,0,nan,nan,0.40
9/11/2023 16:46:11,1.17.0,FR1,8,3.78,nan,1,RightWithPellet,Left,1,0,0,0,nan,nan,0.05
9/11/2023 16:46:13,1.17.0,FR1,8,3.78,nan,1,RightWithPellet,Left,1,0,0,0,nan,nan,0.13
9/11/2023 16:46:19,1.17.0,FR1,8,3.78,nan,1,RightWithPellet,Left,1,0,0,0,nan,nan,0.08
9/11/2023 16:47:01,1.17.0,FR1,8,3.78,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.83
9/11/2023 16:47:10,1.17.0,FR1,8,3.78,3,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
9/11/2023 16:50:24,1.17.0,FR1,8,3.78,nan,1,Left,Left,2,0,1,0,nan,nan,0.21
9/11/2023 16:50:29,1.17.0,FR1,8,3.78,1,1,Pellet,Left,2,0,2,0,3.24,199,nan
9/11/2023 16:52:35,1.17.0,FR1,8,3.77,nan,1,Right,Left,2,1,2,0,nan,nan,0.17
9/11/2023 16:52:50,1.17.0,FR1,8,3.78,nan,1,Left,Left,3,1,2,0,nan,nan,0.28
9/11/2023 16:52:55,1.17.0,FR1,8,3.78,1,1,Pellet,Left,3,1,3,0,3.24,146,nan
9/11/2023 16:56:12,1.17.0,FR1,8,3.78,nan,1,Left,Left,4,1,3,0,nan,nan,0.35
9/11/2023 16:56:16,1.17.0,FR1,8,3.78,1,1,Pellet,Left,4,1,4,0,2.50,201,nan
9/11/2023 19:06:59,1.17.0,FR1,8,3.77,nan,1,Left,Left,5,1,4,0,nan,nan,0.02
9/11/2023 19:07:14,1.17.0,FR1,8,3.77,1,1,Pellet,Left,5,1,5,0,13.54,7858,nan
9/11/2023 19:09:23,1.17.0,FR1,8,3.77,nan,1,Right,Left,5,2,5,0,nan,nan,0.16
