,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
0,3/15/2024 16:02:55,1.16.3,FR1,3,4.18,,1,Right,Left,0,1,0,0,,,0.0,2024-03-15 16:02:55
1,3/15/2024 16:03:26,1.16.3,FR1,3,4.18,,1,Left,Left,1,1,0,0,,,0.14,2024-03-15 16:03:26
2,3/15/2024 16:03:57,1.16.3,FR1,3,4.18,3.0,1,Pellet,Left,1,1,1,0,28.25,,,2024-03-15 16:03:57
3,3/15/2024 16:04:05,1.16.3,FR1,3,4.18,,1,Left,Left,2,1,1,0,,,0.36,2024-03-15 16:04:05
4,3/15/2024 16:04:33,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,3,1,1,0,,,0.23,2024-03-15 16:04:33
5,3/15/2024 16:05:14,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,3,2,1,0,,,0.25,2024-03-15 16:05:14
6,3/15/2024 16:07:13,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,3,3,1,0,,,0.29,2024-03-15 16:07:13
7,3/15/2024 16:07:57,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,3,4,1,0,,,0.38,2024-03-15 16:07:57
8,3/15/2024 16:09:21,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,4,4,1,0,,,0.05,2024-03-15 16:09:21
9,3/15/2024 16:12:36,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,5,4,1,0,,,0.43,2024-03-15 16:12:36
10,3/15/2024 16:13:54,1.16.3,FR1,3,4.19,,1,RightWithPellet,Left,5,5,1,0,,,0.14,2024-03-15 16:13:54
11,3/15/2024 16:14:52,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,6,5,1,0,,,0.17,2024-03-15 16:14:52
12,3/15/2024 16:17:02,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,6,6,1,0,,,0.14,2024-03-15 16:17:02
13,3/15/2024 16:21:02,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,7,6,1,0,,,0.35,2024-03-15 16:21:02
14,3/15/2024 16:23:02,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,7,6,2,0,Timed_out,1145.0,,2024-03-15 16:23:02
15,3/15/2024 16:23:55,1.16.3,FR1,3,4.18,,1,Right,Left,7,7,2,0,,,0.16,2024-03-15 16:23:55
16,3/15/2024 16:24:03,1.16.3,FR1,3,4.18,,1,Left,Left,8,7,2,0,,,0.36,2024-03-15 16:24:03
17,3/15/2024 16:24:22,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,8,7,3,0,18.73,80.0,,2024-03-15 16:24:22
18,3/15/2024 16:24:45,1.16.3,FR1,3,4.18,,1,Right,Left,8,8,3,0,,,0.05,2024-03-15 16:24:45
19,3/15/2024 16:24:56,1.16.3,FR1,3,4.18,,1,Right,Left,8,9,3,0,,,0.05,2024-03-15 16:24:56
20,3/15/2024 16:25:05,1.16.3,FR1,3,4.18,,1,Left,Left,9,9,3,0,,,1.73,2024-03-15 16:25:05
21,3/15/2024 16:25:35,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,9,10,3,0,,,0.11,2024-03-15 16:25:35
22,3/15/2024 16:25:42,1.16.3,FR1,3,4.18,2.0,1,Pellet,Left,9,10,4,0,34.48,80.0,,2024-03-15 16:25:42
23,3/15/2024 16:25:53,1.16.3,FR1,3,4.18,,1,Left,Left,10,10,4,0,,,0.63,2024-03-15 16:25:53
24,3/15/2024 16:30:32,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,11,10,4,0,,,0.52,2024-03-15 16:30:32
25,3/15/2024 16:33:22,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,11,11,4,0,,,0.17,2024-03-15 16:33:22
26,3/15/2024 16:34:26,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,11,12,4,0,,,0.97,2024-03-15 16:34:26
27,3/15/2024 16:34:31,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,12,12,4,0,,,0.42,2024-03-15 16:34:31
28,3/15/2024 16:41:48,1.16.3,FR1,3,4.17,,1,RightWithPellet,Left,12,13,4,0,,,0.43,2024-03-15 16:41:48
29,3/15/2024 16:43:49,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,12,13,5,0,Timed_out,1087.0,,2024-03-15 16:43:49
30,3/15/2024 17:19:35,1.16.3,FR1,3,4.18,,1,Left,Left,13,13,5,0,,,0.48,2024-03-15 17:19:35
31,3/15/2024 17:19:52,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,13,13,6,0,16.68,2163.0,,2024-03-15 17:19:52
32,3/15/2024 17:20:33,1.16.3,FR1,3,4.18,,1,Left,Left,14,13,6,0,,,0.04,2024-03-15 17:20:33
33,3/15/2024 17:20:59,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,15,13,6,0,,,0.36,2024-03-15 17:20:59
34,3/15/2024 17:21:00,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,16,13,6,0,,,0.5,2024-03-15 17:21:00
35,3/15/2024 17:21:15,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,16,13,7,0,41.40,83.0,,2024-03-15 17:21:15
36,3/15/2024 17:21:42,1.16.3,FR1,3,4.18,,1,Right,Left,16,14,7,0,,,0.13,2024-03-15 17:21:42
37,3/15/2024 17:21:46,1.16.3,FR1,3,4.18,,1,Left,Left,17,14,7,0,,,0.28,2024-03-15 17:21:46
38,3/15/2024 17:23:40,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,17,15,7,0,,,0.25,2024-03-15 17:23:40
39,3/15/2024 17:30:03,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,18,15,7,0,,,0.09,2024-03-15 17:30:03
40,3/15/2024 17:32:31,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,19,15,7,0,,,0.63,2024-03-15 17:32:31
41,3/15/2024 17:32:48,1.16.3,FR1,3,4.17,1.0,1,Pellet,Left,19,15,8,0,Timed_out,693.0,,2024-03-15 17:32:48
42,3/15/2024 17:36:26,1.16.3,FR1,3,4.18,,1,Right,Left,19,16,8,0,,,0.85,2024-03-15 17:36:26
43,3/15/2024 17:36:30,1.16.3,FR1,3,4.18,,1,Left,Left,20,16,8,0,,,0.29,2024-03-15 17:36:30
44,3/15/2024 17:36:41,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,20,17,8,0,,,0.4,2024-03-15 17:36:41
45,3/15/2024 17:36:42,1.16.3,FR1,3,4.17,2.0,1,Pellet,Left,20,17,9,0,9.41,234.0,,2024-03-15 17:36:42
46,3/15/2024 17:36:47,1.16.3,FR1,3,4.18,,1,Left,Left,21,17,9,0,,,0.28,2024-03-15 17:36:47
47,3/15/2024 17:36:48,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,21,17,10,0,0.06,6.0,,2024-03-15 17:36:48
48,3/15/2024 17:36:51,1.16.3,FR1,3,4.18,,1,Left,Left,22,17,10,0,,,0.12,2024-03-15 17:36:51
49,3/15/2024 17:36:52,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,22,17,11,0,0.20,4.0,,2024-03-15 17:36:52
50,3/15/2024 17:38:01,1.16.3,FR1,3,4.18,,1,Left,Left,23,17,11,0,,,0.03,2024-03-15 17:38:01
51,3/15/2024 17:40:41,1.16.3,FR1,3,4.18,2.0,1,Pellet,Left,23,17,12,0,Timed_out,229.0,,2024-03-15 17:40:41
52,3/15/2024 17:42:56,1.16.3,FR1,3,4.18,,1,Left,Left,24,17,12,0,,,0.21,2024-03-15 17:42:56
53,3/15/2024 17:43:25,1.16.3,FR1,3,4.18,1.0,1,Pellet,Left,24,17,13,0,27.86,164.0,,2024-03-15 17:43:25
54,3/15/2024 18:03:40,1.16.3,FR1,3,4.18,,1,Left,Left,25,17,13,0,,,0.27,2024-03-15 18:03:40
55,3/15/2024 18:08:48,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,25,18,13,0,,,0.11,2024-03-15 18:08:48
56,3/15/2024 18:17:07,1.16.3,FR1,3,4.17,1.0,1,Pellet,Left,25,18,14,0,Timed_out,2022.0,,2024-03-15 18:17:07
57,3/15/2024 18:20:00,1.16.3,FR1,3,4.17,,1,Left,Left,26,18,14,0,,,0.56,2024-03-15 18:20:00
58,3/15/2024 18:20:13,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,26,19,14,0,,,0.51,2024-03-15 18:20:13
59,3/15/2024 18:20:16,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,26,20,14,0,,,0.31,2024-03-15 18:20:16
60,3/15/2024 18:20:31,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,26,21,14,0,,,0.09,2024-03-15 18:20:31
61,3/15/2024 18:20:43,1.16.3,FR1,3,4.17,,1,RightWithPellet,Left,26,22,14,0,,,0.09,2024-03-15 18:20:43
62,3/15/2024 18:21:09,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,26,23,14,0,,,0.07,2024-03-15 18:21:09
63,3/15/2024 18:23:08,1.16.3,FR1,3,4.18,,1,RightWithPellet,Left,26,24,14,0,,,0.44,2024-03-15 18:23:08
64,3/15/2024 18:23:26,1.16.3,FR1,3,4.18,,1,LeftWithPellet,Left,27,24,14,0,,,0.49,2024-03-15 18:23:26
