,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
0,9/5/2023 17:34:26,1.16.3,FR1,5,3.89,,1,Right,Left,0,1,0,0,,,0.0
1,9/5/2023 17:36:18,1.16.3,FR1,5,3.89,,1,Left,Left,1,1,0,0,,,0.29
2,9/5/2023 17:38:19,1.16.3,FR1,5,3.89,,1,LeftWithPellet,Left,2,1,0,0,,,0.13
3,9/5/2023 17:40:41,1.16.3,FR1,5,3.88,,1,LeftWithPellet,Left,3,1,0,0,,,0.13
4,9/5/2023 17:43:23,1.16.3,FR1,5,3.88,,1,RightWithPellet,Left,3,2,0,0,,,0.2
5,9/5/2023 17:46:23,1.16.3,FR1,5,3.88,3.0,1,Pellet,Left,3,2,1,0,Timed_out,,
6,9/5/2023 17:52:07,1.16.3,FR1,5,3.88,,1,Left,Left,4,2,1,0,,,0.43
7,9/5/2023 17:52:07,1.16.3,FR1,5,3.88,,1,LeftDuringDispense,Left,5,2,1,0,,,0.0
8,9/5/2023 17:52:32,1.16.3,FR1,5,3.89,3.0,1,Pellet,Left,5,2,2,0,21.48,369.0,
9,9/5/2023 18:02:53,1.16.3,FR1,5,3.88,,1,Right,Left,5,3,2,0,,,0.3
10,9/5/2023 18:05:31,1.16.3,FR1,5,3.88,,1,Right,Left,5,4,2,0,,,0.09
11,9/5/2023 18:13:40,1.16.3,FR1,5,3.88,,1,Left,Left,6,4,2,0,,,0.75
12,9/5/2023 18:13:40,1.16.3,FR1,5,3.88,,1,LeftDuringDispense,Left,7,4,2,0,,,0.03
13,9/5/2023 18:14:18,1.16.3,FR1,5,3.88,3.0,1,Pellet,Left,7,4,3,0,35.06,1306.0,
14,9/5/2023 18:15:30,1.16.3,FR1,5,3.89,,1,Left,Left,8,4,3,0,,,0.02
15,9/5/2023 18:15:57,1.16.3,FR1,5,3.88,5.0,1,Pellet,Left,8,4,4,0,19.49,99.0,
16,9/5/2023 18:17:06,1.16.3,FR1,5,3.88,,1,Left,Left,9,4,4,0,,,0.31
17,9/5/2023 18:17:23,1.16.3,FR1,5,3.88,8.0,1,Pellet,Left,9,4,5,0,1.63,86.0,
18,9/5/2023 18:21:29,1.16.3,FR1,5,3.89,,1,Right,Left,9,5,5,0,,,0.01
19,9/5/2023 18:25:16,1.16.3,FR1,5,3.88,,1,Right,Left,9,6,5,0,,,0.25
20,9/5/2023 18:25:16,1.16.3,FR1,5,3.89,,1,Right,Left,9,7,5,0,,,0.0
21,9/5/2023 18:25:18,1.16.3,FR1,5,3.88,,1,Right,Left,9,8,5,0,,,0.0
22,9/5/2023 18:25:18,1.16.3,FR1,5,3.87,,1,Right,Left,9,9,5,0,,,0.0
23,9/5/2023 18:26:00,1.16.3,FR1,5,3.87,,1,Left,Left,10,9,5,0,,,0.61
24,9/5/2023 18:26:12,1.16.3,FR1,5,3.88,4.0,1,Pellet,Left,10,9,6,0,5.19,529.0,
25,9/5/2023 18:38:39,1.16.3,FR1,5,3.89,,1,Left,Left,11,9,6,0,,,0.6
26,9/5/2023 18:38:39,1.16.3,FR1,5,3.88,,1,LeftDuringDispense,Left,12,9,6,0,,,0.02
27,9/5/2023 18:38:54,1.16.3,FR1,5,3.88,2.0,1,Pellet,Left,12,9,7,0,12.03,762.0,
28,9/5/2023 18:44:55,1.16.3,FR1,5,3.88,,1,Right,Left,12,10,7,0,,,0.74
29,9/5/2023 18:45:19,1.16.3,FR1,5,3.87,,1,Left,Left,13,10,7,0,,,0.05
30,9/5/2023 18:45:20,1.16.3,FR1,5,3.87,,1,LeftDuringDispense,Left,14,10,7,0,,,0.33
31,9/5/2023 18:45:20,1.16.3,FR1,5,3.88,,1,LeftDuringDispense,Left,15,10,7,0,,,0.0
32,9/5/2023 18:45:28,1.16.3,FR1,5,3.88,5.0,1,Pellet,Left,15,10,8,0,0.34,394.0,
33,9/5/2023 18:46:20,1.16.3,FR1,5,3.88,,1,Left,Left,16,10,8,0,,,0.08
34,9/5/2023 18:46:29,1.16.3,FR1,5,3.88,3.0,1,Pellet,Left,16,10,9,0,3.89,61.0,
35,9/5/2023 18:47:44,1.16.3,FR1,5,3.88,,1,Left,Left,17,10,9,0,,,0.17
36,9/5/2023 18:47:46,1.16.3,FR1,5,3.88,1.0,1,Pellet,Left,17,10,10,0,0.61,77.0,
37,9/5/2023 18:56:26,1.16.3,FR1,5,3.88,,1,Left,Left,18,10,10,0,,,0.89
38,9/5/2023 18:56:31,1.16.3,FR1,5,3.88,1.0,1,Pellet,Left,18,10,11,0,4.23,525.0,
39,9/5/2023 18:58:04,1.16.3,FR1,5,3.88,,1,Right,Left,18,11,11,0,,,0.18
