MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/6/2023 17:55:12,1.16.3,FR1,6,4.16,nan,1,Right,Left,0,1,0,0,nan,nan,0.43
9/6/2023 17:55:25,1.16.3,FR1,6,4.16,nan,1,Right,Left,0,2,0,0,nan,nan,0.13
9/6/2023 17:55:31,1.16.3,FR1,6,4.16,nan,1,Right,Left,0,3,0,0,nan,nan,0.00
9/6/2023 17:55:37,1.16.3,FR1,6,4.15,nan,1,Right,Left,0,4,0,0,nan,nan,0.49
9/6/2023 17:55:41,1.16.3,FR1,6,4.15,nan,1,Right,Left,0,5,0,0,nan,nan,0.40
9/6/2023 17:56:33,1.16.3,FR1,6,4.16,nan,1,Left,Left,1,5,0,0,nan,nan,0.14
9/6/2023 17:56:38,1.16.3,FR1,6,4.15,2,1,Pellet,Left,1,5,1,0,1.56,nan,nan
9/6/2023 17:57:01,1.16.3,FR1,6,4.16,nan,1,Right,Left,1,6,1,0,nan,nan,0.17
9/6/2023 17:57:07,1.16.3,FR1,6,4.16,nan,1,Right,Left,1,7,1,0,nan,nan,0.17
9/6/2023 17:57:08,1.16.3,FR1,6,4.16,nan,1,Right,Left,1,8,1,0,nan,nan,0.00
9/6/2023 17:57:13,1.16.3,FR1,6,4.16,nan,1,Right,Left,1,9,1,0,nan,nan,0.26
9/6/2023 17:57:18,1.16.3,FR1,6,4.16,nan,1,Right,Left,1,10,1,0,nan,nan,0.02
9/6/2023 17:57:21,1.16.3,FR1,6,4.15,nan,1,Right,Left,1,11,1,0,nan,nan,0.70
9/6/2023 17:57:28,1.16.3,FR1,6,4.15,nan,1,Right,Left,1,12,1,0,nan,nan,0.75
9/6/2023 17:57:29,1.16.3,FR1,6,4.16,nan,1,Right,Left,1,13,1,0,nan,nan,0.34
9/6/2023 17:57:31,1.16.3,FR1,6,4.16,nan,1,Right,Left,1,14,1,0,nan,nan,0.00
9/6/2023 17:57:36,1.16.3,FR1,6,4.15,nan,1,Left,Left,2,14,1,0,nan,nan,0.31
9/6/2023 17:57:37,1.16.3,FR1,6,4.16,nan,1,LeftDuringDispense,Left,3,14,1,0,nan,nan,0.35
9/6/2023 17:57:42,1.16.3,FR1,6,4.15,2,1,Pellet,Left,3,14,2,0,2.45,64,nan
