MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
2/8/2021 14:56:42,1.2.5,FR1,4,4.17,1,1,Right,Left,0,1,0,0,nan,0.15
2/8/2021 14:56:43,1.2.5,FR1,4,4.17,1,1,Left,Left,1,1,0,0,nan,0.10
2/8/2021 14:58:49,1.2.5,FR1,4,4.17,3,1,Pellet,Left,1,1,1,0,Timed_out,nan
2/8/2021 14:58:58,1.2.5,FR1,4,4.17,1,1,Right,Left,1,2,1,0,nan,0.06
2/8/2021 14:59:43,1.2.5,FR1,4,4.17,1,1,Left,Left,2,2,1,0,nan,0.17
2/8/2021 14:59:52,1.2.5,FR1,4,4.17,1,1,Pellet,Left,2,2,2,0,7.00,nan
2/8/2021 14:59:53,1.2.5,FR1,4,4.17,1,1,Right,Left,2,3,2,0,nan,0.12
2/8/2021 15:00:19,1.2.5,FR1,4,4.17,1,1,Left,Left,3,3,2,0,nan,0.15
2/8/2021 15:00:23,1.2.5,FR1,4,4.17,1,1,Pellet,Left,3,3,3,0,2.57,nan
2/8/2021 15:01:10,1.2.5,FR1,4,4.17,1,1,Left,Left,4,3,3,0,nan,0.00
2/8/2021 15:01:12,1.2.5,FR1,4,4.17,2,1,Pellet,Left,4,3,4,0,0.32,nan
2/8/2021 15:01:29,1.2.5,FR1,4,4.17,1,1,Right,Left,4,4,4,0,nan,0.10
2/8/2021 15:01:52,1.2.5,FR1,4,4.17,1,1,Left,Left,5,4,4,0,nan,0.00
2/8/2021 15:01:55,1.2.5,FR1,4,4.17,1,1,Pellet,Left,5,4,5,0,0.79,nan
2/8/2021 15:02:06,1.2.5,FR1,4,4.17,1,1,Left,Left,6,4,5,0,nan,0.22
2/8/2021 15:02:08,1.2.5,FR1,4,4.17,1,1,Pellet,Left,6,4,6,0,0.46,nan
2/8/2021 15:02:33,1.2.5,FR1,4,4.17,1,1,Left,Left,7,4,6,0,nan,0.14
2/8/2021 15:02:38,1.2.5,FR1,4,4.17,2,1,Pellet,Left,7,4,7,0,0.65,nan
2/8/2021 15:03:24,1.2.5,FR1,4,4.17,1,1,Left,Left,8,4,7,0,nan,0.14
2/8/2021 15:03:31,1.2.5,FR1,4,4.17,1,1,Pellet,Left,8,4,8,0,5.67,nan
2/8/2021 15:04:54,1.2.5,FR1,4,4.17,1,1,Left,Left,9,4,8,0,nan,0.12
2/8/2021 15:05:12,1.2.5,FR1,4,4.17,1,1,Pellet,Left,9,4,9,0,16.13,nan
2/8/2021 15:07:12,1.2.5,FR1,4,4.17,1,1,Right,Left,9,5,9,0,nan,0.60
2/8/2021 15:08:03,1.2.5,FR1,4,4.17,1,1,Left,Left,10,5,9,0,nan,0.16
2/8/2021 15:08:22,1.2.5,FR1,4,4.17,1,1,Pellet,Left,10,5,10,0,16.86,nan
2/8/2021 15:08:30,1.2.5,FR1,4,4.17,1,1,Left,Left,11,5,10,0,nan,0.35
2/8/2021 15:08:32,1.2.5,FR1,4,4.17,1,1,Pellet,Left,11,5,11,0,0.26,nan
2/8/2021 15:09:21,1.2.5,FR1,4,4.17,1,1,Left,Left,12,5,11,0,nan,0.06
2/8/2021 15:10:15,1.2.5,FR1,4,4.17,1,1,Pellet,Left,12,5,12,0,52.89,nan
2/8/2021 15:10:48,1.2.5,FR1,4,4.17,1,1,Right,Left,12,6,12,0,nan,0.04
2/8/2021 15:11:13,1.2.5,FR1,4,4.17,1,1,Right,Left,12,7,12,0,nan,0.17
