MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/28/2021 18:37:48,1.16.3,FR1,1,4.20,nan,1,Left,Left,1,0,0,0,nan,nan,0.05
7/28/2021 18:54:47,1.16.3,FR1,1,4.20,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.00
7/28/2021 19:04:29,1.16.3,FR1,1,4.20,nan,1,RightWithPellet,Left,2,1,0,0,nan,nan,0.33
7/28/2021 22:46:48,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,2,2,0,0,nan,nan,0.11
7/28/2021 23:03:02,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,2,3,0,0,nan,nan,0.01
7/28/2021 23:03:04,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,2,4,0,0,nan,nan,0.05
7/28/2021 23:03:31,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,2,5,0,0,nan,nan,0.05
7/28/2021 23:05:38,1.16.3,FR1,1,4.19,nan,1,RightWithPellet,Left,2,6,0,0,nan,nan,0.08
7/28/2021 23:55:20,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,2,7,0,0,nan,nan,0.82
7/28/2021 23:55:25,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,2,8,0,0,nan,nan,1.63
7/28/2021 23:57:00,1.16.3,FR1,1,4.18,nan,1,RightWithPellet,Left,2,9,0,0,nan,nan,0.09
7/29/2021 0:06:07,1.16.3,FR1,1,4.18,nan,1,LeftWithPellet,Left,3,9,0,0,nan,nan,0.05
7/29/2021 0:46:29,1.16.3,FR1,1,4.18,4,1,Pellet,Left,3,9,1,0,Timed_out,nan,nan
7/29/2021 1:34:04,1.16.3,FR1,1,4.18,nan,1,Right,Left,3,10,1,0,nan,nan,0.02
7/29/2021 1:34:52,1.16.3,FR1,1,4.18,nan,1,Left,Left,4,10,1,0,nan,nan,0.08
7/29/2021 1:35:06,1.16.3,FR1,1,4.18,2,1,Pellet,Left,4,10,2,0,12.90,2917,nan
7/29/2021 1:40:00,1.16.3,FR1,1,4.18,nan,1,Left,Left,5,10,2,0,nan,nan,0.56
