Hours,FED000_032523_01_FSHAM.CSV,FED001_032523_01_FSHAM.CSV,FED001_091123_02_FSHAM.CSV,FED002_032523_01_FSHAM.CSV,FED002_091123_02_FSHAM.CSV,FED003_091123_00_FSHAM.CSV,FED004_091123_01_FSHAM.CSV,FED005_091223_04_FSHAM.CSV,FED006_052923_01_FSHAM.CSV,JMT_cPR_FED000_060524_01_F_SHAM.CSV,JMT_cPR_FED010_060524_01_F_SHAM.CSV,JMT_cPR_FED011_011001_41_F_SHAM.CSV,JMT_cPR_FED012_060524_02_F_SHAM.CSV,JMT_cPR_FED016_060524_01_F_SHAM.CSV,F_Ctrl_FR1_Met1_FED001_031524_02_Initial.csv,F_Ctrl_FR1_Met1_FED002_031524_03_Initial.csv,F_Ctrl_FR1_Met1_FED003_031524_03_Initial.csv,F_Ctrl_FR1_Met2_FED001_041224_02_Initial.csv,F_Ctrl_FR1_Met2_FED002_041224_03_Initial.csv,F_Ctrl_FR1_Met2_FED003_041224_03_Initial.csv,F_Ctrl_FR1_Met2_FED013_041224_04_Initial.csv,F_Ctrl_FR1_Met2_FED014_041224_00_Initial.csv,Ctrl_CE1r_FED004_020821_02_FSHAM.CSV,Ctrl_F_FED005_082123_02.CSV,Ctrl_F_FED005_090623_concat_00.CSV,Ctrl_F_FED006_082123_02.CSV,Ctrl_F_FED006_090623_01.CSV,YHC_Hal_FED001_042123_04_F_SHAM.CSV,YHC_Hal_FED002_042123_04_F_SHAM.CSV,YHC_Hal_FED003_042123_04_FSHAM.CSV,YHC_Hal_FED004_042123_05_F_SHAM.CSV,RevNeu_Ctrl_F_CE6_FED000_041221_00.CSV,RevNeu_Ctrl_F_CE6_FED003_041221_00.CSV,RevNeu_Ctrl_F_CE6_FED005_041221_03.CSV,RevNeu_Ctrl_F_CE7_FED001_042221_01.CSV,YHC_Melox_FED007_091823_00_FSNI.CSV,YHC_Melox_FED008_091823_02_FSNI.CSV,FED000_030623_01_FSNI.CSV,FED000_030923_00_FSNI.CSV,FED001_030623_01_FSNI.CSV,FED001_053023_04_FSNI.CSV,FED003_032523_01_FSNI.CSV,FED004_032523_01_FSNI.CSV,FED006_091123_01_FSNI.CSV,FED007_091123_01_FSNI.CSV,FED008_091123_01_FSNI.CSV,FED009_091123_01_FSNI.CSV,FED010_091123_01_FSNI.CSV,JMT_cPR_FED002_060524_01_F_SNI.CSV,JMT_cPR_FED003_060524_01_F_SNI.CSV,JMT_cPR_FED004_060524_01_F_SNI.CSV,JMT_cPR_FED005_060524_01_F_SNI.CSV,JMT_cPR_FED006_060524_01_F_SNI.CSV,F_SNI_FR1_Met1_FED007_031524_05_Initial.csv,F_SNI_FR1_Met1_FED008_031624_02_Initial.csv,F_SNI_FR1_Met2_FED007_041224_02_Initial.csv,F_SNI_FR1_Met2_FED008_041224_02_Initial.csv,F_SNI_FR1_Met2_FED009_041224_02_Initial.csv,F_SNI_FR1_Met2_FED015_041224_02_Initial.csv,F_SNI_FR1_Met2_FED016_041224_01_Initial.csv,FED005_020821_03_FSNI.CSV,FED006_020221_02_FSNI.CSV,RevNeu_SNI_F_CE3r2_FED003_033121_concat_00.CSV,RevNeu_SNI_F_CE3r2_FED005_033121_01.CSV,RevNeu_SNI_F_CE3r2_FED006_033121_04.CSV,RevNeu_SNI_F_CE6_FED006_041221_00.CSV,RevNeu_SNI_F_CE6_FED022_040621_03.CSV,RevNeu_SNI_F_CE7_FED002_042221_03.CSV,RevNeu_SNI_F_CE7_FED003_042221_02.CSV,YHC_Melox_FED001_091823_04_MSHAM.CSV,YHC_Melox_FED002_091823_00_M_SHAM.CSV,FED002_052023_01_MSHAM.CSV,FED003_030623_01_MSHAM.CSV,FED003_031123_00_MSHAM.CSV,FED003_052023_01_MSHAM.CSV,FED004_030623_01_MSHAM.CSV,FED005_030923_00_MSHAM.CSV,FED011_091223_00_MSHAM.CSV,FED012_091223_00_MSHAM.CSV,FED019_091223_05_MSHAM.CSV,FED021_091223_00_MSHAM.CSV,FED027_091223_00_MSHAM.CSV,JMT_cPR_FED034_060524_01_M_SHAM.CSV,M_Ctrl_FR1_Met1_FED004_031524_05_Initial.csv,M_Ctrl_FR1_Met1_FED005_031524_02_Initial.csv,M_Ctrl_FR1_Met1_FED006_031524_04_Initial.csv,M_Ctrl_FR1_Met2_FED004_041224_01_Initial.csv,M_Ctrl_FR1_Met2_FED005_041224_01_Initial.csv,M_Ctrl_FR1_Met2_FED006_041224_01_Initial.csv,Ctrl_M_FED001_082123_03.CSV,Ctrl_M_FED001_090523_01.CSV,Ctrl_M_FED002_082223_01_concat_00.CSV,Ctrl_M_FED002_090523_00.CSV,Ctrl_M_FED003_082123_02.CSV,Ctrl_M_FED003_090523_02.CSV,Ctrl_M_FED004_082123_03.CSV,Ctrl_M_FED004_090523_02.CSV,rPR_Ctrl_M_FED001_072821_00.CSV,rPR_Ctrl_M_FED002_072823_03.CSV,rPR_Ctrl_M_FED003_073123_02.CSV,rPR_Ctrl_M_FED004_072823_03.CSV,YHC_Hal_FED007_042123_02_MSHAM.CSV,YHC_Hal_FED008_042123_01_M_SHAM.CSV,YHC_Melox_FED003_091823_05_MSNI.CSV,YHC_Melox_FED004_091823_04_MSNI.CSV,JMT_2sB_FED014_091123_00_MSNI.CSV,JMT_FED022_091123_01_M_SNI.CSV,FED000_062123_01_MSNI.CSV,FED001_052023_01_MSNI.CSV,FED002_030623_01_MSNI.CSV,FED002_092623_03_MSNI.CSV,FED002_093023_00_MSNI.CSV,FED002_100523_00_MSNI.CSV,FED003_092623_02_MSNI.CSV,FED004_052223_01_MSNI.CSV,FED005_090723_Concat_MSNI.csv,FED015_091123_00_MSNI.CSV,FED016_091123_00_MSNI.CSV,FED018_091123_00_MSNI.CSV,FED024_091223_00_Concat_MSNI.csv,JMT_cPR_FED027_060524_01_M_SNI.CSV,M_SNI_FR1_Met1_FED010_031524_04_Initial.csv,M_SNI_FR1_Met1_FED011_031524_01_Initial.csv,M_SNI_FR1_Met1_FED011_031824_03_Initial.csv,M_SNI_FR1_Met1_FED012_031524_03_Initial.csv,M_SNI_FR1_Met2_FED010_041224_02_Initial.csv,M_SNI_FR1_Met2_FED011_041224_02_Initial.csv,M_SNI_FR1_Met2_FED012_041224_06_Initial.csv,FED004_013021_00_MSNI.CSV,FED004_020821_02_MSNI.CSV,rPR_SNI_M_FED005_072823_03.CSV,rPR_SNI_M_FED006_072823_03.CSV,rPR_SNI_M_FED007_072823_03.CSV,rPR_SNI_M_FED008_072823_03.CSV,SNI_M_FED007_082123_02.CSV,SNI_M_FED008_082123_03.CSV,F_SHAM,F_SHAM SEM,F_SNI,F_SNI SEM,M_SHAM,M_SHAM SEM,M_SNI,M_SNI SEM
0,3.0,4.5,4.5,5.0,4.75,10.0,4.666666666666667,5.333333333333333,6.75,0.0,6.0,10.0,0.0,8.0,6.5,10.0,12.0,0.0,5.0,9.0,6.5,13.0,13.0,11.5,3.5,14.5,1.5,9.0,4.0,10.0,8.5,6.5,4.0,14.0,5.0,15.5,18.5,9.5,9.25,10.75,5.333333333333333,11.833333333333334,10.666666666666666,11.5,9.5,6.333333333333333,9.5,9.75,10.0,15.0,18.0,16.0,12.0,14.5,0.0,12.5,14.5,15.0,12.0,19.5,13.5,1.0,19.5,8.5,12.5,12.5,31.5,11.5,18.0,9.0,11.5,8.25,14.0,8.333333333333334,9.875,11.625,10.571428571428571,10.333333333333334,10.0,8.333333333333334,2.6666666666666665,7.333333333333333,20.0,8.0,11.5,8.5,11.0,16.5,13.0,17.5,16.5,8.5,14.0,15.0,21.0,11.0,13.0,1.5,13.0,14.5,17.0,15.0,17.0,21.0,18.0,0.0,4.0,9.285714285714286,11.714285714285714,8.857142857142858,15.666666666666666,20.8,15.333333333333334,15.166666666666666,15.0,1.75,8.0,9.25,15.75,14.0,17.0,12.5,14.5,0.0,14.0,14.0,16.0,15.5,20.0,19.5,17.0,15.5,19.0,13.5,17.0,14.5,6.8428571428571425,0.6686138530276282,7.738445378151262,0.926549935561229,7.9901960784313735,0.6324042163621001,7.6878787878787875,1.1198423374082507
1,3.3333333333333335,4.25,6.0,4.2,3.5,7.333333333333333,9.0,6.333333333333333,4.0,3.0,1.0,4.0,11.0,8.0,10.0,5.0,8.0,7.5,1.0,9.5,9.5,6.5,1.0,2.0,3.5,11.0,11.5,4.5,6.0,5.0,4.5,7.0,6.0,5.5,6.0,15.0,16.0,11.0,5.25,8.0,5.714285714285714,9.8,8.833333333333334,10.25,8.0,8.0,10.0,7.0,10.0,15.0,21.0,15.0,13.0,13.5,6.5,4.0,10.5,8.0,6.0,7.5,15.5,15.0,15.5,11.5,9.5,7.0,38.5,14.0,4.0,8.0,11.0,5.166666666666667,14.2,12.666666666666666,7.375,14.5,13.285714285714286,5.0,5.0,5.0,8.666666666666666,5.666666666666667,12.0,8.0,6.5,10.0,10.5,14.5,6.5,6.0,19.0,7.0,16.0,10.5,19.5,14.5,8.5,14.5,22.5,6.5,16.0,14.5,14.5,19.5,7.0,0.0,5.0,6.714285714285714,12.142857142857142,6.166666666666667,14.25,13.0,10.333333333333334,7.0,8.833333333333334,3.0,6.75,4.75,4.5,15.5,3.0,13.0,9.5,0.0,9.0,7.5,17.0,8.0,27.5,18.0,14.0,13.5,16.0,9.0,19.0,11.0,5.87,0.4878446852993172,5.544852941176471,0.5831125987921271,6.437219887955182,0.7104481577199845,5.38008658008658,0.690691750404041
2,4.0,3.6,1.3333333333333333,4.666666666666667,6.75,6.333333333333333,4.0,6.5,6.0,11.0,1.0,7.0,0.0,6.0,4.5,6.0,8.0,6.0,4.0,3.0,2.5,4.0,8.0,6.0,8.0,8.0,0.0,4.0,11.0,1.5,2.0,6.0,5.0,7.0,4.5,7.0,16.5,16.5,3.5,4.375,6.375,7.166666666666667,8.166666666666666,9.0,5.0,10.0,4.333333333333333,4.25,10.0,14.0,7.0,9.0,14.0,14.5,2.5,15.0,8.5,1.0,10.0,12.5,19.0,3.0,7.0,8.5,7.0,5.0,47.5,6.5,8.0,11.5,10.5,6.75,5.4,7.0,8.25,11.5,6.571428571428571,3.3333333333333335,10.333333333333334,8.666666666666666,8.333333333333334,6.0,14.0,13.0,11.0,10.5,15.0,1.0,10.0,12.0,5.0,10.0,9.5,11.5,18.0,8.0,11.0,21.5,10.0,4.5,14.5,11.5,10.0,19.5,12.5,6.0,2.0,6.0,12.714285714285714,6.25,13.0,10.0,4.0,9.25,8.666666666666666,3.3333333333333335,5.75,4.666666666666667,13.0,4.0,11.0,7.0,9.0,0.0,10.5,9.5,0.0,10.0,16.5,6.5,3.0,8.5,11.0,10.5,15.0,12.0,5.062380952380953,0.4560237673673324,5.333088235294118,0.5399677967167591,4.7976190476190474,0.5372992426855598,4.827272727272728,0.5847857181606585
3,2.5,5.0,8.666666666666666,4.75,3.75,7.0,5.0,6.0,5.2,0.0,10.0,13.0,0.0,0.0,8.0,4.0,6.0,7.0,3.0,4.5,5.0,7.5,9.0,13.0,0.0,9.0,8.5,6.5,1.0,12.0,7.5,0.5,5.0,1.5,3.0,10.0,9.0,11.5,6.0,5.2,8.333333333333334,9.75,6.5,4.666666666666667,3.5,6.0,3.0,7.0,3.0,8.0,1.0,0.0,0.0,8.0,4.0,10.0,17.0,12.5,14.0,21.0,18.0,2.0,10.5,5.0,6.0,7.0,5.5,16.0,4.0,20.0,13.0,7.125,15.2,7.666666666666667,4.875,8.2,9.428571428571429,6.0,5.666666666666667,7.666666666666667,5.0,1.5,11.0,9.0,10.5,11.0,23.0,8.5,15.5,15.5,13.0,9.5,13.5,15.0,9.5,6.0,14.5,11.0,11.0,6.0,11.5,6.5,18.5,12.0,1.5,0.0,0.0,8.166666666666666,6.714285714285714,9.875,13.75,10.4,11.0,6.0,8.8,1.6666666666666667,5.5,10.0,5.5,0.0,8.0,13.5,8.0,0.0,11.0,16.0,7.5,6.0,21.5,22.0,9.5,14.0,7.0,3.5,15.0,5.0,5.496190476190477,0.6152763059306953,5.046545284780579,0.7439233148444613,4.754166666666666,0.527609925383367,4.723665223665224,0.6952967914414035
4,0.0,6.0,1.6666666666666667,6.0,2.25,1.6666666666666667,11.0,4.5,7.333333333333333,9.0,0.0,7.0,0.0,7.0,5.5,9.5,5.0,3.0,5.0,4.0,1.0,2.0,4.5,2.0,2.0,2.5,3.0,8.0,7.0,3.0,4.5,0.0,6.5,7.0,9.0,9.0,4.0,3.0,3.0,7.0,7.125,5.666666666666667,6.4,1.5,10.75,9.0,9.333333333333334,4.75,11.0,4.0,3.0,0.0,8.0,15.5,6.5,14.5,9.0,16.5,21.0,13.5,12.5,5.0,13.0,5.5,7.5,7.5,16.0,15.0,9.5,7.5,15.0,6.714285714285714,6.0,8.333333333333334,7.25,9.666666666666666,11.571428571428571,5.333333333333333,6.333333333333333,7.333333333333333,8.333333333333334,11.333333333333334,16.0,8.0,12.5,14.5,21.0,6.5,7.5,3.5,11.0,7.5,7.0,14.5,15.0,10.5,12.0,15.0,9.5,10.5,17.0,13.0,8.0,5.5,0.0,0.0,0.0,9.833333333333334,9.142857142857142,9.142857142857142,6.0,9.6,17.0,16.166666666666668,8.333333333333334,2.5,7.25,5.75,13.5,8.0,15.0,8.0,13.0,0.0,10.5,14.5,21.5,17.5,12.0,10.5,19.0,10.0,8.0,19.5,1.0,11.5,4.4976190476190485,0.5080409191822631,4.515196078431372,0.5401563191357911,4.620448179271709,0.44884106505615495,3.9363636363636365,0.7596037250435861
5,5.0,4.0,4.6,3.8,1.6,1.4,7.0,0.6666666666666666,2.75,9.0,4.0,20.0,10.0,10.0,11.0,6.5,7.0,2.0,5.0,5.5,10.0,7.0,5.5,3.5,2.0,2.5,8.0,7.0,5.5,11.0,1.0,7.0,1.0,9.5,5.0,12.5,7.0,17.0,2.6666666666666665,4.375,11.777777777777779,8.8,4.8,9.75,3.3333333333333335,13.0,14.5,5.75,6.0,7.0,6.0,6.0,0.0,19.0,1.0,16.0,11.0,13.0,3.0,5.5,16.5,13.0,4.5,6.5,3.5,3.5,32.0,8.5,13.0,6.0,16.0,6.0,11.2,13.5,7.125,10.0,9.428571428571429,8.666666666666666,10.666666666666666,8.0,8.333333333333334,15.0,0.0,14.0,13.5,10.5,11.5,13.5,12.0,13.0,12.0,6.5,11.0,12.0,11.5,9.5,10.5,7.5,8.0,11.0,9.0,10.0,12.0,6.5,0.0,1.0,2.0,12.0,12.428571428571429,6.5,5.666666666666667,15.2,11.0,11.75,7.166666666666667,3.0,11.5,13.75,6.5,0.0,5.0,16.5,13.0,0.0,11.0,16.0,12.5,20.5,22.0,23.0,6.0,6.0,13.5,5.5,13.0,8.5,5.894761904761904,0.6627478559413744,4.176295518207283,0.4957483572988756,4.955182072829132,0.6213138839450593,4.983838383838383,0.6590655230414282
6,2.6666666666666665,4.5,4.0,6.0,5.0,4.0,4.333333333333333,7.0,2.75,2.0,6.0,11.0,0.0,2.0,4.0,6.0,6.0,8.0,4.5,3.0,0.0,9.0,8.5,6.0,3.0,3.0,2.0,3.5,8.0,3.0,1.0,10.0,10.5,1.0,7.0,13.0,19.5,6.0,7.0,5.625,11.444444444444445,4.25,5.166666666666667,8.25,4.75,11.0,5.25,8.666666666666666,9.0,6.0,0.0,0.0,14.0,6.0,20.0,7.5,0.0,6.0,8.5,0.0,16.5,14.0,13.5,6.5,8.0,6.0,50.0,12.5,4.0,8.5,5.5,6.857142857142857,10.0,7.666666666666667,5.0,7.875,9.857142857142858,5.333333333333333,7.666666666666667,8.333333333333334,5.666666666666667,3.6666666666666665,9.0,6.5,5.0,9.5,6.5,5.5,8.0,10.0,13.0,9.0,15.5,13.5,11.0,10.5,13.5,23.5,9.5,6.5,8.0,10.5,11.0,5.5,8.5,1.0,0.0,5.142857142857143,9.875,7.5,13.5,11.0,9.333333333333334,6.4,4.666666666666667,4.5,3.75,11.75,10.5,1.0,0.0,9.0,10.0,0.0,10.0,13.0,4.0,5.5,15.0,22.0,8.5,11.5,11.5,15.0,24.5,13.5,4.807142857142857,0.4944223377294811,4.386344537815127,0.42359281920273706,4.291141456582633,0.4891140817139521,5.218434343434343,0.7211478044242637
7,4.0,3.2,3.5,3.3333333333333335,7.5,2.3333333333333335,0.0,2.0,4.25,4.5,9.0,8.0,13.0,10.5,1.5,5.0,3.5,5.0,7.0,13.0,7.0,5.0,4.333333333333333,3.5,3.5,5.0,4.0,7.0,4.0,9.0,4.0,5.0,9.0,5.0,2.5,15.5,16.5,1.0,0.3333333333333333,5.857142857142857,6.0,5.666666666666667,3.8333333333333335,2.6666666666666665,2.25,11.5,9.75,6.25,12.0,6.0,10.0,10.0,0.0,11.0,11.0,10.0,9.0,4.0,0.0,12.0,10.5,26.0,9.5,4.0,5.5,7.0,1.0,9.5,8.0,1.0,12.5,4.25,8.75,6.5,6.0,9.428571428571429,5.571428571428571,4.0,8.333333333333334,4.666666666666667,5.666666666666667,7.0,8.0,9.5,12.5,12.0,3.0,17.0,4.0,7.5,9.0,3.5,10.0,5.0,3.0,8.5,13.0,12.0,9.0,5.5,12.0,12.5,11.5,22.0,4.5,1.0,1.0,4.166666666666667,6.0,4.4,11.5,9.4,2.6666666666666665,7.4,7.166666666666667,0.0,4.25,4.75,6.0,33.0,11.0,5.0,4.0,0.0,6.0,4.0,9.0,4.5,9.0,13.0,10.5,10.5,14.5,7.0,11.0,5.5,5.37,0.5092376352820704,4.4523809523809526,0.5598566934680961,4.9415266106442575,0.5386440010854485,5.170959595959596,0.5096215102438215
8,3.3333333333333335,5.0,7.333333333333333,5.75,4.5,6.5,4.666666666666667,5.0,5.0,9.5,6.5,0.0,30.0,11.0,5.0,5.0,6.5,6.0,2.3333333333333335,4.666666666666667,8.5,6.5,18.333333333333332,3.3333333333333335,1.5,4.666666666666667,4.0,0.5,8.5,12.0,2.0,13.0,5.0,2.0,3.0,6.5,2.0,8.333333333333334,5.666666666666667,6.0,6.125,3.6,3.8,5.75,2.75,0.5,5.0,2.5,12.0,12.0,5.0,0.0,6.0,9.0,2.0,2.0,2.5,12.0,11.0,4.0,8.5,11.0,5.5,4.0,6.0,7.0,0.0,6.0,4.5,9.0,0.0,6.8,6.333333333333333,3.25,2.125,6.5,6.857142857142857,7.5,7.333333333333333,8.333333333333334,1.3333333333333333,4.5,0.0,8.5,9.5,8.0,5.0,12.0,10.5,6.0,3.5,7.5,9.0,5.0,6.5,2.5,2.5,7.0,3.0,4.0,23.0,8.0,8.0,6.0,6.5,0.0,0.0,4.666666666666667,8.142857142857142,4.75,2.6666666666666665,10.25,9.0,1.5,5.4,0.0,7.25,6.0,6.25,5.666666666666667,3.0,10.5,11.5,0.0,0.5,3.0,0.0,1.0,12.5,1.0,9.5,9.0,8.0,13.0,6.5,4.5,6.469047619047619,0.9306865589382901,6.087254901960785,0.8070961947558598,5.474754901960785,0.526523255538876,5.376551226551228,0.7624852651429971
9,2.6,5.714285714285714,4.666666666666667,5.333333333333333,1.25,5.25,8.0,3.5,4.4,8.0,4.0,0.0,11.5,11.0,3.0,7.5,2.6666666666666665,1.0,7.5,6.0,5.0,2.6666666666666665,15.666666666666666,4.666666666666667,5.0,3.3333333333333335,7.0,2.5,0.0,10.0,2.0,14.5,29.5,22.5,7.0,6.0,13.5,3.5,3.0,5.333333333333333,5.125,3.2,4.75,6.333333333333333,2.6666666666666665,2.6666666666666665,2.75,8.0,3.0,10.0,5.0,0.0,1.0,4.0,3.0,10.0,10.0,4.5,2.0,6.0,11.0,8.0,10.5,5.0,6.0,3.5,4.0,5.5,2.5,0.0,7.5,3.0,7.5,4.666666666666667,3.6666666666666665,4.857142857142857,8.428571428571429,4.333333333333333,4.0,5.666666666666667,3.0,1.0,1.0,7.5,7.5,2.0,11.5,1.5,6.5,5.5,6.0,2.0,10.0,5.5,3.0,1.0,7.0,6.5,7.0,0.0,0.0,11.0,3.5,3.0,8.0,0.0,0.0,5.5,7.25,4.333333333333333,4.333333333333333,5.5,8.0,5.666666666666667,4.8,2.0,3.25,6.0,7.666666666666667,0.0,0.0,1.0,3.5,0.0,4.5,3.0,7.5,4.5,10.5,8.0,9.0,3.5,0.0,7.0,11.5,10.5,6.6918367346938785,1.0356470303567842,7.091176470588235,0.8255759662332975,5.876750700280112,0.642336217800798,5.986291486291487,0.820540122443757
