MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/21/2023 15:49,1.16.3,FR1,6,4.2,nan,1,Left,Left,1,0,0,0,nan,nan,0.85
8/21/2023 15:50,1.16.3,FR1,6,4.2,2,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
8/21/2023 15:55,1.16.3,FR1,6,4.2,nan,1,Left,Left,2,0,1,0,nan,nan,0.14
8/21/2023 16:01,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,1,1,0,nan,nan,0.09
8/21/2023 16:01,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,2,1,0,nan,nan,0.37
8/21/2023 16:01,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,3,1,0,nan,nan,0.02
8/21/2023 16:01,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,4,1,0,nan,nan,0.44
8/21/2023 16:01,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,5,1,0,nan,nan,0.17
8/21/2023 16:01,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,6,1,0,nan,nan,0.08
8/21/2023 16:01,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,7,1,0,nan,nan,0.27
8/21/2023 16:02,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,8,1,0,nan,nan,0.23
8/21/2023 16:02,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,9,1,0,nan,nan,0.35
8/21/2023 16:02,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,10,1,0,nan,nan,0.66
8/21/2023 16:02,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,2,11,1,0,nan,nan,0.16
8/21/2023 16:04,1.16.3,FR1,6,4.2,nan,1,LeftWithPellet,Left,3,11,1,0,nan,nan,0.21
8/21/2023 16:09,1.16.3,FR1,6,4.2,nan,1,RightWithPellet,Left,3,12,1,0,nan,nan,0.4
8/21/2023 16:10,1.16.3,FR1,6,4.2,nan,1,LeftWithPellet,Left,4,12,1,0,nan,nan,0.55
