MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/21/2023 15:21,1.16.3,FR1,3,4.2,nan,1,Left,Left,1,0,0,0,nan,nan,0.1
8/21/2023 15:33,1.16.3,FR1,3,4.19,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.14
8/21/2023 15:33,1.16.3,FR1,3,4.19,nan,1,LeftWithPellet,Left,3,0,0,0,nan,nan,0.03
8/21/2023 15:33,1.16.3,FR1,3,4.2,nan,1,LeftWithPellet,Left,4,0,0,0,nan,nan,0.12
8/21/2023 15:38,1.16.3,FR1,3,4.19,nan,1,RightWithPellet,Left,4,1,0,0,nan,nan,0.22
8/21/2023 15:49,1.16.3,FR1,3,4.19,nan,1,RightWithPellet,Left,4,2,0,0,nan,nan,0.28
8/21/2023 15:51,1.16.3,FR1,3,4.18,nan,1,LeftWithPellet,Left,5,2,0,0,nan,nan,0.04
8/21/2023 15:53,1.16.3,FR1,3,4.2,nan,1,RightWithPellet,Left,5,3,0,0,nan,nan,0.29
8/21/2023 16:01,1.16.3,FR1,3,4.19,nan,1,RightWithPellet,Left,5,4,0,0,nan,nan,0.02
8/21/2023 16:07,1.16.3,FR1,3,4.18,nan,1,RightWithPellet,Left,5,5,0,0,nan,nan,0.55
8/21/2023 16:10,1.16.3,FR1,3,4.18,nan,1,RightWithPellet,Left,5,6,0,0,nan,nan,0.63
8/21/2023 16:10,1.16.3,FR1,3,4.19,2,1,Pellet,Left,5,6,1,0,Timed_out,nan,nan
8/21/2023 16:14,1.16.3,FR1,3,4.18,nan,1,Left,Left,6,6,1,0,nan,nan,1.05
8/21/2023 16:14,1.16.3,FR1,3,4.18,nan,1,RightWithPellet,Left,6,7,1,0,nan,nan,0.12
8/21/2023 16:14,1.16.3,FR1,3,4.19,nan,1,RightWithPellet,Left,6,8,1,0,nan,nan,0.83
8/21/2023 16:14,1.16.3,FR1,3,4.18,1,1,Pellet,Left,6,8,2,0,19.39,284,nan
8/21/2023 16:15,1.16.3,FR1,3,4.18,nan,1,Left,Left,7,8,2,0,nan,nan,0.74
8/21/2023 16:16,1.16.3,FR1,3,4.18,2,1,Pellet,Left,7,8,3,0,34.17,72,nan
8/21/2023 16:16,1.16.3,FR1,3,4.18,nan,1,Right,Left,7,9,3,0,nan,nan,0.15
