MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/11/2023 12:48,1.17.0,FR1,18,4.19,nan,1,Right,Left,0,1,0,0,nan,nan,0.12
9/11/2023 12:49,1.17.0,FR1,18,4.19,nan,1,Right,Left,0,2,0,0,nan,nan,0.11
9/11/2023 12:50,1.17.0,FR1,18,4.19,nan,1,Right,Left,0,3,0,0,nan,nan,0.1
9/11/2023 12:54,1.17.0,FR1,18,4.18,nan,1,Right,Left,0,4,0,0,nan,nan,0.12
9/11/2023 12:54,1.17.0,FR1,18,4.19,nan,1,Left,Left,1,4,0,0,nan,nan,0.45
9/11/2023 12:57,1.17.0,FR1,18,4.18,nan,1,LeftWithPellet,Left,1,4,0,0,nan,nan,0.05
9/11/2023 12:57,1.17.0,FR1,18,4.18,nan,1,RightWithPellet,Left,1,4,0,0,nan,nan,0.17
9/11/2023 12:58,1.17.0,FR1,18,4.19,nan,1,LeftWithPellet,Left,1,4,0,0,nan,nan,0.3
9/11/2023 12:58,1.17.0,FR1,18,4.19,nan,1,LeftWithPellet,Left,1,4,0,0,nan,nan,0.23
9/11/2023 13:01,1.17.0,FR1,18,4.18,nan,1,RightWithPellet,Left,1,4,0,0,nan,nan,0.01
9/11/2023 13:01,1.17.0,FR1,18,4.19,nan,1,RightWithPellet,Left,1,4,0,0,nan,nan,0.07
9/11/2023 13:01,1.17.0,FR1,18,4.19,nan,1,RightWithPellet,Left,1,4,0,0,nan,nan,0.07
9/11/2023 13:01,1.17.0,FR1,18,4.18,4,1,Pellet,Left,1,4,1,0,Timed_out,nan,nan
9/11/2023 13:03,1.17.0,FR1,18,4.18,nan,1,Left,Left,2,4,1,0,nan,nan,0.15
9/11/2023 13:06,1.17.0,FR1,18,4.19,nan,1,LeftWithPellet,Left,2,4,1,0,nan,nan,0.07
9/11/2023 13:06,1.17.0,FR1,18,4.19,1,1,Pellet,Left,2,4,2,0,Timed_out,300,nan
9/11/2023 13:09,1.17.0,FR1,18,4.18,nan,1,Right,Left,2,5,2,0,nan,nan,0.11
9/11/2023 13:11,1.17.0,FR1,18,4.19,nan,1,Left,Left,3,5,2,0,nan,nan,0.18
9/11/2023 13:11,1.17.0,FR1,18,4.19,1,1,Pellet,Left,3,5,3,0,6.91,265,nan
9/11/2023 13:14,1.17.0,FR1,18,4.18,nan,1,Right,Left,3,6,3,0,nan,nan,0
9/11/2023 13:17,1.17.0,FR1,18,4.19,nan,1,Left,Left,4,6,3,0,nan,nan,0.02
9/11/2023 13:18,1.17.0,FR1,18,4.19,3,1,Pellet,Left,4,6,4,0,5.81,404,nan
9/11/2023 13:28,1.17.0,FR1,18,4.19,nan,1,Left,Left,5,6,4,0,nan,nan,0.24
9/11/2023 13:31,1.17.0,FR1,18,4.19,2,1,Pellet,Left,5,6,5,0,Timed_out,791,nan
9/11/2023 13:58,1.17.0,FR1,18,4.18,nan,1,Right,Left,5,7,5,0,nan,nan,0.18
9/11/2023 13:58,1.17.0,FR1,18,4.18,nan,1,Left,Left,6,7,5,0,nan,nan,0.07
9/11/2023 13:59,1.17.0,FR1,18,4.18,nan,1,RightWithPellet,Left,6,7,5,0,nan,nan,0.25
