,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
0,3/15/2024 15:57,1.16.3,FR1,1,4.09,,1,Right,Left,0,1,0,0,,,0.19,3/15/2024 15:57
1,3/15/2024 16:03,1.16.3,FR1,1,4.09,,1,Left,Left,1,1,0,0,,,0.32,3/15/2024 16:03
2,3/15/2024 16:06,1.16.3,FR1,1,4.09,3,1,Pellet,Left,1,1,1,0,Timed_out,,,3/15/2024 16:06
3,3/15/2024 16:39,1.16.3,FR1,1,4.09,,1,Left,Left,2,1,1,0,,,0.44,3/15/2024 16:39
4,3/15/2024 16:39,1.16.3,FR1,1,4.09,1,1,Pellet,Left,2,1,2,0,28.1,2006,,3/15/2024 16:39
5,3/15/2024 16:58,1.16.3,FR1,1,4.09,,1,Left,Left,3,1,2,0,,,0.56,3/15/2024 16:58
6,3/15/2024 16:59,1.16.3,FR1,1,4.09,1,1,Pellet,Left,3,1,3,0,41.34,1192,,3/15/2024 16:59
7,3/15/2024 17:05,1.16.3,FR1,1,4.09,,1,Left,Left,4,1,3,0,,,0,3/15/2024 17:05
8,3/15/2024 17:05,1.16.3,FR1,1,4.1,1,1,Pellet,Left,4,1,4,0,1.56,375,,3/15/2024 17:05
9,3/15/2024 17:10,1.16.3,FR1,1,4.09,,1,Left,Left,5,1,4,0,,,0.42,3/15/2024 17:10
10,3/15/2024 17:10,1.16.3,FR1,1,4.09,1,1,Pellet,Left,5,1,5,0,7.77,302,,3/15/2024 17:10
11,3/15/2024 17:29,1.16.3,FR1,1,4.09,,1,Left,Left,6,1,5,0,,,0.16,3/15/2024 17:29
12,3/15/2024 17:29,1.16.3,FR1,1,4.09,2,1,Pellet,Left,6,1,6,0,4.56,1128,,3/15/2024 17:29
13,3/15/2024 17:44,1.16.3,FR1,1,4.09,,1,Left,Left,7,1,6,0,,,0.47,3/15/2024 17:44
14,3/15/2024 17:45,1.16.3,FR1,1,4.09,1,1,Pellet,Left,7,1,7,0,24.53,937,,3/15/2024 17:45
15,3/15/2024 17:52,1.16.3,FR1,1,4.09,,1,Left,Left,8,1,7,0,,,0.4,3/15/2024 17:52
