,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
0,3/15/2024 15:39,1.16.3,FR1,2,4.23,,1,Right,Left,0,1,0,0,,,0.15,3/15/2024 15:39
1,3/15/2024 16:02,1.16.3,FR1,2,4.22,,1,Right,Left,0,2,0,0,,,0.67,3/15/2024 16:02
2,3/15/2024 16:04,1.16.3,FR1,2,4.22,,1,Left,Left,1,2,0,0,,,0.14,3/15/2024 16:04
3,3/15/2024 16:04,1.16.3,FR1,2,4.23,,1,LeftDuringDispense,Left,2,2,0,0,,,0.18,3/15/2024 16:04
4,3/15/2024 16:04,1.16.3,FR1,2,4.22,5,1,Pellet,Left,2,2,1,0,34.98,,,3/15/2024 16:04
5,3/15/2024 16:06,1.16.3,FR1,2,4.22,,1,Right,Left,2,3,1,0,,,0.06,3/15/2024 16:06
6,3/15/2024 16:08,1.16.3,FR1,2,4.23,,1,Left,Left,3,3,1,0,,,0.15,3/15/2024 16:08
7,3/15/2024 16:17,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,3,4,1,0,,,0.62,3/15/2024 16:17
8,3/15/2024 16:17,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,3,5,1,0,,,0.35,3/15/2024 16:17
9,3/15/2024 16:17,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,3,6,1,0,,,0.3,3/15/2024 16:17
10,3/15/2024 16:22,1.16.3,FR1,2,4.22,,1,LeftWithPellet,Left,4,6,1,0,,,0.31,3/15/2024 16:22
11,3/15/2024 16:22,1.16.3,FR1,2,4.23,1,1,Pellet,Left,4,6,2,0,Timed_out,1071,,3/15/2024 16:22
12,3/15/2024 16:23,1.16.3,FR1,2,4.22,,1,Left,Left,5,6,2,0,,,0.07,3/15/2024 16:23
13,3/15/2024 16:24,1.16.3,FR1,2,4.22,1,1,Pellet,Left,5,6,3,0,29.99,93,,3/15/2024 16:24
14,3/15/2024 16:26,1.16.3,FR1,2,4.22,,1,Left,Left,6,6,3,0,,,0.08,3/15/2024 16:26
15,3/15/2024 16:26,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,6,7,3,0,,,0.25,3/15/2024 16:26
16,3/15/2024 16:26,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,6,8,3,0,,,0.13,3/15/2024 16:26
17,3/15/2024 16:26,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,6,9,3,0,,,0.11,3/15/2024 16:26
18,3/15/2024 16:26,1.16.3,FR1,2,4.23,,1,RightWithPellet,Left,6,10,3,0,,,0.24,3/15/2024 16:26
19,3/15/2024 16:26,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,6,11,3,0,,,0.12,3/15/2024 16:26
20,3/15/2024 16:28,1.16.3,FR1,2,4.22,1,1,Pellet,Left,6,11,4,0,Timed_out,217,,3/15/2024 16:28
21,3/15/2024 16:28,1.16.3,FR1,2,4.22,,1,Left,Left,7,11,4,0,,,0.22,3/15/2024 16:28
22,3/15/2024 16:28,1.16.3,FR1,2,4.22,,1,LeftDuringDispense,Left,8,11,4,0,,,0.09,3/15/2024 16:28
23,3/15/2024 16:28,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,8,12,4,0,,,0.02,3/15/2024 16:28
24,3/15/2024 16:28,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,8,13,4,0,,,0.48,3/15/2024 16:28
25,3/15/2024 16:30,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,8,14,4,0,,,0.03,3/15/2024 16:30
26,3/15/2024 16:35,1.16.3,FR1,2,4.22,2,1,Pellet,Left,8,14,5,0,Timed_out,428,,3/15/2024 16:35
27,3/15/2024 16:37,1.16.3,FR1,2,4.22,,1,Right,Left,8,15,5,0,,,0.24,3/15/2024 16:37
28,3/15/2024 16:39,1.16.3,FR1,2,4.22,,1,Left,Left,9,15,5,0,,,0,3/15/2024 16:39
29,3/15/2024 16:39,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,9,16,5,0,,,0.04,3/15/2024 16:39
30,3/15/2024 16:39,1.16.3,FR1,2,4.22,,1,LeftWithPellet,Left,10,16,5,0,,,0.12,3/15/2024 16:39
31,3/15/2024 16:43,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,10,17,5,0,,,0.03,3/15/2024 16:43
32,3/15/2024 16:46,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,10,18,5,0,,,0.03,3/15/2024 16:46
33,3/15/2024 16:50,1.16.3,FR1,2,4.22,,1,LeftWithPellet,Left,11,18,5,0,,,0.03,3/15/2024 16:50
34,3/15/2024 16:51,1.16.3,FR1,2,4.22,1,1,Pellet,Left,11,18,6,0,Timed_out,959,,3/15/2024 16:51
35,3/15/2024 16:53,1.16.3,FR1,2,4.22,,1,Right,Left,11,19,6,0,,,0.08,3/15/2024 16:53
36,3/15/2024 16:58,1.16.3,FR1,2,4.22,,1,Left,Left,12,19,6,0,,,0.1,3/15/2024 16:58
37,3/15/2024 16:58,1.16.3,FR1,2,4.22,2,1,Pellet,Left,12,19,7,0,15.38,440,,3/15/2024 16:58
38,3/15/2024 17:00,1.16.3,FR1,2,4.22,,1,Left,Left,13,19,7,0,,,0,3/15/2024 17:00
39,3/15/2024 17:06,1.16.3,FR1,2,4.22,1,1,Pellet,Left,13,19,8,0,Timed_out,467,,3/15/2024 17:06
40,3/15/2024 17:14,1.16.3,FR1,2,4.22,,1,Left,Left,14,19,8,0,,,0.62,3/15/2024 17:14
41,3/15/2024 17:16,1.16.3,FR1,2,4.22,1,1,Pellet,Left,14,19,9,0,Timed_out,638,,3/15/2024 17:16
42,3/15/2024 17:21,1.16.3,FR1,2,4.22,,1,Right,Left,14,20,9,0,,,0.92,3/15/2024 17:21
43,3/15/2024 17:21,1.16.3,FR1,2,4.22,,1,Right,Left,14,21,9,0,,,0.59,3/15/2024 17:21
44,3/15/2024 17:22,1.16.3,FR1,2,4.22,,1,Right,Left,14,22,9,0,,,0.56,3/15/2024 17:22
45,3/15/2024 17:22,1.16.3,FR1,2,4.22,,1,Right,Left,14,23,9,0,,,0.03,3/15/2024 17:22
46,3/15/2024 17:22,1.16.3,FR1,2,4.22,,1,Left,Left,15,23,9,0,,,0.72,3/15/2024 17:22
47,3/15/2024 17:22,1.16.3,FR1,2,4.22,,1,LeftWithPellet,Left,16,23,9,0,,,0.41,3/15/2024 17:22
48,3/15/2024 17:23,1.16.3,FR1,2,4.22,1,1,Pellet,Left,16,23,10,0,18.84,368,,3/15/2024 17:23
49,3/15/2024 17:23,1.16.3,FR1,2,4.22,,1,Left,Left,17,23,10,0,,,0.21,3/15/2024 17:23
50,3/15/2024 17:24,1.16.3,FR1,2,4.22,1,1,Pellet,Left,17,23,11,0,Timed_out,115,,3/15/2024 17:24
51,3/15/2024 17:32,1.16.3,FR1,2,4.22,,1,Right,Left,17,24,11,0,,,0.29,3/15/2024 17:32
52,3/15/2024 17:39,1.16.3,FR1,2,4.22,,1,Right,Left,17,25,11,0,,,0.42,3/15/2024 17:39
53,3/15/2024 17:43,1.16.3,FR1,2,4.22,,1,Left,Left,18,25,11,0,,,0.06,3/15/2024 17:43
54,3/15/2024 17:43,1.16.3,FR1,2,4.22,1,1,Pellet,Left,18,25,12,0,2.66,1118,,3/15/2024 17:43
55,3/15/2024 17:44,1.16.3,FR1,2,4.22,,1,Left,Left,19,25,12,0,,,0.54,3/15/2024 17:44
56,3/15/2024 17:44,1.16.3,FR1,2,4.22,,1,RightWithPellet,Left,19,26,12,0,,,0.11,3/15/2024 17:44
57,3/15/2024 17:44,1.16.3,FR1,2,4.22,1,1,Pellet,Left,19,26,13,0,15.17,58,,3/15/2024 17:44
58,3/15/2024 17:46,1.16.3,FR1,2,4.22,,1,Left,Left,20,26,13,0,,,0.07,3/15/2024 17:46
59,3/15/2024 17:46,1.16.3,FR1,2,4.22,1,1,Pellet,Left,20,26,14,0,5.53,100,,3/15/2024 17:46
60,3/15/2024 17:49,1.16.3,FR1,2,4.21,,1,Left,Left,21,26,14,0,,,0.28,3/15/2024 17:49
61,3/15/2024 17:49,1.16.3,FR1,2,4.22,1,1,Pellet,Left,21,26,15,0,7.78,182,,3/15/2024 17:49
62,3/15/2024 17:52,1.16.3,FR1,2,4.22,,1,Left,Left,22,26,15,0,,,0.2,3/15/2024 17:52
