,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
0,4/12/2024 16:44,1.17.0,FR1,16,4.04,,1,Right,Left,0,1,0,0,,,0.3,4/12/2024 16:44
1,4/12/2024 16:44,1.17.0,FR1,16,4.05,,1,Right,Left,0,2,0,0,,,0.3,4/12/2024 16:44
2,4/12/2024 16:45,1.17.0,FR1,16,4.05,,1,Right,Left,0,3,0,0,,,0.15,4/12/2024 16:45
3,4/12/2024 16:51,1.17.0,FR1,16,4.05,,1,Right,Left,0,4,0,0,,,0.02,4/12/2024 16:51
4,4/12/2024 16:59,1.17.0,FR1,16,4.05,,1,Right,Left,0,5,0,0,,,0.24,4/12/2024 16:59
5,4/12/2024 16:59,1.17.0,FR1,16,4.05,,1,Right,Left,0,6,0,0,,,0.01,4/12/2024 16:59
6,4/12/2024 16:59,1.17.0,FR1,16,4.05,,1,Left,Left,1,6,0,0,,,0.24,4/12/2024 16:59
7,4/12/2024 16:59,1.17.0,FR1,16,4.05,3,1,Pellet,Left,1,6,1,0,5.94,,,4/12/2024 16:59
8,4/12/2024 17:00,1.17.0,FR1,16,4.05,,1,Left,Left,2,6,1,0,,,0.21,4/12/2024 17:00
9,4/12/2024 17:00,1.17.0,FR1,16,4.05,,1,RightWithPellet,Left,2,7,1,0,,,0.75,4/12/2024 17:00
10,4/12/2024 17:00,1.17.0,FR1,16,4.05,,1,RightWithPellet,Left,2,8,1,0,,,0.01,4/12/2024 17:00
11,4/12/2024 17:01,1.17.0,FR1,16,4.05,2,1,Pellet,Left,2,8,2,0,23.24,81,,4/12/2024 17:01
12,4/12/2024 17:01,1.17.0,FR1,16,4.05,,1,Right,Left,2,9,2,0,,,0.09,4/12/2024 17:01
13,4/12/2024 17:01,1.17.0,FR1,16,4.04,,1,Right,Left,2,10,2,0,,,0,4/12/2024 17:01
14,4/12/2024 17:01,1.17.0,FR1,16,4.05,,1,Right,Left,2,11,2,0,,,0.24,4/12/2024 17:01
15,4/12/2024 17:01,1.17.0,FR1,16,4.05,,1,Right,Left,2,12,2,0,,,0.08,4/12/2024 17:01
16,4/12/2024 17:04,1.17.0,FR1,16,4.04,,1,Right,Left,2,13,2,0,,,0.11,4/12/2024 17:04
17,4/12/2024 17:06,1.17.0,FR1,16,4.05,,1,Right,Left,2,14,2,0,,,0.05,4/12/2024 17:06
18,4/12/2024 17:07,1.17.0,FR1,16,4.05,,1,Right,Left,2,15,2,0,,,0,4/12/2024 17:07
19,4/12/2024 17:07,1.17.0,FR1,16,4.05,,1,Right,Left,2,16,2,0,,,0,4/12/2024 17:07
20,4/12/2024 17:07,1.17.0,FR1,16,4.05,,1,Right,Left,2,17,2,0,,,0,4/12/2024 17:07
21,4/12/2024 17:09,1.17.0,FR1,16,4.05,,1,Left,Left,3,17,2,0,,,0.76,4/12/2024 17:09
22,4/12/2024 17:09,1.17.0,FR1,16,4.04,,1,LeftDuringDispense,Left,4,17,2,0,,,0.45,4/12/2024 17:09
23,4/12/2024 17:09,1.17.0,FR1,16,4.05,,1,RightWithPellet,Left,4,18,2,0,,,0.03,4/12/2024 17:09
24,4/12/2024 17:09,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,4,19,2,0,,,0.05,4/12/2024 17:09
25,4/12/2024 17:09,1.17.0,FR1,16,4.05,3,1,Pellet,Left,4,19,3,0,16.34,506,,4/12/2024 17:09
26,4/12/2024 17:10,1.17.0,FR1,16,4.04,,1,Left,Left,5,19,3,0,,,0.22,4/12/2024 17:10
27,4/12/2024 17:12,1.17.0,FR1,16,4.05,,1,LeftWithPellet,Left,6,19,3,0,,,0.54,4/12/2024 17:12
28,4/12/2024 17:14,1.17.0,FR1,16,4.05,,1,RightWithPellet,Left,6,20,3,0,,,0.16,4/12/2024 17:14
29,4/12/2024 17:15,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,6,21,3,0,,,0.11,4/12/2024 17:15
30,4/12/2024 17:15,1.17.0,FR1,16,4.05,2,1,Pellet,Left,6,21,4,0,Timed_out,371,,4/12/2024 17:15
31,4/12/2024 17:17,1.17.0,FR1,16,4.04,,1,Left,Left,7,21,4,0,,,0.23,4/12/2024 17:17
32,4/12/2024 17:17,1.17.0,FR1,16,4.04,,1,LeftDuringDispense,Left,8,21,4,0,,,0.01,4/12/2024 17:17
33,4/12/2024 17:17,1.17.0,FR1,16,4.05,,1,RightDuringDispense,Left,8,22,4,0,,,0.31,4/12/2024 17:17
34,4/12/2024 17:17,1.17.0,FR1,16,4.05,,1,LeftWithPellet,Left,9,22,4,0,,,0.03,4/12/2024 17:17
35,4/12/2024 17:17,1.17.0,FR1,16,4.04,,1,LeftWithPellet,Left,10,22,4,0,,,0.04,4/12/2024 17:17
36,4/12/2024 17:18,1.17.0,FR1,16,4.04,3,1,Pellet,Left,10,22,5,0,Timed_out,171,,4/12/2024 17:18
37,4/12/2024 17:18,1.17.0,FR1,16,4.05,,1,Left,Left,11,22,5,0,,,0.09,4/12/2024 17:18
38,4/12/2024 17:18,1.17.0,FR1,16,4.04,,1,LeftDuringDispense,Left,12,22,5,0,,,0.74,4/12/2024 17:18
39,4/12/2024 17:18,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,12,23,5,0,,,0.26,4/12/2024 17:18
40,4/12/2024 17:20,1.17.0,FR1,16,4.05,,1,RightWithPellet,Left,12,24,5,0,,,0.01,4/12/2024 17:20
41,4/12/2024 17:21,1.17.0,FR1,16,4.04,,1,LeftWithPellet,Left,13,24,5,0,,,0.02,4/12/2024 17:21
42,4/12/2024 17:21,1.17.0,FR1,16,4.04,,1,LeftWithPellet,Left,14,24,5,0,,,0.12,4/12/2024 17:21
43,4/12/2024 17:21,1.17.0,FR1,16,4.05,,1,LeftWithPellet,Left,15,24,5,0,,,0.4,4/12/2024 17:21
44,4/12/2024 17:21,1.17.0,FR1,16,4.05,2,1,Pellet,Left,15,24,6,0,Timed_out,193,,4/12/2024 17:21
45,4/12/2024 17:23,1.17.0,FR1,16,4.04,,1,Left,Left,16,24,6,0,,,0.08,4/12/2024 17:23
46,4/12/2024 17:23,1.17.0,FR1,16,4.04,1,1,Pellet,Left,16,24,7,0,7.54,118,,4/12/2024 17:23
47,4/12/2024 17:24,1.17.0,FR1,16,4.04,,1,Right,Left,16,25,7,0,,,0.19,4/12/2024 17:24
48,4/12/2024 17:25,1.17.0,FR1,16,4.04,,1,Left,Left,17,25,7,0,,,0.19,4/12/2024 17:25
49,4/12/2024 17:26,1.17.0,FR1,16,4.05,,1,LeftWithPellet,Left,18,25,7,0,,,0.43,4/12/2024 17:26
50,4/12/2024 17:26,1.17.0,FR1,16,4.05,,1,LeftWithPellet,Left,19,25,7,0,,,0.02,4/12/2024 17:26
51,4/12/2024 17:26,1.17.0,FR1,16,4.04,1,1,Pellet,Left,19,25,8,0,Timed_out,179,,4/12/2024 17:26
52,4/12/2024 17:32,1.17.0,FR1,16,4.05,,1,Left,Left,20,25,8,0,,,0.37,4/12/2024 17:32
53,4/12/2024 17:32,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,20,26,8,0,,,0.06,4/12/2024 17:32
54,4/12/2024 17:32,1.17.0,FR1,16,4.05,,1,LeftWithPellet,Left,21,26,8,0,,,0.35,4/12/2024 17:32
55,4/12/2024 17:32,1.17.0,FR1,16,4.04,,1,LeftWithPellet,Left,22,26,8,0,,,0.01,4/12/2024 17:32
56,4/12/2024 17:33,1.17.0,FR1,16,4.05,2,1,Pellet,Left,22,26,9,0,34.87,376,,4/12/2024 17:33
57,4/12/2024 17:39,1.17.0,FR1,16,4.04,,1,Left,Left,23,26,9,0,,,0.03,4/12/2024 17:39
58,4/12/2024 17:39,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,23,27,9,0,,,0.07,4/12/2024 17:39
59,4/12/2024 17:39,1.17.0,FR1,16,4.04,2,1,Pellet,Left,23,27,10,0,10.58,399,,4/12/2024 17:39
60,4/12/2024 17:46,1.17.0,FR1,16,4.04,,1,Left,Left,24,27,10,0,,,0.03,4/12/2024 17:46
61,4/12/2024 17:46,1.17.0,FR1,16,4.04,,1,LeftDuringDispense,Left,25,27,10,0,,,0.04,4/12/2024 17:46
62,4/12/2024 17:53,1.17.0,FR1,16,4.04,2,1,Pellet,Left,25,27,11,0,Timed_out,822,,4/12/2024 17:53
63,4/12/2024 17:58,1.17.0,FR1,16,4.04,,1,Left,Left,26,27,11,0,,,0.12,4/12/2024 17:58
64,4/12/2024 18:20,1.17.0,FR1,16,4.04,,1,LeftWithPellet,Left,27,27,11,0,,,0.05,4/12/2024 18:20
65,4/12/2024 18:20,1.17.0,FR1,16,4.04,,1,LeftWithPellet,Left,28,27,11,0,,,0.19,4/12/2024 18:20
66,4/12/2024 18:20,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,28,28,11,0,,,0.28,4/12/2024 18:20
67,4/12/2024 18:20,1.17.0,FR1,16,4.03,,1,RightWithPellet,Left,28,29,11,0,,,0.06,4/12/2024 18:20
68,4/12/2024 18:20,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,28,30,11,0,,,0.83,4/12/2024 18:20
69,4/12/2024 18:20,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,28,31,11,0,,,1.25,4/12/2024 18:20
70,4/12/2024 18:20,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,28,32,11,0,,,0.75,4/12/2024 18:20
71,4/12/2024 18:21,1.17.0,FR1,16,4.05,,1,RightWithPellet,Left,28,33,11,0,,,0.29,4/12/2024 18:21
72,4/12/2024 18:22,1.17.0,FR1,16,4.04,,1,LeftWithPellet,Left,29,33,11,0,,,0.14,4/12/2024 18:22
73,4/12/2024 18:27,1.17.0,FR1,16,4.04,1,1,Pellet,Left,29,33,12,0,Timed_out,2019,,4/12/2024 18:27
74,4/12/2024 18:27,1.17.0,FR1,16,4.03,,1,Right,Left,29,34,12,0,,,0.01,4/12/2024 18:27
75,4/12/2024 18:27,1.17.0,FR1,16,4.04,,1,Left,Left,30,34,12,0,,,0.1,4/12/2024 18:27
76,4/12/2024 18:27,1.17.0,FR1,16,4.04,1,1,Pellet,Left,30,34,13,0,5.21,24,,4/12/2024 18:27
77,4/12/2024 18:27,1.17.0,FR1,16,4.04,,1,Right,Left,30,35,13,0,,,0.22,4/12/2024 18:27
78,4/12/2024 18:30,1.17.0,FR1,16,4.04,,1,Right,Left,30,36,13,0,,,0.57,4/12/2024 18:30
79,4/12/2024 18:30,1.17.0,FR1,16,4.04,,1,Right,Left,30,37,13,0,,,0.66,4/12/2024 18:30
80,4/12/2024 18:31,1.17.0,FR1,16,4.04,,1,Right,Left,30,38,13,0,,,0.37,4/12/2024 18:31
81,4/12/2024 18:31,1.17.0,FR1,16,4.04,,1,Right,Left,30,39,13,0,,,0.3,4/12/2024 18:31
82,4/12/2024 18:35,1.17.0,FR1,16,4.04,,1,Right,Left,30,40,13,0,,,0.04,4/12/2024 18:35
83,4/12/2024 18:36,1.17.0,FR1,16,4.04,,1,Left,Left,31,40,13,0,,,0.01,4/12/2024 18:36
84,4/12/2024 18:37,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,31,41,13,0,,,0.03,4/12/2024 18:37
85,4/12/2024 18:42,1.17.0,FR1,16,4.04,1,1,Pellet,Left,31,41,14,0,Timed_out,915,,4/12/2024 18:42
86,4/12/2024 18:45,1.17.0,FR1,16,4.04,,1,Right,Left,31,42,14,0,,,0.53,4/12/2024 18:45
87,4/12/2024 18:45,1.17.0,FR1,16,4.04,,1,Right,Left,31,43,14,0,,,0.69,4/12/2024 18:45
88,4/12/2024 18:45,1.17.0,FR1,16,4.04,,1,Left,Left,32,43,14,0,,,0.27,4/12/2024 18:45
89,4/12/2024 18:46,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,32,44,14,0,,,0.2,4/12/2024 18:46
90,4/12/2024 18:47,1.17.0,FR1,16,4.04,1,1,Pellet,Left,32,44,15,0,Timed_out,256,,4/12/2024 18:47
91,4/12/2024 18:48,1.17.0,FR1,16,4.04,,1,Right,Left,32,45,15,0,,,0.33,4/12/2024 18:48
92,4/12/2024 18:49,1.17.0,FR1,16,4.04,,1,Left,Left,33,45,15,0,,,0.72,4/12/2024 18:49
93,4/12/2024 18:49,1.17.0,FR1,16,4.04,1,1,Pellet,Left,33,45,16,0,4.9,156,,4/12/2024 18:49
94,4/12/2024 18:50,1.17.0,FR1,16,4.05,,1,Left,Left,34,45,16,0,,,0.09,4/12/2024 18:50
95,4/12/2024 18:56,1.17.0,FR1,16,4.03,1,1,Pellet,Left,34,45,17,0,Timed_out,427,,4/12/2024 18:56
96,4/12/2024 18:58,1.17.0,FR1,16,4.04,,1,Right,Left,34,46,17,0,,,0.51,4/12/2024 18:58
97,4/12/2024 18:58,1.17.0,FR1,16,4.04,,1,Right,Left,34,47,17,0,,,0.59,4/12/2024 18:58
98,4/12/2024 19:01,1.17.0,FR1,16,4.04,,1,Left,Left,35,47,17,0,,,0,4/12/2024 19:01
99,4/12/2024 19:01,1.17.0,FR1,16,4.05,,1,RightDuringDispense,Left,35,48,17,0,,,0,4/12/2024 19:01
100,4/12/2024 19:01,1.17.0,FR1,16,4.03,,1,RightWithPellet,Left,35,49,17,0,,,0.18,4/12/2024 19:01
101,4/12/2024 19:03,1.17.0,FR1,16,4.03,2,1,Pellet,Left,35,49,18,0,Timed_out,430,,4/12/2024 19:03
102,4/12/2024 19:04,1.17.0,FR1,16,4.04,,1,Right,Left,35,50,18,0,,,0.29,4/12/2024 19:04
103,4/12/2024 19:10,1.17.0,FR1,16,4.03,,1,Right,Left,35,51,18,0,,,0.13,4/12/2024 19:10
104,4/12/2024 19:22,1.17.0,FR1,16,4.03,,1,Left,Left,36,51,18,0,,,0.07,4/12/2024 19:22
105,4/12/2024 19:22,1.17.0,FR1,16,4.04,,1,RightWithPellet,Left,36,52,18,0,,,0.25,4/12/2024 19:22
106,4/12/2024 19:22,1.17.0,FR1,16,4.04,2,1,Pellet,Left,36,52,19,0,7.91,1111,,4/12/2024 19:22
107,4/12/2024 19:23,1.17.0,FR1,16,4.04,,1,Right,Left,36,53,19,0,,,0.4,4/12/2024 19:23
