MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/11/2023 12:39,1.17.0,FR1,14,4.12,nan,1,Right,Left,0,1,0,0,nan,nan,0.81
9/11/2023 12:39,1.17.0,FR1,14,4.12,nan,1,Right,Left,0,2,0,0,nan,nan,0.64
9/11/2023 12:41,1.17.0,FR1,14,4.12,nan,1,Right,Left,0,3,0,0,nan,nan,0.72
9/11/2023 12:41,1.17.0,FR1,14,4.12,nan,1,Left,Left,1,3,0,0,nan,nan,0.15
9/11/2023 12:41,1.17.0,FR1,14,4.12,nan,1,LeftDuringDispense,Left,1,3,0,0,nan,nan,0.11
9/11/2023 12:41,1.17.0,FR1,14,4.12,nan,1,LeftDuringDispense,Left,1,3,0,0,nan,nan,0.02
9/11/2023 12:41,1.17.0,FR1,14,4.12,nan,1,LeftDuringDispense,Left,1,3,0,0,nan,nan,0.07
9/11/2023 12:41,1.17.0,FR1,14,4.12,nan,1,LeftDuringDispense,Left,1,3,0,0,nan,nan,0.08
9/11/2023 12:43,1.17.0,FR1,14,4.12,nan,1,RightWithPellet,Left,1,3,0,0,nan,nan,0.27
9/11/2023 12:43,1.17.0,FR1,14,4.12,nan,1,RightWithPellet,Left,1,3,0,0,nan,nan,0.22
9/11/2023 12:43,1.17.0,FR1,14,4.12,nan,1,RightWithPellet,Left,1,3,0,0,nan,nan,0.06
9/11/2023 12:44,1.17.0,FR1,14,4.12,4,1,Pellet,Left,1,3,1,0,Timed_out,nan,nan
9/11/2023 12:45,1.17.0,FR1,14,4.12,nan,1,Left,Left,2,3,1,0,nan,nan,1.45
9/11/2023 12:46,1.17.0,FR1,14,4.12,nan,1,LeftWithPellet,Left,2,3,1,0,nan,nan,0.04
9/11/2023 12:47,1.17.0,FR1,14,4.12,nan,1,RightWithPellet,Left,2,3,1,0,nan,nan,0.06
9/11/2023 12:49,1.17.0,FR1,14,4.12,nan,1,LeftWithPellet,Left,2,3,1,0,nan,nan,0.15
9/11/2023 12:50,1.17.0,FR1,14,4.12,nan,1,LeftWithPellet,Left,2,3,1,0,nan,nan,0.57
9/11/2023 12:51,1.17.0,FR1,14,4.12,nan,1,LeftWithPellet,Left,2,3,1,0,nan,nan,0.2
9/11/2023 12:51,1.17.0,FR1,14,4.12,nan,1,RightWithPellet,Left,2,3,1,0,nan,nan,0.12
9/11/2023 12:51,1.17.0,FR1,14,4.12,nan,1,RightWithPellet,Left,2,3,1,0,nan,nan,0.18
9/11/2023 12:51,1.17.0,FR1,14,4.11,nan,1,LeftWithPellet,Left,2,3,1,0,nan,nan,0.7
9/11/2023 12:51,1.17.0,FR1,14,4.12,nan,1,LeftWithPellet,Left,2,3,1,0,nan,nan,0.5
