MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/5/2024 13:59,1.17.0,FR1,16,4.16,nan,1,Right,Left,0,1,0,0,nan,nan,0.02
6/5/2024 14:00,1.17.0,FR1,16,4.16,nan,1,Left,Left,1,1,0,0,nan,nan,0.02
6/5/2024 14:00,1.17.0,FR1,16,4.16,2,1,Pellet,Left,1,1,1,0,0.06,nan,nan
6/5/2024 14:00,1.17.0,FR1,16,4.16,nan,1,Right,Left,1,2,1,0,nan,nan,0.13
6/5/2024 14:01,1.17.0,FR1,16,4.16,nan,1,Left,Left,2,2,1,0,nan,nan,0.01
6/5/2024 14:01,1.17.0,FR1,16,4.16,1,1,Pellet,Left,2,2,2,0,1.03,40,nan
6/5/2024 14:02,1.17.0,FR1,16,4.16,nan,1,Right,Left,2,3,2,0,nan,nan,0.35
6/5/2024 14:04,1.17.0,FR1,16,4.16,nan,1,Left,Left,3,3,2,0,nan,nan,0.3
6/5/2024 14:04,1.17.0,FR1,16,4.16,1,1,Pellet,Left,3,3,3,0,0.3,173,nan
6/5/2024 14:04,1.17.0,FR1,16,4.16,nan,1,Left,Left,4,3,3,0,nan,nan,0.04
6/5/2024 14:05,1.17.0,FR1,16,4.16,2,1,Pellet,Left,4,3,4,0,0.48,40,nan
6/5/2024 14:06,1.17.0,FR1,16,4.16,nan,1,Left,Left,5,3,4,0,nan,nan,0.27
6/5/2024 14:07,1.17.0,FR1,16,4.16,nan,1,LeftWithPellet,Left,6,3,4,0,nan,nan,0.03
6/5/2024 14:07,1.17.0,FR1,16,4.16,nan,1,RightWithPellet,Left,6,4,4,0,nan,nan,0.29
6/5/2024 14:08,1.17.0,FR1,16,4.16,nan,1,RightWithPellet,Left,6,5,4,0,nan,nan,0.02
6/5/2024 14:08,1.17.0,FR1,16,4.16,nan,1,LeftWithPellet,Left,7,5,4,0,nan,nan,0.13
6/5/2024 14:08,1.17.0,FR1,16,4.16,nan,1,RightWithPellet,Left,7,6,4,0,nan,nan,0.01
6/5/2024 14:08,1.17.0,FR1,16,4.16,nan,1,LeftWithPellet,Left,8,6,4,0,nan,nan,0.14
6/5/2024 14:09,1.17.0,FR1,16,4.16,nan,1,LeftWithPellet,Left,9,6,4,0,nan,nan,0.04
