,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
0,4/12/2024 16:00,1.16.3,FR1,12,4.2,,1,Left,Left,1,0,0,0,,,0,4/12/2024 16:00
1,4/12/2024 16:01,1.16.3,FR1,12,4.2,,1,LeftWithPellet,Left,2,0,0,0,,,0.46,4/12/2024 16:01
2,4/12/2024 16:02,1.16.3,FR1,12,4.2,,1,RightWithPellet,Left,2,1,0,0,,,0.08,4/12/2024 16:02
3,4/12/2024 16:05,1.16.3,FR1,12,4.2,,1,LeftWithPellet,Left,3,1,0,0,,,0.08,4/12/2024 16:05
4,4/12/2024 16:05,1.16.3,FR1,12,4.2,,1,RightWithPellet,Left,3,2,0,0,,,0.24,4/12/2024 16:05
5,4/12/2024 16:08,1.16.3,FR1,12,4.2,,1,RightWithPellet,Left,3,3,0,0,,,0.55,4/12/2024 16:08
6,4/12/2024 16:09,1.16.3,FR1,12,4.2,,1,LeftWithPellet,Left,4,3,0,0,,,0.29,4/12/2024 16:09
7,4/12/2024 16:11,1.16.3,FR1,12,4.2,,1,LeftWithPellet,Left,5,3,0,0,,,0.4,4/12/2024 16:11
8,4/12/2024 16:12,1.16.3,FR1,12,4.2,,1,RightWithPellet,Left,5,4,0,0,,,0.03,4/12/2024 16:12
9,4/12/2024 16:14,1.16.3,FR1,12,4.2,,1,LeftWithPellet,Left,6,4,0,0,,,0.02,4/12/2024 16:14
10,4/12/2024 16:14,1.16.3,FR1,12,4.2,,1,RightWithPellet,Left,6,5,0,0,,,0.12,4/12/2024 16:14
11,4/12/2024 16:15,1.16.3,FR1,12,4.2,,1,LeftWithPellet,Left,7,5,0,0,,,0.24,4/12/2024 16:15
12,4/12/2024 16:15,1.16.3,FR1,12,4.2,,1,RightWithPellet,Left,7,6,0,0,,,0.15,4/12/2024 16:15
