MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2023 16:34,1.16.3,FR1,7,4.14,nan,1,Left,Left,1,0,0,0,nan,nan,0.58
9/18/2023 16:35,1.16.3,FR1,7,4.14,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.07
9/18/2023 16:36,1.16.3,FR1,7,4.14,nan,1,LeftWithPellet,Left,3,0,0,0,nan,nan,0.03
9/18/2023 16:39,1.16.3,FR1,7,4.14,nan,1,RightWithPellet,Left,3,1,0,0,nan,nan,0.25
9/18/2023 16:40,1.16.3,FR1,7,4.14,nan,1,LeftWithPellet,Left,4,1,0,0,nan,nan,0.06
9/18/2023 16:40,1.16.3,FR1,7,4.14,nan,1,LeftWithPellet,Left,5,1,0,0,nan,nan,0.08
9/18/2023 16:40,1.16.3,FR1,7,4.14,nan,1,LeftWithPellet,Left,6,1,0,0,nan,nan,0.3
9/18/2023 16:41,1.16.3,FR1,7,4.14,nan,1,RightWithPellet,Left,6,2,0,0,nan,nan,0.33
9/18/2023 16:41,1.16.3,FR1,7,4.14,nan,1,RightWithPellet,Left,6,3,0,0,nan,nan,0.08
9/18/2023 16:42,1.16.3,FR1,7,4.14,1,1,Pellet,Left,6,3,1,0,Timed_out,nan,nan
9/18/2023 16:47,1.16.3,FR1,7,4.14,nan,1,Right,Left,6,4,1,0,nan,nan,0.62
9/18/2023 16:47,1.16.3,FR1,7,4.14,nan,1,Right,Left,6,5,1,0,nan,nan,0.01
9/18/2023 16:59,1.16.3,FR1,7,4.14,nan,1,Right,Left,6,6,1,0,nan,nan,0.02
9/18/2023 17:03,1.16.3,FR1,7,4.14,nan,1,Right,Left,6,7,1,0,nan,nan,0.8
9/18/2023 17:04,1.16.3,FR1,7,4.13,nan,1,Right,Left,6,8,1,0,nan,nan,0.6
9/18/2023 17:07,1.16.3,FR1,7,4.13,nan,1,Right,Left,6,9,1,0,nan,nan,0.04
9/18/2023 17:12,1.16.3,FR1,7,4.14,nan,1,Left,Left,7,9,1,0,nan,nan,0.05
9/18/2023 17:17,1.16.3,FR1,7,4.14,nan,1,RightWithPellet,Left,7,10,1,0,nan,nan,0.31
9/18/2023 17:23,1.16.3,FR1,7,4.14,3,1,Pellet,Left,7,10,2,0,Timed_out,2427,nan
9/18/2023 17:23,1.16.3,FR1,7,4.13,nan,1,Left,Left,8,10,2,0,nan,nan,0.04
9/18/2023 17:23,1.16.3,FR1,7,4.14,nan,1,LeftDuringDispense,Left,9,10,2,0,nan,nan,0.23
