MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/21/2023 18:12:22,1.16.3,FR1,7,4.21,nan,1,Right,Left,0,1,0,0,nan,nan,0.04
4/21/2023 18:12:23,1.16.3,FR1,7,4.21,nan,1,Right,Left,0,2,0,0,nan,nan,0.04
4/21/2023 18:13:33,1.16.3,FR1,7,4.20,nan,1,Left,Left,1,2,0,0,nan,nan,0.16
4/21/2023 18:23:54,1.16.3,FR1,7,4.20,nan,1,RightWithPellet,Left,1,3,0,0,nan,nan,0.01
4/21/2023 18:30:18,1.16.3,FR1,7,4.21,nan,1,RightWithPellet,Left,1,4,0,0,nan,nan,0.59
4/21/2023 18:37:54,1.16.3,FR1,7,4.20,nan,1,RightWithPellet,Left,1,5,0,0,nan,nan,0.25
4/21/2023 18:38:03,1.16.3,FR1,7,4.20,4,1,Pellet,Left,1,5,1,0,Timed_out,nan,nan
4/21/2023 19:09:11,1.16.3,FR1,7,4.21,nan,1,Left,Left,2,5,1,0,nan,nan,0.18
4/21/2023 19:09:18,1.16.3,FR1,7,4.20,nan,1,RightWithPellet,Left,2,6,1,0,nan,nan,0.44
4/21/2023 19:09:20,1.16.3,FR1,7,4.20,1,1,Pellet,Left,2,6,2,0,8.15,1877,nan
4/21/2023 19:11:04,1.16.3,FR1,7,4.20,nan,1,Left,Left,3,6,2,0,nan,nan,0.35
4/21/2023 19:11:04,1.16.3,FR1,7,4.20,nan,1,LeftDuringDispense,Left,4,6,2,0,nan,nan,0.01
4/21/2023 19:11:16,1.16.3,FR1,7,4.20,4,1,Pellet,Left,4,6,3,0,4.77,116,nan
4/21/2023 19:12:42,1.16.3,FR1,7,4.20,nan,1,Right,Left,4,7,3,0,nan,nan,0.23
4/21/2023 19:12:43,1.16.3,FR1,7,4.20,nan,1,Right,Left,4,8,3,0,nan,nan,0.17
4/21/2023 19:12:49,1.16.3,FR1,7,4.20,nan,1,Left,Left,5,8,3,0,nan,nan,0.28
4/21/2023 19:13:13,1.16.3,FR1,7,4.20,1,1,Pellet,Left,5,8,4,0,22.23,116,nan
4/21/2023 19:13:37,1.16.3,FR1,7,4.20,nan,1,Left,Left,6,8,4,0,nan,nan,0.19
4/21/2023 19:13:41,1.16.3,FR1,7,4.20,nan,1,RightWithPellet,Left,6,9,4,0,nan,nan,0.20
4/21/2023 19:13:47,1.16.3,FR1,7,4.20,1,1,Pellet,Left,6,9,5,0,9.42,35,nan
4/21/2023 19:16:51,1.16.3,FR1,7,4.20,nan,1,Left,Left,7,9,5,0,nan,nan,0.12
4/21/2023 19:17:21,1.16.3,FR1,7,4.20,1,1,Pellet,Left,7,9,6,0,28.95,213,nan
4/21/2023 19:19:02,1.16.3,FR1,7,4.20,nan,1,Right,Left,7,10,6,0,nan,nan,0.12
4/21/2023 19:23:44,1.16.3,FR1,7,4.20,nan,1,Left,Left,8,10,6,0,nan,nan,0.01
4/21/2023 19:23:52,1.16.3,FR1,7,4.20,2,1,Pellet,Left,8,10,7,0,5.18,392,nan
4/21/2023 19:36:23,1.16.3,FR1,7,4.20,nan,1,Left,Left,9,10,7,0,nan,nan,0.96
4/21/2023 19:40:55,1.16.3,FR1,7,4.20,nan,1,RightWithPellet,Left,9,11,7,0,nan,nan,0.04
4/21/2023 19:56:31,1.16.3,FR1,7,4.20,nan,1,LeftWithPellet,Left,10,11,7,0,nan,nan,0.19
4/21/2023 19:58:25,1.16.3,FR1,7,4.20,1,1,Pellet,Left,10,11,8,0,Timed_out,2073,nan
4/21/2023 20:04:01,1.16.3,FR1,7,4.20,nan,1,Left,Left,11,11,8,0,nan,nan,0.27
4/21/2023 20:04:01,1.16.3,FR1,7,4.20,1,1,Pellet,Left,11,11,9,0,0.06,336,nan
4/21/2023 20:07:08,1.16.3,FR1,7,4.20,nan,1,Left,Left,12,11,9,0,nan,nan,0.06
4/21/2023 20:12:19,1.16.3,FR1,7,4.20,1,1,Pellet,Left,12,11,10,0,Timed_out,498,nan
4/21/2023 20:20:38,1.16.3,FR1,7,4.20,nan,1,Left,Left,13,11,10,0,nan,nan,0.62
4/21/2023 20:20:38,1.16.3,FR1,7,4.20,nan,1,LeftDuringDispense,Left,14,11,10,0,nan,nan,0.06
4/21/2023 20:20:43,1.16.3,FR1,7,4.20,2,1,Pellet,Left,14,11,11,0,2.18,504,nan
4/21/2023 20:24:44,1.16.3,FR1,7,4.20,nan,1,Left,Left,15,11,11,0,nan,nan,0.31
4/21/2023 20:24:48,1.16.3,FR1,7,4.20,nan,1,LeftWithPellet,Left,16,11,11,0,nan,nan,0.35
4/21/2023 20:24:49,1.16.3,FR1,7,4.20,nan,1,LeftWithPellet,Left,17,11,11,0,nan,nan,0.17
4/21/2023 20:24:51,1.16.3,FR1,7,4.20,nan,1,LeftWithPellet,Left,18,11,11,0,nan,nan,0.06
4/21/2023 20:24:57,1.16.3,FR1,7,4.20,nan,1,LeftWithPellet,Left,19,11,11,0,nan,nan,0.11
4/21/2023 20:25:18,1.16.3,FR1,7,4.20,2,1,Pellet,Left,19,11,12,0,30.42,275,nan
4/21/2023 20:26:06,1.16.3,FR1,7,4.20,nan,1,Left,Left,20,11,12,0,nan,nan,0.08
4/21/2023 20:26:12,1.16.3,FR1,7,4.20,1,1,Pellet,Left,20,11,13,0,5.53,54,nan
4/21/2023 20:34:48,1.16.3,FR1,7,4.20,nan,1,Left,Left,21,11,13,0,nan,nan,0.10
4/21/2023 20:34:50,1.16.3,FR1,7,4.19,2,1,Pellet,Left,21,11,14,0,0.06,518,nan
4/21/2023 20:38:01,1.16.3,FR1,7,4.20,nan,1,Right,Left,21,12,14,0,nan,nan,1.56
4/21/2023 20:38:09,1.16.3,FR1,7,4.20,nan,1,Left,Left,22,12,14,0,nan,nan,0.04
4/21/2023 20:38:31,1.16.3,FR1,7,4.20,1,1,Pellet,Left,22,12,15,0,21.77,221,nan
4/21/2023 20:41:14,1.16.3,FR1,7,4.20,nan,1,Right,Left,22,13,15,0,nan,nan,0.02
4/21/2023 20:41:18,1.16.3,FR1,7,4.20,nan,1,Right,Left,22,14,15,0,nan,nan,0.44
4/21/2023 20:42:58,1.16.3,FR1,7,4.20,nan,1,Left,Left,23,14,15,0,nan,nan,0.10
4/21/2023 20:43:02,1.16.3,FR1,7,4.20,1,1,Pellet,Left,23,14,16,0,3.20,271,nan
4/21/2023 20:43:30,1.16.3,FR1,7,4.20,nan,1,Right,Left,23,15,16,0,nan,nan,0.03
4/21/2023 20:43:33,1.16.3,FR1,7,4.20,nan,1,Right,Left,23,16,16,0,nan,nan,0.03
4/21/2023 20:45:45,1.16.3,FR1,7,4.20,nan,1,Left,Left,24,16,16,0,nan,nan,0.72
4/21/2023 20:46:07,1.16.3,FR1,7,4.20,1,1,Pellet,Left,24,16,17,0,21.69,185,nan
4/21/2023 20:48:13,1.16.3,FR1,7,4.20,nan,1,Left,Left,25,16,17,0,nan,nan,0.26
4/21/2023 20:48:35,1.16.3,FR1,7,4.19,1,1,Pellet,Left,25,16,18,0,21.22,148,nan
4/21/2023 20:49:10,1.16.3,FR1,7,4.20,nan,1,Right,Left,25,17,18,0,nan,nan,0.04
4/21/2023 20:49:34,1.16.3,FR1,7,4.20,nan,1,Left,Left,26,17,18,0,nan,nan,0.31
4/21/2023 20:49:40,1.16.3,FR1,7,4.20,2,1,Pellet,Left,26,17,19,0,3.54,65,nan
4/21/2023 21:01:21,1.16.3,FR1,7,4.20,nan,1,Left,Left,27,17,19,0,nan,nan,0.09
4/21/2023 21:01:22,1.16.3,FR1,7,4.20,nan,1,LeftDuringDispense,Left,28,17,19,0,nan,nan,0.08
4/21/2023 21:01:28,1.16.3,FR1,7,4.20,2,1,Pellet,Left,28,17,20,0,3.13,708,nan
4/21/2023 21:02:00,1.16.3,FR1,7,4.19,nan,1,Right,Left,28,18,20,0,nan,nan,0.17
4/21/2023 21:02:04,1.16.3,FR1,7,4.20,nan,1,Right,Left,28,19,20,0,nan,nan,0.26
4/21/2023 21:02:05,1.16.3,FR1,7,4.20,nan,1,Right,Left,28,20,20,0,nan,nan,0.00
4/21/2023 21:02:10,1.16.3,FR1,7,4.20,nan,1,Right,Left,28,21,20,0,nan,nan,0.18
4/21/2023 21:02:26,1.16.3,FR1,7,4.20,nan,1,Right,Left,28,22,20,0,nan,nan,0.07
4/21/2023 21:02:27,1.16.3,FR1,7,4.20,nan,1,Right,Left,28,23,20,0,nan,nan,0.17
4/21/2023 21:02:28,1.16.3,FR1,7,4.20,nan,1,Right,Left,28,24,20,0,nan,nan,0.18
4/21/2023 21:02:50,1.16.3,FR1,7,4.20,nan,1,Right,Left,28,25,20,0,nan,nan,0.05
4/21/2023 21:06:53,1.16.3,FR1,7,4.20,nan,1,Left,Left,29,25,20,0,nan,nan,0.14
4/21/2023 21:07:03,1.16.3,FR1,7,4.20,1,1,Pellet,Left,29,25,21,0,8.41,334,nan
