,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
0,3/31/2021 18:03:39,1.4.2,FR1,3,4.17,1,1,Right,Left,0,1,0,0,,0.38
1,3/31/2021 18:03:46,1.4.2,FR1,3,4.17,1,1,Left,Left,1,1,0,0,,0.27
2,3/31/2021 18:03:50,1.4.2,FR1,3,4.17,3,1,Pellet,Left,1,1,1,0,1.13,
3,3/31/2021 18:03:57,1.4.2,FR1,3,4.17,1,1,Left,Left,2,1,1,0,,0.03
4,3/31/2021 18:03:59,1.4.2,FR1,3,4.17,2,1,Pellet,Left,2,1,2,0,0.69,
5,3/31/2021 18:04:04,1.4.2,FR1,3,4.17,1,1,Left,Left,3,1,2,0,,0.03
6,3/31/2021 18:09:05,1.4.2,FR1,3,4.17,2,1,Pellet,Left,3,1,3,0,Timed_out,
7,3/31/2021 18:09:46,1.4.2,FR1,3,4.17,1,1,Left,Left,4,1,3,0,,0.0
8,3/31/2021 18:09:49,1.4.2,FR1,3,4.17,2,1,Pellet,Left,4,1,4,0,0.19,
9,3/31/2021 18:11:04,1.4.2,FR1,3,4.17,1,1,Left,Left,5,1,4,0,,0.59
10,3/31/2021 18:13:12,1.4.2,FR1,3,4.17,1,1,Pellet,Left,5,1,5,0,Timed_out,
11,3/31/2021 18:16:04,1.4.2,FR1,3,4.17,1,1,Right,Left,5,2,5,0,,0.32
12,3/31/2021 18:18:28,1.4.2,FR1,3,4.18,1,1,Left,Left,6,2,5,0,,0.23
13,3/31/2021 18:18:30,1.4.2,FR1,3,4.18,1,1,Pellet,Left,6,2,6,0,1.07,
14,3/31/2021 18:19:42,1.4.2,FR1,3,4.17,1,1,Left,Left,7,2,6,0,,0.0
15,3/31/2021 18:21:38,1.4.2,FR1,3,4.17,1,1,Pellet,Left,7,2,7,0,Timed_out,
