MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
4/12/2021 16:03:00,1.4.2,FR1,6,3.98,1,1,Left,Left,1,0,0,0,nan,0.06
4/12/2021 16:03:05,1.4.2,FR1,6,3.98,3,1,Pellet,Left,1,0,1,0,0.69,nan
4/12/2021 16:03:22,1.4.2,FR1,6,3.98,1,1,Left,Left,2,0,1,0,nan,0.09
4/12/2021 16:03:23,1.4.2,FR1,6,3.98,1,1,Pellet,Left,2,0,2,0,0.56,nan
4/12/2021 16:03:44,1.4.2,FR1,6,3.98,1,1,Left,Left,3,0,2,0,nan,0.08
4/12/2021 16:03:48,1.4.2,FR1,6,3.98,2,1,Pellet,Left,3,0,3,0,0.31,nan
4/12/2021 16:04:08,1.4.2,FR1,6,3.99,1,1,Left,Left,4,0,3,0,nan,0.42
4/12/2021 16:04:09,1.4.2,FR1,6,3.99,1,1,Pellet,Left,4,0,4,0,0.25,nan
4/12/2021 16:04:22,1.4.2,FR1,6,3.98,1,1,Left,Left,5,0,4,0,nan,0.03
4/12/2021 16:04:23,1.4.2,FR1,6,3.98,1,1,Pellet,Left,5,0,5,0,0.37,nan
4/12/2021 16:04:49,1.4.2,FR1,6,3.98,1,1,Left,Left,6,0,5,0,nan,0.53
4/12/2021 16:04:50,1.4.2,FR1,6,3.98,1,1,Pellet,Left,6,0,6,0,0.31,nan
4/12/2021 16:05:15,1.4.2,FR1,6,3.98,1,1,Left,Left,7,0,6,0,nan,0.10
4/12/2021 16:05:17,1.4.2,FR1,6,3.98,1,1,Pellet,Left,7,0,7,0,0.31,nan
4/12/2021 16:05:52,1.4.2,FR1,6,3.98,1,1,Left,Left,8,0,7,0,nan,0.01
4/12/2021 16:05:56,1.4.2,FR1,6,3.98,3,1,Pellet,Left,8,0,8,0,0.50,nan
4/12/2021 16:06:14,1.4.2,FR1,6,3.98,1,1,Left,Left,9,0,8,0,nan,0.50
4/12/2021 16:06:15,1.4.2,FR1,6,3.98,1,1,Pellet,Left,9,0,9,0,0.44,nan
4/12/2021 16:06:44,1.4.2,FR1,6,3.98,1,1,Left,Left,10,0,9,0,nan,0.05
4/12/2021 16:06:46,1.4.2,FR1,6,3.98,1,1,Pellet,Left,10,0,10,0,0.31,nan
4/12/2021 16:07:14,1.4.2,FR1,6,3.98,1,1,Left,Left,11,0,10,0,nan,0.05
4/12/2021 16:07:15,1.4.2,FR1,6,3.98,1,1,Pellet,Left,11,0,11,0,0.31,nan
4/12/2021 16:07:48,1.4.2,FR1,6,3.98,1,1,Left,Left,12,0,11,0,nan,0.01
4/12/2021 16:07:50,1.4.2,FR1,6,3.98,2,1,Pellet,Left,12,0,12,0,0.25,nan
4/12/2021 16:08:24,1.4.2,FR1,6,3.98,1,1,Left,Left,13,0,12,0,nan,0.10
4/12/2021 16:08:26,1.4.2,FR1,6,3.98,2,1,Pellet,Left,13,0,13,0,0.25,nan
4/12/2021 16:09:02,1.4.2,FR1,6,3.98,1,1,Left,Left,14,0,13,0,nan,0.00
4/12/2021 16:09:03,1.4.2,FR1,6,3.98,1,1,Pellet,Left,14,0,14,0,0.44,nan
4/12/2021 16:09:53,1.4.2,FR1,6,3.98,1,1,Left,Left,15,0,14,0,nan,0.03
4/12/2021 16:09:54,1.4.2,FR1,6,3.98,1,1,Pellet,Left,15,0,15,0,0.31,nan
4/12/2021 16:10:53,1.4.2,FR1,6,3.98,1,1,Left,Left,16,0,15,0,nan,0.00
4/12/2021 16:10:54,1.4.2,FR1,6,3.98,1,1,Pellet,Left,16,0,16,0,0.37,nan
4/12/2021 16:11:44,1.4.2,FR1,6,3.98,1,1,Left,Left,17,0,16,0,nan,0.07
4/12/2021 16:11:46,1.4.2,FR1,6,3.98,1,1,Pellet,Left,17,0,17,0,0.31,nan
4/12/2021 16:13:36,1.4.2,FR1,6,3.99,1,1,Left,Left,18,0,17,0,nan,0.09
4/12/2021 16:13:38,1.4.2,FR1,6,3.99,1,1,Pellet,Left,18,0,18,0,0.44,nan
4/12/2021 16:14:27,1.4.2,FR1,6,3.98,1,1,Left,Left,19,0,18,0,nan,0.04
4/12/2021 16:14:28,1.4.2,FR1,6,3.98,1,1,Pellet,Left,19,0,19,0,0.25,nan
4/12/2021 16:15:17,1.4.2,FR1,6,3.98,1,1,Left,Left,20,0,19,0,nan,0.13
4/12/2021 16:15:21,1.4.2,FR1,6,3.98,2,1,Pellet,Left,20,0,20,0,0.31,nan
4/12/2021 16:16:06,1.4.2,FR1,6,3.98,1,1,Left,Left,21,0,20,0,nan,0.50
4/12/2021 16:16:07,1.4.2,FR1,6,3.98,1,1,Pellet,Left,21,0,21,0,0.25,nan
4/12/2021 16:18:05,1.4.2,FR1,6,3.99,1,1,Left,Left,22,0,21,0,nan,0.53
4/12/2021 16:18:06,1.4.2,FR1,6,3.99,1,1,Pellet,Left,22,0,22,0,0.31,nan
4/12/2021 16:19:56,1.4.2,FR1,6,3.98,1,1,Right,Left,22,1,22,0,nan,0.42
4/12/2021 16:19:58,1.4.2,FR1,6,3.96,1,1,Right,Left,22,2,22,0,nan,0.77
4/12/2021 16:20:03,1.4.2,FR1,6,3.98,1,1,Left,Left,23,2,22,0,nan,0.71
4/12/2021 16:20:04,1.4.2,FR1,6,3.98,1,1,Pellet,Left,23,2,23,0,0.25,nan
4/12/2021 16:21:26,1.4.2,FR1,6,3.98,1,1,Left,Left,24,2,23,0,nan,0.00
4/12/2021 16:21:27,1.4.2,FR1,6,3.98,1,1,Pellet,Left,24,2,24,0,0.37,nan
4/12/2021 16:23:01,1.4.2,FR1,6,3.98,1,1,Left,Left,25,2,24,0,nan,0.69
4/12/2021 16:23:02,1.4.2,FR1,6,3.98,1,1,Pellet,Left,25,2,25,0,0.31,nan
4/12/2021 16:24:00,1.4.2,FR1,6,3.98,1,1,Left,Left,26,2,25,0,nan,0.05
4/12/2021 16:24:02,1.4.2,FR1,6,3.98,1,1,Pellet,Left,26,2,26,0,0.25,nan
4/12/2021 16:25:12,1.4.2,FR1,6,3.98,1,1,Left,Left,27,2,26,0,nan,0.11
4/12/2021 16:25:33,1.4.2,FR1,6,3.98,2,1,Pellet,Left,27,2,27,0,18.12,nan
4/12/2021 16:28:58,1.4.2,FR1,6,3.98,1,1,Left,Left,28,2,27,0,nan,0.10
4/12/2021 16:29:00,1.4.2,FR1,6,3.98,1,1,Pellet,Left,28,2,28,0,0.25,nan
4/12/2021 16:30:11,1.4.2,FR1,6,3.98,1,1,Left,Left,29,2,28,0,nan,0.11
4/12/2021 16:30:17,1.4.2,FR1,6,3.98,3,1,Pellet,Left,29,2,29,0,0.37,nan
4/12/2021 16:31:06,1.4.2,FR1,6,3.98,1,1,Left,Left,30,2,29,0,nan,0.05
4/12/2021 16:31:10,1.4.2,FR1,6,3.98,2,1,Pellet,Left,30,2,30,0,0.94,nan
4/12/2021 16:34:02,1.4.2,FR1,6,3.98,1,1,Left,Left,31,2,30,0,nan,0.46
4/12/2021 16:34:46,1.4.2,FR1,6,3.98,2,1,Pellet,Left,31,2,31,0,41.07,nan
4/12/2021 16:35:40,1.4.2,FR1,6,3.98,1,1,Left,Left,32,2,31,0,nan,0.77
4/12/2021 16:35:41,1.4.2,FR1,6,3.98,1,1,Pellet,Left,32,2,32,0,0.18,nan
