MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/26/2023 18:16:13,1.17.0,20,80,4.17,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
4/26/2023 18:16:21,1.17.0,20,80,4.17,3,30,Pellet,Left,0,1,1,0,0.91,nan,nan
4/26/2023 18:17:31,1.17.0,20,80,4.17,nan,30,Left,Right,1,1,1,1,nan,nan,0.00
4/26/2023 18:18:14,1.17.0,20,80,4.17,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
4/26/2023 18:18:18,1.17.0,20,80,4.17,1,30,Pellet,Left,1,2,2,1,0.48,117,nan
4/26/2023 18:18:24,1.17.0,20,80,4.17,nan,30,Right,Left,1,3,2,2,nan,nan,0.00
4/26/2023 18:18:42,1.17.0,20,80,4.17,1,30,Pellet,Left,1,3,3,2,14.16,23,nan
4/26/2023 18:19:16,1.17.0,20,80,4.18,nan,30,Right,Left,1,4,3,3,nan,nan,0.00
4/26/2023 18:19:22,1.17.0,20,80,4.17,1,30,Pellet,Left,1,4,4,3,2.99,41,nan
4/26/2023 18:19:42,1.17.0,20,80,4.18,nan,30,Right,Left,1,5,4,4,nan,nan,0.00
4/26/2023 18:20:30,1.17.0,20,80,4.17,1,30,Pellet,Left,1,5,5,4,44.64,68,nan
4/26/2023 18:21:02,1.17.0,20,80,4.17,nan,30,Right,Left,1,6,5,5,nan,nan,0.00
4/26/2023 18:21:06,1.17.0,20,80,4.17,1,30,Pellet,Left,1,6,6,5,0.79,36,nan
4/26/2023 18:22:06,1.17.0,20,80,4.17,nan,30,Left,Right,2,6,6,6,nan,nan,0.00
4/26/2023 18:23:31,1.17.0,20,80,4.17,1,30,Pellet,Right,2,6,7,6,Timed_out,145,nan
4/26/2023 18:23:37,1.17.0,20,80,4.17,nan,30,Left,Right,3,6,7,7,nan,nan,0.00
4/26/2023 18:24:13,1.17.0,20,80,4.17,nan,30,Left,Right,4,6,7,7,nan,nan,0.00
4/26/2023 18:24:41,1.17.0,20,80,4.17,nan,30,Right,Left,4,7,7,7,nan,nan,0.00
4/26/2023 18:24:51,1.17.0,20,80,4.17,nan,30,RightinTimeout,Left,4,7,7,7,nan,nan,0.02
4/26/2023 18:24:51,1.17.0,20,80,4.17,nan,30,RightinTimeout,Left,4,7,7,7,nan,nan,0.03
4/26/2023 18:26:55,1.17.0,20,80,4.17,nan,30,Left,Right,5,7,7,7,nan,nan,0.00
4/26/2023 18:27:00,1.17.0,20,80,4.17,1,30,Pellet,Right,5,7,8,7,2.01,209,nan
4/26/2023 18:27:36,1.17.0,20,80,4.16,nan,30,Left,Right,6,7,8,8,nan,nan,0.00
4/26/2023 18:27:54,1.17.0,20,80,4.17,nan,30,Left,Right,7,7,8,8,nan,nan,0.85
4/26/2023 18:28:45,1.17.0,20,80,4.17,nan,30,Right,Left,7,8,8,8,nan,nan,0.00
4/26/2023 18:28:48,1.17.0,20,80,4.17,1,30,Pellet,Left,7,8,9,8,0.24,108,nan
4/26/2023 18:30:04,1.17.0,20,80,4.17,nan,30,Left,Right,8,8,9,9,nan,nan,0.00
4/26/2023 18:30:09,1.17.0,20,80,4.16,1,30,Pellet,Right,8,8,10,9,2.32,81,nan
4/26/2023 18:30:39,1.17.0,20,80,4.17,nan,30,Right,Left,8,9,10,10,nan,nan,0.00
4/26/2023 18:30:43,1.17.0,20,80,4.17,1,30,Pellet,Left,8,9,11,10,0.67,34,nan
4/26/2023 18:35:14,1.17.0,20,80,4.17,nan,30,Right,Left,8,10,11,11,nan,nan,0.00
4/26/2023 18:35:19,1.17.0,20,80,4.16,nan,30,RightinTimeout,Left,8,10,11,11,nan,nan,0.18
4/26/2023 18:35:25,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Left,8,10,11,11,nan,nan,nan
4/26/2023 18:35:33,1.17.0,20,80,4.17,nan,30,LeftinTimeOut,Left,8,10,11,11,nan,nan,nan
4/26/2023 18:35:40,1.17.0,20,80,4.17,nan,30,RightinTimeout,Left,8,10,11,11,nan,nan,0.18
4/26/2023 18:36:19,1.17.0,20,80,4.17,nan,30,Right,Left,8,11,11,11,nan,nan,0.00
4/26/2023 18:36:33,1.17.0,20,80,4.16,nan,30,Left,Right,9,11,11,11,nan,nan,0.00
4/26/2023 18:36:37,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,9,11,11,11,nan,nan,nan
4/26/2023 18:36:39,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,9,11,11,11,nan,nan,0.20
4/26/2023 18:36:45,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,9,11,11,11,nan,nan,0.13
4/26/2023 18:36:47,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,9,11,11,11,nan,nan,0.15
4/26/2023 18:36:53,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,9,11,11,11,nan,nan,0.41
4/26/2023 18:36:56,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,9,11,11,11,nan,nan,nan
4/26/2023 18:36:57,1.17.0,20,80,4.17,nan,30,LeftinTimeOut,Right,9,11,11,11,nan,nan,nan
