MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/27/2023 18:35:53,1.17.0,20,80,4.18,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
3/27/2023 18:35:59,1.17.0,20,80,4.18,1,30,Pellet,Left,0,1,1,0,3.42,nan,nan
3/27/2023 18:36:07,1.17.0,20,80,4.18,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
3/27/2023 18:36:13,1.17.0,20,80,4.17,1,30,Pellet,Left,0,2,2,1,2.44,14,nan
3/27/2023 18:36:38,1.17.0,20,80,4.18,nan,30,Right,Left,0,3,2,2,nan,nan,0.00
3/27/2023 18:36:42,1.17.0,20,80,4.18,1,30,Pellet,Left,0,3,3,2,0.36,29,nan
3/27/2023 18:36:59,1.17.0,20,80,4.18,nan,30,Right,Left,0,4,3,3,nan,nan,0.00
3/27/2023 18:37:03,1.17.0,20,80,4.18,1,30,Pellet,Left,0,4,4,3,1.58,21,nan
3/27/2023 18:37:32,1.17.0,20,80,4.18,nan,30,Right,Left,0,5,4,4,nan,nan,0.00
3/27/2023 18:37:35,1.17.0,20,80,4.18,1,30,Pellet,Left,0,5,5,4,0.67,32,nan
3/27/2023 18:38:15,1.17.0,20,80,4.18,nan,30,Right,Left,0,6,5,5,nan,nan,0.00
3/27/2023 18:38:18,1.17.0,20,80,4.18,1,30,Pellet,Left,0,6,6,5,0.61,43,nan
3/27/2023 18:38:44,1.17.0,20,80,4.18,nan,30,Left,Right,1,6,6,6,nan,nan,0.00
3/27/2023 18:38:54,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,1,6,6,6,nan,nan,nan
3/27/2023 18:39:08,1.17.0,20,80,4.17,nan,30,Right,Left,1,7,6,6,nan,nan,0.00
3/27/2023 18:39:12,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Left,1,7,6,6,nan,nan,nan
3/27/2023 18:39:29,1.17.0,20,80,4.18,nan,30,Right,Left,1,8,6,6,nan,nan,0.00
3/27/2023 18:39:33,1.17.0,20,80,4.18,1,30,Pellet,Left,1,8,7,6,0.18,74,nan
3/27/2023 18:40:04,1.17.0,20,80,4.18,nan,30,Left,Right,2,8,7,7,nan,nan,0.00
3/27/2023 18:40:08,1.17.0,20,80,4.18,1,30,Pellet,Right,2,8,8,7,0.97,36,nan
3/27/2023 18:40:34,1.17.0,20,80,4.18,nan,30,Left,Right,3,8,8,8,nan,nan,0.00
3/27/2023 18:40:41,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,3,8,8,8,nan,nan,0.32
3/27/2023 18:40:44,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,3,8,8,8,nan,nan,nan
3/27/2023 18:40:51,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,3,8,8,8,nan,nan,0.29
3/27/2023 18:40:55,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,3,8,8,8,nan,nan,nan
3/27/2023 18:41:07,1.17.0,20,80,4.18,nan,30,Left,Right,4,8,8,8,nan,nan,0.00
3/27/2023 18:41:22,1.17.0,20,80,4.18,nan,30,Right,Left,4,9,8,8,nan,nan,0.00
3/27/2023 18:41:26,1.17.0,20,80,4.18,1,30,Pellet,Left,4,9,9,8,1.03,78,nan
3/27/2023 18:42:14,1.17.0,20,80,4.18,nan,30,Right,Left,4,10,9,9,nan,nan,0.00
3/27/2023 18:42:17,1.17.0,20,80,4.18,1,30,Pellet,Left,4,10,10,9,0.30,51,nan
3/27/2023 18:42:54,1.17.0,20,80,4.17,nan,30,Left,Right,5,10,10,10,nan,nan,0.00
3/27/2023 18:44:00,1.17.0,20,80,4.17,nan,30,Right,Left,5,11,10,10,nan,nan,0.00
3/27/2023 18:44:03,1.17.0,20,80,4.18,1,30,Pellet,Left,5,11,11,10,0.48,106,nan
3/27/2023 18:44:35,1.17.0,20,80,4.18,nan,30,Right,Left,5,12,11,11,nan,nan,0.00
3/27/2023 18:45:58,1.17.0,20,80,4.18,nan,30,Right,Left,5,13,11,11,nan,nan,0.00
3/27/2023 18:46:04,1.17.0,20,80,4.18,2,30,Pellet,Left,5,13,12,11,0.42,121,nan
3/27/2023 18:47:33,1.17.0,20,80,4.18,nan,30,Left,Right,6,13,12,12,nan,nan,0.00
3/27/2023 18:47:38,1.17.0,20,80,4.18,1,30,Pellet,Right,6,13,13,12,1.16,94,nan
3/27/2023 18:48:25,1.17.0,20,80,4.17,nan,30,Right,Left,6,14,13,13,nan,nan,0.00
3/27/2023 18:48:30,1.17.0,20,80,4.18,1,30,Pellet,Left,6,14,14,13,1.58,52,nan
3/27/2023 18:50:11,1.17.0,20,80,4.18,nan,30,Left,Right,7,14,14,14,nan,nan,0.00
3/27/2023 18:58:15,1.17.0,20,80,4.18,1,30,Pellet,Right,7,14,15,14,Timed_out,584,nan
3/27/2023 19:01:26,1.17.0,20,80,4.17,nan,30,Right,Left,7,15,15,15,nan,nan,0.00
3/27/2023 19:01:30,1.17.0,20,80,4.17,1,30,Pellet,Left,7,15,16,15,0.97,196,nan
3/27/2023 19:08:05,1.17.0,20,80,4.17,nan,30,Right,Left,7,16,16,16,nan,nan,0.00
3/27/2023 19:08:09,1.17.0,20,80,4.17,1,30,Pellet,Left,7,16,17,16,1.28,399,nan
3/27/2023 19:10:20,1.17.0,20,80,4.17,nan,30,Right,Left,7,17,17,17,nan,nan,0.00
3/27/2023 19:10:26,1.17.0,20,80,4.18,nan,30,RightinTimeout,Left,7,17,17,17,nan,nan,1.90
3/27/2023 19:10:42,1.17.0,20,80,4.18,nan,30,Left,Right,8,17,17,17,nan,nan,0.00
3/27/2023 19:10:57,1.17.0,20,80,4.17,nan,30,Left,Right,9,17,17,17,nan,nan,0.00
3/27/2023 19:11:02,1.17.0,20,80,4.17,1,30,Pellet,Right,9,17,18,17,1.28,172,nan
