MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/27/2023 18:25:33,1.17.0,20,80,4.13,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
3/27/2023 18:25:36,1.17.0,20,80,4.13,1,30,Pellet,Left,0,1,1,0,0.24,nan,nan
3/27/2023 18:25:47,1.17.0,20,80,4.13,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
3/27/2023 18:25:52,1.17.0,20,80,4.13,2,30,Pellet,Left,0,2,2,1,1.95,16,nan
3/27/2023 18:26:59,1.17.0,20,80,4.14,nan,30,Left,Right,1,2,2,2,nan,nan,0.00
3/27/2023 18:27:03,1.17.0,20,80,4.13,nan,30,LeftinTimeOut,Right,1,2,2,2,nan,nan,nan
3/27/2023 18:27:34,1.17.0,20,80,4.13,nan,30,Right,Left,1,3,2,2,nan,nan,0.00
3/27/2023 18:27:37,1.17.0,20,80,4.13,1,30,Pellet,Left,1,3,3,2,0.30,105,nan
3/27/2023 18:27:52,1.17.0,20,80,4.13,nan,30,Right,Left,1,4,3,3,nan,nan,0.00
3/27/2023 18:27:56,1.17.0,20,80,4.13,1,30,Pellet,Left,1,4,4,3,0.30,19,nan
3/27/2023 18:28:19,1.17.0,20,80,4.12,nan,30,Left,Right,2,4,4,4,nan,nan,0.00
3/27/2023 18:28:44,1.17.0,20,80,4.13,nan,30,Right,Left,2,5,4,4,nan,nan,0.00
3/27/2023 18:28:47,1.17.0,20,80,4.13,1,30,Pellet,Left,2,5,5,4,0.42,51,nan
3/27/2023 18:29:20,1.17.0,20,80,4.12,nan,30,Left,Right,3,5,5,5,nan,nan,0.00
3/27/2023 18:29:53,1.17.0,20,80,4.13,nan,30,Right,Left,3,6,5,5,nan,nan,0.00
3/27/2023 18:29:56,1.17.0,20,80,4.13,1,30,Pellet,Left,3,6,6,5,0.30,69,nan
3/27/2023 18:30:23,1.17.0,20,80,4.13,nan,30,Left,Right,4,6,6,6,nan,nan,0.00
3/27/2023 18:32:06,1.17.0,20,80,4.12,nan,30,Left,Right,5,6,6,6,nan,nan,0.00
3/27/2023 18:32:09,1.17.0,20,80,4.12,1,30,Pellet,Right,5,6,7,6,0.24,133,nan
3/27/2023 18:32:33,1.17.0,20,80,4.13,nan,30,Left,Right,6,6,7,7,nan,nan,0.00
3/27/2023 18:32:59,1.17.0,20,80,4.13,nan,30,Right,Left,6,7,7,7,nan,nan,0.00
3/27/2023 18:33:02,1.17.0,20,80,4.13,1,30,Pellet,Left,6,7,8,7,0.24,53,nan
3/27/2023 18:33:32,1.17.0,20,80,4.13,nan,30,Right,Left,6,8,8,8,nan,nan,0.00
3/27/2023 18:33:35,1.17.0,20,80,4.13,1,30,Pellet,Left,6,8,9,8,0.24,33,nan
3/27/2023 18:35:09,1.17.0,20,80,4.13,nan,30,Left,Right,7,8,9,9,nan,nan,0.00
3/27/2023 18:35:12,1.17.0,20,80,4.12,1,30,Pellet,Right,7,8,10,9,0.30,97,nan
3/27/2023 18:35:39,1.17.0,20,80,4.13,nan,30,Left,Right,8,8,10,10,nan,nan,0.00
3/27/2023 18:35:49,1.17.0,20,80,4.13,nan,30,LeftinTimeOut,Right,8,8,10,10,nan,nan,nan
3/27/2023 18:36:55,1.17.0,20,80,4.13,nan,30,Right,Left,8,9,10,10,nan,nan,0.00
