MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/26/2023 19:58:43,1.17.0,20,80,4.18,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
4/26/2023 20:11:56,1.17.0,20,80,4.18,3,30,Pellet,Left,0,1,1,0,Timed_out,nan,nan
4/26/2023 20:12:18,1.17.0,20,80,4.18,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
4/26/2023 20:12:22,1.17.0,20,80,4.18,2,30,Pellet,Left,0,2,2,1,0.97,26,nan
4/26/2023 20:12:36,1.17.0,20,80,4.18,nan,30,Right,Left,0,3,2,2,nan,nan,0.00
4/26/2023 20:12:39,1.17.0,20,80,4.18,1,30,Pellet,Left,0,3,3,2,0.42,17,nan
4/26/2023 20:12:53,1.17.0,20,80,4.18,nan,30,Right,Left,0,4,3,3,nan,nan,0.00
4/26/2023 20:12:56,1.17.0,20,80,4.17,2,30,Pellet,Left,0,4,4,3,0.06,17,nan
4/26/2023 20:16:06,1.17.0,20,80,4.18,nan,30,Right,Left,0,5,4,4,nan,nan,0.00
4/26/2023 20:16:09,1.17.0,20,80,4.18,1,30,Pellet,Left,0,5,5,4,0.91,193,nan
4/26/2023 20:16:27,1.17.0,20,80,4.18,nan,30,Right,Left,0,6,5,5,nan,nan,0.00
4/26/2023 20:16:30,1.17.0,20,80,4.18,1,30,Pellet,Left,0,6,6,5,0.73,21,nan
4/26/2023 20:16:45,1.17.0,20,80,4.18,nan,30,Right,Left,0,7,6,6,nan,nan,0.00
4/26/2023 20:16:49,1.17.0,20,80,4.18,1,30,Pellet,Left,0,7,7,6,0.48,19,nan
4/26/2023 20:17:33,1.17.0,20,80,4.18,nan,30,Right,Left,0,8,7,7,nan,nan,0.00
4/26/2023 20:17:37,1.17.0,20,80,4.18,1,30,Pellet,Left,0,8,8,7,0.85,48,nan
4/26/2023 20:19:46,1.17.0,20,80,4.18,nan,30,Right,Left,0,9,8,8,nan,nan,0.00
4/26/2023 20:19:49,1.17.0,20,80,4.17,1,30,Pellet,Left,0,9,9,8,0.36,132,nan
4/26/2023 20:20:16,1.17.0,20,80,4.18,nan,30,Right,Left,0,10,9,9,nan,nan,0.00
4/26/2023 20:20:20,1.17.0,20,80,4.18,1,30,Pellet,Left,0,10,10,9,0.42,31,nan
4/26/2023 20:20:45,1.17.0,20,80,4.18,nan,30,Right,Left,0,11,10,10,nan,nan,0.00
4/26/2023 20:20:48,1.17.0,20,80,4.18,2,30,Pellet,Left,0,11,11,10,0.06,28,nan
4/26/2023 20:21:05,1.17.0,20,80,4.18,nan,30,Right,Left,0,12,11,11,nan,nan,0.00
4/26/2023 20:21:08,1.17.0,20,80,4.18,1,30,Pellet,Left,0,12,12,11,0.36,20,nan
4/26/2023 20:21:24,1.17.0,20,80,4.18,nan,30,Right,Left,0,13,12,12,nan,nan,0.00
4/26/2023 20:21:27,1.17.0,20,80,4.18,2,30,Pellet,Left,0,13,13,12,0.06,19,nan
4/26/2023 20:21:41,1.17.0,20,80,4.18,nan,30,Right,Left,0,14,13,13,nan,nan,0.00
4/26/2023 20:21:44,1.17.0,20,80,4.18,1,30,Pellet,Left,0,14,14,13,0.18,17,nan
4/26/2023 20:22:51,1.17.0,20,80,4.18,nan,30,Left,Right,1,14,14,14,nan,nan,0.00
4/26/2023 20:22:55,1.17.0,20,80,4.17,1,30,Pellet,Right,1,14,15,14,1.28,71,nan
4/26/2023 20:23:13,1.17.0,20,80,4.18,nan,30,Right,Left,1,15,15,15,nan,nan,0.00
4/26/2023 20:23:21,1.17.0,20,80,4.17,nan,30,RightinTimeout,Left,1,15,15,15,nan,nan,0.08
