MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/19/2023 18:19:15,1.17.0,20,80,3.83,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
5/19/2023 18:19:20,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,1,0,0,0,nan,nan,nan
5/19/2023 18:20:34,1.17.0,20,80,3.84,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
5/19/2023 18:20:38,1.17.0,20,80,3.84,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
5/19/2023 18:21:13,1.17.0,20,80,3.83,nan,30,Left,Right,3,0,0,0,nan,nan,0.00
5/19/2023 18:21:16,1.17.0,20,80,3.84,nan,30,LeftinTimeOut,Right,3,0,0,0,nan,nan,nan
5/19/2023 18:21:35,1.17.0,20,80,3.84,nan,30,Right,Left,3,1,0,0,nan,nan,0.00
5/19/2023 18:21:40,1.17.0,20,80,3.83,2,30,Pellet,Left,3,1,1,0,0.06,nan,nan
5/19/2023 18:21:53,1.17.0,20,80,3.84,nan,30,Right,Left,3,2,1,1,nan,nan,0.00
5/19/2023 18:21:58,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:21:59,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:22:03,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:22:03,1.17.0,20,80,3.84,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:22:06,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:22:09,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.23
5/19/2023 18:22:12,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.20
5/19/2023 18:22:13,1.17.0,20,80,3.84,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.23
5/19/2023 18:22:16,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.18
5/19/2023 18:22:24,1.17.0,20,80,3.84,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.84
5/19/2023 18:22:33,1.17.0,20,80,3.84,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.24
5/19/2023 18:22:35,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:22:37,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:22:46,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,3,2,1,1,nan,nan,nan
5/19/2023 18:22:50,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.79
5/19/2023 18:22:52,1.17.0,20,80,3.84,nan,30,RightinTimeout,Left,3,2,1,1,nan,nan,0.20
5/19/2023 18:23:12,1.17.0,20,80,3.83,nan,30,Right,Left,3,3,1,1,nan,nan,0.00
5/19/2023 18:23:15,1.17.0,20,80,3.83,1,30,Pellet,Left,3,3,2,1,0.42,95,nan
5/19/2023 18:23:36,1.17.0,20,80,3.83,nan,30,Right,Left,3,4,2,2,nan,nan,0.00
5/19/2023 18:23:39,1.17.0,20,80,3.83,1,30,Pellet,Left,3,4,3,2,0.36,24,nan
5/19/2023 18:23:52,1.17.0,20,80,3.83,nan,30,Right,Left,3,5,3,3,nan,nan,0.00
5/19/2023 18:23:55,1.17.0,20,80,3.83,1,30,Pellet,Left,3,5,4,3,0.18,16,nan
5/19/2023 18:24:11,1.17.0,20,80,3.83,nan,30,Right,Left,3,6,4,4,nan,nan,0.00
5/19/2023 18:24:14,1.17.0,20,80,3.83,1,30,Pellet,Left,3,6,5,4,0.24,19,nan
5/19/2023 18:24:33,1.17.0,20,80,3.83,nan,30,Right,Left,3,7,5,5,nan,nan,0.00
5/19/2023 18:24:38,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,3,7,5,5,nan,nan,1.49
5/19/2023 18:24:41,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,3,7,5,5,nan,nan,1.01
5/19/2023 18:24:51,1.17.0,20,80,3.83,nan,30,Left,Right,4,7,5,5,nan,nan,0.00
5/19/2023 18:25:18,1.17.0,20,80,3.84,nan,30,Left,Right,5,7,5,5,nan,nan,0.00
5/19/2023 18:25:34,1.17.0,20,80,3.84,nan,30,Left,Right,6,7,5,5,nan,nan,0.00
5/19/2023 18:25:45,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,6,7,5,5,nan,nan,nan
5/19/2023 18:26:03,1.17.0,20,80,3.83,nan,30,Left,Right,7,7,5,5,nan,nan,0.00
5/19/2023 18:26:07,1.17.0,20,80,3.83,1,30,Pellet,Right,7,7,6,5,0.12,112,nan
5/19/2023 18:26:27,1.17.0,20,80,3.83,nan,30,Left,Right,8,7,6,6,nan,nan,0.00
5/19/2023 18:26:33,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.15
5/19/2023 18:26:35,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,1.36
5/19/2023 18:26:36,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.02
5/19/2023 18:26:40,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,1.15
5/19/2023 18:26:42,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.27
5/19/2023 18:26:47,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,8,7,6,6,nan,nan,nan
5/19/2023 18:26:52,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,8,7,6,6,nan,nan,nan
5/19/2023 18:27:01,1.17.0,20,80,3.84,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.13
5/19/2023 18:27:06,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.14
5/19/2023 18:27:06,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.04
5/19/2023 18:27:12,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.18
5/19/2023 18:27:13,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,8,7,6,6,nan,nan,0.57
5/19/2023 18:27:17,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,8,7,6,6,nan,nan,nan
5/19/2023 18:27:20,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,8,7,6,6,nan,nan,nan
5/19/2023 18:27:20,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,8,7,6,6,nan,nan,nan
5/19/2023 18:27:41,1.17.0,20,80,3.83,nan,30,Left,Right,9,7,6,6,nan,nan,0.00
5/19/2023 18:27:49,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,9,7,6,6,nan,nan,nan
5/19/2023 18:28:19,1.17.0,20,80,3.83,nan,30,Left,Right,10,7,6,6,nan,nan,0.00
5/19/2023 18:28:33,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,10,7,6,6,nan,nan,nan
5/19/2023 18:28:35,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,10,7,6,6,nan,nan,nan
5/19/2023 18:28:35,1.17.0,20,80,3.84,nan,30,LeftinTimeOut,Right,10,7,6,6,nan,nan,nan
5/19/2023 18:28:39,1.17.0,20,80,3.84,nan,30,RightinTimeout,Right,10,7,6,6,nan,nan,0.13
5/19/2023 18:28:41,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,10,7,6,6,nan,nan,0.11
5/19/2023 18:28:46,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,10,7,6,6,nan,nan,nan
5/19/2023 18:28:46,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,10,7,6,6,nan,nan,nan
5/19/2023 18:28:55,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,10,7,6,6,nan,nan,nan
5/19/2023 18:29:01,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Right,10,7,6,6,nan,nan,nan
5/19/2023 18:29:04,1.17.0,20,80,3.83,nan,30,RightinTimeout,Right,10,7,6,6,nan,nan,0.72
5/19/2023 18:29:28,1.17.0,20,80,3.83,nan,30,Right,Left,10,8,6,6,nan,nan,0.00
5/19/2023 18:29:32,1.17.0,20,80,3.83,1,30,Pellet,Left,10,8,7,6,0.55,206,nan
5/19/2023 18:29:53,1.17.0,20,80,3.83,nan,30,Right,Left,10,9,7,7,nan,nan,0.00
5/19/2023 18:30:05,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.25
5/19/2023 18:30:05,1.17.0,20,80,3.84,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.29
5/19/2023 18:30:06,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.21
5/19/2023 18:30:09,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.23
5/19/2023 18:30:13,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,10,9,7,7,nan,nan,nan
5/19/2023 18:30:21,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.59
5/19/2023 18:30:24,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.62
5/19/2023 18:30:24,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.22
5/19/2023 18:30:28,1.17.0,20,80,3.84,nan,30,RightinTimeout,Left,10,9,7,7,nan,nan,0.30
5/19/2023 18:30:46,1.17.0,20,80,3.83,nan,30,Right,Left,10,10,7,7,nan,nan,0.00
5/19/2023 18:30:49,1.17.0,20,80,3.83,1,30,Pellet,Left,10,10,8,7,0.42,77,nan
5/19/2023 18:31:07,1.17.0,20,80,3.83,nan,30,Right,Left,10,11,8,8,nan,nan,0.00
5/19/2023 18:31:34,1.17.0,20,80,3.83,nan,30,Right,Left,10,12,8,8,nan,nan,0.00
5/19/2023 18:31:38,1.17.0,20,80,3.83,1,30,Pellet,Left,10,12,9,8,0.91,49,nan
5/19/2023 18:31:59,1.17.0,20,80,3.83,nan,30,Right,Left,10,13,9,9,nan,nan,0.00
5/19/2023 18:32:03,1.17.0,20,80,3.83,1,30,Pellet,Left,10,13,10,9,0.12,24,nan
5/19/2023 18:32:19,1.17.0,20,80,3.83,nan,30,Right,Left,10,14,10,10,nan,nan,0.00
5/19/2023 18:32:22,1.17.0,20,80,3.83,1,30,Pellet,Left,10,14,11,10,0.12,20,nan
5/19/2023 18:32:47,1.17.0,20,80,3.83,nan,30,Right,Left,10,15,11,11,nan,nan,0.00
5/19/2023 18:32:51,1.17.0,20,80,3.83,1,30,Pellet,Left,10,15,12,11,0.54,29,nan
5/19/2023 18:33:08,1.17.0,20,80,3.83,nan,30,Right,Left,10,16,12,12,nan,nan,0.00
5/19/2023 18:33:20,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,16,12,12,nan,nan,0.82
5/19/2023 18:33:23,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,16,12,12,nan,nan,0.26
5/19/2023 18:33:28,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,16,12,12,nan,nan,1.22
5/19/2023 18:33:35,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,16,12,12,nan,nan,0.70
5/19/2023 18:33:36,1.17.0,20,80,3.83,nan,30,RightinTimeout,Left,10,16,12,12,nan,nan,0.25
5/19/2023 18:33:40,1.17.0,20,80,3.83,nan,30,LeftinTimeOut,Left,10,16,12,12,nan,nan,nan
5/19/2023 18:34:07,1.17.0,20,80,3.83,nan,30,Right,Left,10,17,12,12,nan,nan,0.00
5/19/2023 18:34:25,1.17.0,20,80,3.83,nan,30,Right,Left,10,18,12,12,nan,nan,0.00
5/19/2023 18:34:29,1.17.0,20,80,3.83,1,30,Pellet,Left,10,18,13,12,0.30,97,nan
5/19/2023 18:34:48,1.17.0,20,80,3.83,nan,30,Right,Left,10,19,13,13,nan,nan,0.00
5/19/2023 18:34:53,1.17.0,20,80,3.83,1,30,Pellet,Left,10,19,14,13,1.52,25,nan
5/19/2023 18:35:12,1.17.0,20,80,3.83,nan,30,Right,Left,10,20,14,14,nan,nan,0.00
5/19/2023 18:35:16,1.17.0,20,80,3.83,1,30,Pellet,Left,10,20,15,14,0.42,23,nan
5/19/2023 18:35:36,1.17.0,20,80,3.83,nan,30,Right,Left,10,21,15,15,nan,nan,0.00
5/19/2023 18:35:41,1.17.0,20,80,3.83,2,30,Pellet,Left,10,21,16,15,0.18,25,nan
5/19/2023 18:36:01,1.17.0,20,80,3.83,nan,30,Right,Left,10,22,16,16,nan,nan,0.00
5/19/2023 18:36:04,1.17.0,20,80,3.83,1,30,Pellet,Left,10,22,17,16,0.12,23,nan
5/19/2023 18:36:25,1.17.0,20,80,3.83,nan,30,Right,Left,10,23,17,17,nan,nan,0.00
5/19/2023 18:36:28,1.17.0,20,80,3.83,1,30,Pellet,Left,10,23,18,17,0.18,24,nan
5/19/2023 18:36:51,1.17.0,20,80,3.83,nan,30,Right,Left,10,24,18,18,nan,nan,0.00
5/19/2023 18:37:06,1.17.0,20,80,3.83,nan,30,Right,Left,10,25,18,18,nan,nan,0.00
5/19/2023 18:37:41,1.17.0,20,80,3.84,nan,30,Right,Left,10,26,18,18,nan,nan,0.00
5/19/2023 18:37:45,1.17.0,20,80,3.83,2,30,Pellet,Left,10,26,19,18,0.67,77,nan
5/19/2023 18:38:03,1.17.0,20,80,3.83,nan,30,Right,Left,10,27,19,19,nan,nan,0.00
5/19/2023 18:38:06,1.17.0,20,80,3.83,2,30,Pellet,Left,10,27,20,19,0.06,21,nan
5/19/2023 18:38:21,1.17.0,20,80,3.83,nan,30,Right,Left,10,28,20,20,nan,nan,0.00
5/19/2023 18:38:24,1.17.0,20,80,3.83,1,30,Pellet,Left,10,28,21,20,0.42,18,nan
5/19/2023 18:38:42,1.17.0,20,80,3.83,nan,30,Right,Left,10,29,21,21,nan,nan,0.00
5/19/2023 18:38:45,1.17.0,20,80,3.83,1,30,Pellet,Left,10,29,22,21,0.55,21,nan
5/19/2023 18:39:06,1.17.0,20,80,3.83,nan,30,Right,Left,10,30,22,22,nan,nan,0.00
5/19/2023 18:39:09,1.17.0,20,80,3.83,1,30,Pellet,Left,10,30,23,22,0.24,24,nan
5/19/2023 18:39:27,1.17.0,20,80,3.83,nan,30,Right,Left,10,31,23,23,nan,nan,0.00
5/19/2023 18:39:31,1.17.0,20,80,3.83,1,30,Pellet,Left,10,31,24,23,0.24,22,nan
5/19/2023 18:39:51,1.17.0,20,80,3.83,nan,30,Right,Left,10,32,24,24,nan,nan,0.00
5/19/2023 18:41:52,1.17.0,20,80,3.83,nan,30,Left,Right,11,32,24,24,nan,nan,0.00
5/19/2023 18:41:56,1.17.0,20,80,3.83,1,30,Pellet,Right,11,32,25,24,1.09,145,nan
5/19/2023 18:42:11,1.17.0,20,80,3.83,nan,30,Right,Left,11,33,25,25,nan,nan,0.00
5/19/2023 18:42:15,1.17.0,20,80,3.83,1,30,Pellet,Left,11,33,26,25,0.48,19,nan
5/19/2023 18:42:32,1.17.0,20,80,3.83,nan,30,Right,Left,11,34,26,26,nan,nan,0.00
5/19/2023 18:42:37,1.17.0,20,80,3.83,2,30,Pellet,Left,11,34,27,26,0.18,22,nan
5/19/2023 18:43:24,1.17.0,20,80,3.83,nan,30,Left,Right,12,34,27,27,nan,nan,0.00
5/19/2023 18:44:12,1.17.0,20,80,3.83,nan,30,Left,Right,13,34,27,27,nan,nan,0.00
5/19/2023 18:44:19,1.17.0,20,80,3.83,1,30,Pellet,Right,13,34,28,27,4.04,102,nan
5/19/2023 18:45:18,1.17.0,20,80,3.83,nan,30,Right,Left,13,35,28,28,nan,nan,0.00
5/19/2023 18:45:22,1.17.0,20,80,3.83,1,30,Pellet,Left,13,35,29,28,0.91,62,nan
5/19/2023 18:45:38,1.17.0,20,80,3.83,nan,30,Left,Right,14,35,29,29,nan,nan,0.00
5/19/2023 18:48:45,1.17.0,20,80,3.83,nan,30,Left,Right,15,35,29,29,nan,nan,0.00
5/19/2023 18:48:49,1.17.0,20,80,3.83,1,30,Pellet,Right,15,35,30,29,0.55,208,nan
5/19/2023 18:49:34,1.17.0,80,20,3.83,nan,30,Left,Left,16,35,30,0,nan,nan,0.00
5/19/2023 18:49:39,1.17.0,80,20,3.83,2,30,Pellet,Left,16,35,31,0,0.30,50,nan
5/19/2023 18:50:00,1.17.0,80,20,3.83,nan,30,Left,Left,17,35,31,1,nan,nan,0.00
5/19/2023 18:50:04,1.17.0,80,20,3.83,1,30,Pellet,Left,17,35,32,1,1.03,25,nan
