MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/1/2023 18:05:38,1.17.0,20,80,4.18,nan,30,Left,Right,1,0,0,0,nan,nan,0.04
5/1/2023 18:07:58,1.17.0,20,80,4.18,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
5/1/2023 18:08:36,1.17.0,20,80,4.19,nan,30,Right,Left,2,1,0,0,nan,nan,0.00
5/1/2023 18:08:41,1.17.0,20,80,4.19,nan,30,LeftinTimeOut,Left,2,1,0,0,nan,nan,nan
5/1/2023 18:09:09,1.17.0,20,80,4.18,nan,30,Right,Left,2,2,0,0,nan,nan,0.00
5/1/2023 18:09:23,1.17.0,20,80,4.18,nan,30,Left,Right,3,2,0,0,nan,nan,0.00
5/1/2023 18:09:45,1.17.0,20,80,4.19,nan,30,Left,Right,4,2,0,0,nan,nan,0.00
5/1/2023 18:09:51,1.17.0,20,80,4.18,2,30,Pellet,Right,4,2,1,0,0.97,nan,nan
5/1/2023 18:10:29,1.17.0,20,80,4.18,nan,30,Left,Right,5,2,1,1,nan,nan,0.00
5/1/2023 18:10:35,1.17.0,20,80,4.19,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:35,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:39,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:41,1.17.0,20,80,4.19,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:47,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:48,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:51,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:53,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:54,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:10:58,1.17.0,20,80,4.19,nan,30,RightinTimeout,Right,5,2,1,1,nan,nan,0.09
5/1/2023 18:11:01,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,5,2,1,1,nan,nan,0.47
5/1/2023 18:11:05,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,5,2,1,1,nan,nan,0.35
5/1/2023 18:11:10,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,5,2,1,1,nan,nan,0.44
5/1/2023 18:11:13,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,5,2,1,1,nan,nan,0.55
5/1/2023 18:11:18,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,5,2,1,1,nan,nan,nan
5/1/2023 18:11:29,1.17.0,20,80,4.18,nan,30,Right,Left,5,3,1,1,nan,nan,0.00
5/1/2023 18:11:34,1.17.0,20,80,4.18,3,30,Pellet,Left,5,3,2,1,0.18,103,nan
5/1/2023 18:11:59,1.17.0,20,80,4.18,nan,30,Right,Left,5,4,2,2,nan,nan,0.00
5/1/2023 18:12:03,1.17.0,20,80,4.18,2,30,Pellet,Left,5,4,3,2,0.48,29,nan
5/1/2023 18:12:21,1.17.0,20,80,4.18,nan,30,Right,Left,5,5,3,3,nan,nan,0.00
5/1/2023 18:12:24,1.17.0,20,80,4.18,2,30,Pellet,Left,5,5,4,3,0.06,21,nan
5/1/2023 18:12:37,1.17.0,20,80,4.18,nan,30,Right,Left,5,6,4,4,nan,nan,0.00
5/1/2023 18:12:41,1.17.0,20,80,4.18,2,30,Pellet,Left,5,6,5,4,0.06,17,nan
5/1/2023 18:18:38,1.17.0,20,80,4.18,nan,30,Left,Right,6,6,5,5,nan,nan,0.00
5/1/2023 18:18:47,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,6,6,5,5,nan,nan,nan
5/1/2023 18:19:04,1.17.0,20,80,4.18,nan,30,Right,Left,6,7,5,5,nan,nan,0.00
5/1/2023 18:19:08,1.17.0,20,80,4.18,2,30,Pellet,Left,6,7,6,5,0.79,387,nan
5/1/2023 18:19:28,1.17.0,20,80,4.18,nan,30,Left,Right,7,7,6,6,nan,nan,0.00
5/1/2023 18:19:37,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,7,7,6,6,nan,nan,nan
5/1/2023 18:19:42,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,7,7,6,6,nan,nan,nan
5/1/2023 18:19:43,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,7,7,6,6,nan,nan,nan
5/1/2023 18:19:47,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,7,7,6,6,nan,nan,nan
