MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/4/2023 18:20:20,1.16.3,PRexp,4,4.03,nan,1,Left,Left,24,1,7,0,nan,nan,2.30
5/4/2023 18:20:21,1.16.3,PRexp,4,4.04,1,1,Pellet,Left,24,1,8,1,0.27,2226,nan
5/4/2023 18:20:51,1.16.3,PRexp,4,4.03,nan,1,Left,Left,25,1,8,1,nan,nan,0.07
5/4/2023 18:20:55,1.16.3,PRexp,4,4.03,2,1,Pellet,Left,25,1,9,2,0.81,34,nan
5/4/2023 18:21:47,1.16.3,PRexp,4,4.03,nan,2,Left,Left,26,1,9,2,nan,nan,0.96
5/4/2023 18:21:49,1.16.3,PRexp,4,4.04,nan,2,Left,Left,27,1,9,2,nan,nan,1.38
5/4/2023 18:21:49,1.16.3,PRexp,4,4.03,nan,2,LeftDuringDispense,Left,28,1,9,3,nan,nan,0.02
5/4/2023 18:21:53,1.16.3,PRexp,4,4.04,2,2,Pellet,Left,28,1,10,3,0.40,58,nan
5/4/2023 18:22:49,1.16.3,PRexp,4,4.03,nan,2,Left,Left,29,1,10,3,nan,nan,8.31
5/4/2023 18:23:07,1.16.3,PRexp,4,4.03,nan,2,Left,Left,30,1,10,3,nan,nan,0.26
5/4/2023 18:23:08,1.16.3,PRexp,4,4.04,1,2,Pellet,Left,30,1,11,4,0.27,75,nan
5/4/2023 18:23:45,1.16.3,PRexp,4,4.03,nan,3,Left,Left,31,1,11,4,nan,nan,0.03
5/4/2023 18:24:04,1.16.3,PRexp,4,4.04,nan,3,Left,Left,32,1,11,4,nan,nan,11.86
5/4/2023 18:24:12,1.16.3,PRexp,4,4.03,nan,3,Left,Left,33,1,11,4,nan,nan,2.30
5/4/2023 18:24:13,1.16.3,PRexp,4,4.04,nan,3,LeftDuringDispense,Left,34,1,11,5,nan,nan,0.03
5/4/2023 18:24:17,1.16.3,PRexp,4,4.03,2,3,Pellet,Left,34,1,12,5,0.95,68,nan
5/4/2023 18:24:41,1.16.3,PRexp,4,4.04,nan,4,Left,Left,35,1,12,5,nan,nan,0.09
5/4/2023 18:24:45,1.16.3,PRexp,4,4.04,nan,4,Left,Left,36,1,12,5,nan,nan,0.72
5/4/2023 18:24:47,1.16.3,PRexp,4,4.03,nan,4,Left,Left,37,1,12,5,nan,nan,0.00
5/4/2023 18:24:50,1.16.3,PRexp,4,4.04,nan,4,Left,Left,38,1,12,5,nan,nan,0.00
5/4/2023 18:24:51,1.16.3,PRexp,4,4.03,1,4,Pellet,Left,38,1,13,6,0.13,35,nan
5/4/2023 19:11:25,1.16.3,PRexp,4,4.04,nan,1,Left,Left,39,1,13,0,nan,nan,0.09
5/4/2023 19:11:26,1.16.3,PRexp,4,4.03,1,1,Pellet,Left,39,1,14,1,0.40,2795,nan
5/4/2023 19:12:10,1.16.3,PRexp,4,4.04,nan,1,Left,Left,40,1,14,1,nan,nan,0.09
5/4/2023 19:12:11,1.16.3,PRexp,4,4.03,1,1,Pellet,Left,40,1,15,2,0.13,45,nan
5/4/2023 19:12:43,1.16.3,PRexp,4,4.04,nan,2,Left,Left,41,1,15,2,nan,nan,0.62
5/4/2023 19:12:44,1.16.3,PRexp,4,4.04,nan,2,Left,Left,42,1,15,2,nan,nan,0.70
5/4/2023 19:12:47,1.16.3,PRexp,4,4.03,2,2,Pellet,Left,42,1,16,3,0.34,36,nan
5/4/2023 19:14:42,1.16.3,PRexp,4,4.03,nan,2,Left,Left,43,1,16,3,nan,nan,1.81
5/4/2023 19:14:47,1.16.3,PRexp,4,4.03,nan,2,Left,Left,44,1,16,3,nan,nan,3.15
5/4/2023 19:14:48,1.16.3,PRexp,4,4.03,1,2,Pellet,Left,44,1,17,4,0.13,121,nan
5/4/2023 19:15:27,1.16.3,PRexp,4,4.03,nan,3,Left,Left,45,1,17,4,nan,nan,0.09
5/4/2023 19:15:45,1.16.3,PRexp,4,4.03,nan,3,Left,Left,46,1,17,4,nan,nan,9.65
5/4/2023 19:15:49,1.16.3,PRexp,4,4.04,nan,3,Left,Left,47,1,17,4,nan,nan,0.83
5/4/2023 19:15:50,1.16.3,PRexp,4,4.03,1,3,Pellet,Left,47,1,18,5,0.20,62,nan
5/4/2023 19:17:01,1.16.3,PRexp,4,4.03,nan,4,Left,Left,48,1,18,5,nan,nan,1.36
