MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/18/2024 16:38:36,1.16.3,PRexp,2,3.72,nan,1,Left,Left,1,0,0,0,nan,nan,0.15
1/18/2024 16:38:39,1.16.3,PRexp,2,3.71,1,1,Pellet,Left,1,0,1,1,1.97,nan,nan
1/18/2024 16:48:35,1.16.3,PRexp,2,3.72,nan,1,Right,Left,1,1,1,1,nan,nan,0.36
1/18/2024 16:48:54,1.16.3,PRexp,2,3.72,nan,1,Left,Left,2,1,1,1,nan,nan,0.18
1/18/2024 16:48:55,1.16.3,PRexp,2,3.71,1,1,Pellet,Left,2,1,2,2,0.47,616,nan
1/18/2024 17:33:51,1.16.3,PRexp,2,3.71,nan,1,Left,Left,3,1,2,0,nan,nan,0.11
1/18/2024 17:33:52,1.16.3,PRexp,2,3.72,1,1,Pellet,Left,3,1,3,1,0.34,2697,nan
1/18/2024 17:34:12,1.16.3,PRexp,2,3.72,nan,1,Left,Left,4,1,3,1,nan,nan,0.23
1/18/2024 17:34:29,1.16.3,PRexp,2,3.73,2,1,Pellet,Left,4,1,4,2,13.25,36,nan
1/18/2024 17:34:55,1.16.3,PRexp,2,3.71,nan,2,Left,Left,5,1,4,2,nan,nan,0.05
1/18/2024 17:34:57,1.16.3,PRexp,2,3.71,nan,2,Left,Left,6,1,4,2,nan,nan,0.17
1/18/2024 17:35:00,1.16.3,PRexp,2,3.71,3,2,Pellet,Left,6,1,5,3,0.06,32,nan
1/18/2024 17:35:43,1.16.3,PRexp,2,3.72,nan,2,Left,Left,7,1,5,3,nan,nan,0.08
1/18/2024 17:35:45,1.16.3,PRexp,2,3.73,nan,2,Left,Left,8,1,5,3,nan,nan,0.17
1/18/2024 17:35:45,1.16.3,PRexp,2,3.71,1,2,Pellet,Left,8,1,6,4,0.20,45,nan
1/18/2024 17:36:25,1.16.3,PRexp,2,3.71,nan,3,Left,Left,9,1,6,4,nan,nan,0.14
1/18/2024 17:36:27,1.16.3,PRexp,2,3.72,nan,3,Left,Left,10,1,6,4,nan,nan,0.20
1/18/2024 17:36:28,1.16.3,PRexp,2,3.72,nan,3,Left,Left,11,1,6,4,nan,nan,0.02
1/18/2024 17:36:29,1.16.3,PRexp,2,3.71,1,3,Pellet,Left,11,1,7,5,0.20,44,nan
1/18/2024 18:13:22,1.16.3,PRexp,2,3.72,nan,1,Left,Left,12,1,7,0,nan,nan,0.45
1/18/2024 18:13:23,1.16.3,PRexp,2,3.72,2,1,Pellet,Left,12,1,8,1,0.27,2214,nan
1/18/2024 18:14:17,1.16.3,PRexp,2,3.71,nan,1,Left,Left,13,1,8,1,nan,nan,0.82
1/18/2024 18:14:18,1.16.3,PRexp,2,3.72,1,1,Pellet,Left,13,1,9,2,0.61,55,nan
1/18/2024 18:15:07,1.16.3,PRexp,2,3.71,nan,2,Left,Left,14,1,9,2,nan,nan,0.04
1/18/2024 18:15:09,1.16.3,PRexp,2,3.71,nan,2,Left,Left,15,1,9,2,nan,nan,0.08
1/18/2024 18:15:11,1.16.3,PRexp,2,3.72,1,2,Pellet,Left,15,1,10,3,0.88,53,nan
1/18/2024 18:16:02,1.16.3,PRexp,2,3.71,nan,2,Left,Left,16,1,10,3,nan,nan,0.06
1/18/2024 18:16:04,1.16.3,PRexp,2,3.71,nan,2,Left,Left,17,1,10,3,nan,nan,1.08
1/18/2024 18:16:05,1.16.3,PRexp,2,3.71,1,2,Pellet,Left,17,1,11,4,0.20,54,nan
1/18/2024 18:47:14,1.16.3,PRexp,2,3.71,nan,1,Left,Left,18,1,11,0,nan,nan,0.35
1/18/2024 18:47:15,1.16.3,PRexp,2,3.71,1,1,Pellet,Left,18,1,12,1,0.13,1870,nan
1/18/2024 18:48:13,1.16.3,PRexp,2,3.71,nan,1,Left,Left,19,1,12,1,nan,nan,0.61
1/18/2024 18:48:14,1.16.3,PRexp,2,3.71,2,1,Pellet,Left,19,1,13,2,0.06,59,nan
1/18/2024 18:48:52,1.16.3,PRexp,2,3.71,nan,2,Left,Left,20,1,13,2,nan,nan,0.08
1/18/2024 18:48:53,1.16.3,PRexp,2,3.71,nan,2,Left,Left,21,1,13,2,nan,nan,0.40
1/18/2024 18:48:54,1.16.3,PRexp,2,3.71,1,2,Pellet,Left,21,1,14,3,0.13,40,nan
1/18/2024 18:49:29,1.16.3,PRexp,2,3.71,nan,2,Left,Left,22,1,14,3,nan,nan,0.12
1/18/2024 18:49:30,1.16.3,PRexp,2,3.71,nan,2,Left,Left,23,1,14,3,nan,nan,0.14
1/18/2024 18:49:31,1.16.3,PRexp,2,3.71,nan,2,LeftDuringDispense,Left,24,1,14,4,nan,nan,0.03
1/18/2024 18:49:34,1.16.3,PRexp,2,3.71,3,2,Pellet,Left,24,1,15,4,0.20,40,nan
1/18/2024 18:50:26,1.16.3,PRexp,2,3.72,nan,3,Left,Left,25,1,15,4,nan,nan,0.62
1/18/2024 18:50:28,1.16.3,PRexp,2,3.72,nan,3,Left,Left,26,1,15,4,nan,nan,0.16
1/18/2024 18:50:29,1.16.3,PRexp,2,3.73,nan,3,Left,Left,27,1,15,4,nan,nan,0.18
1/18/2024 18:50:30,1.16.3,PRexp,2,3.71,1,3,Pellet,Left,27,1,16,5,0.40,56,nan
1/18/2024 19:15:49,1.16.3,PRexp,2,3.71,nan,4,Left,Left,28,1,16,5,nan,nan,0.85
1/18/2024 19:15:50,1.16.3,PRexp,2,3.71,nan,4,Left,Left,29,1,16,5,nan,nan,0.04
1/18/2024 19:15:53,1.16.3,PRexp,2,3.71,nan,4,Left,Left,30,1,16,5,nan,nan,0.10
1/18/2024 19:15:56,1.16.3,PRexp,2,3.71,nan,4,Left,Left,31,1,16,5,nan,nan,0.62
1/18/2024 19:15:56,1.16.3,PRexp,2,3.71,nan,4,LeftDuringDispense,Left,32,1,16,6,nan,nan,0.03
1/18/2024 19:16:12,1.16.3,PRexp,2,3.71,4,4,Pellet,Left,32,1,17,6,8.74,1542,nan
1/18/2024 19:16:45,1.16.3,PRexp,2,3.71,nan,5,Left,Left,33,1,17,6,nan,nan,0.08
