MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/17/2024 17:13:10,1.16.3,PRexp,3,3.82,nan,1,Left,Left,1,0,0,0,nan,nan,0.51
1/17/2024 17:13:11,1.16.3,PRexp,3,3.83,1,1,Pellet,Left,1,0,1,1,0.40,nan,nan
1/17/2024 17:13:22,1.16.3,PRexp,3,3.83,nan,1,Left,Left,2,0,1,1,nan,nan,0.10
1/17/2024 17:13:23,1.16.3,PRexp,3,3.83,1,1,Pellet,Left,2,0,2,2,0.47,12,nan
1/17/2024 17:13:34,1.16.3,PRexp,3,3.82,nan,2,Left,Left,3,0,2,2,nan,nan,0.11
1/17/2024 17:14:00,1.16.3,PRexp,3,3.82,nan,2,Left,Left,4,0,2,2,nan,nan,0.24
1/17/2024 17:14:01,1.16.3,PRexp,3,3.82,1,2,Pellet,Left,4,0,3,3,0.34,38,nan
1/17/2024 17:14:27,1.16.3,PRexp,3,3.83,nan,2,Left,Left,5,0,3,3,nan,nan,0.12
1/17/2024 17:15:26,1.16.3,PRexp,3,3.82,nan,2,Left,Left,6,0,3,3,nan,nan,0.21
1/17/2024 17:15:28,1.16.3,PRexp,3,3.83,1,2,Pellet,Left,6,0,4,4,0.81,86,nan
1/17/2024 17:15:55,1.16.3,PRexp,3,3.82,nan,3,Left,Left,7,0,4,4,nan,nan,0.34
1/17/2024 17:15:56,1.16.3,PRexp,3,3.82,nan,3,Left,Left,8,0,4,4,nan,nan,0.21
1/17/2024 17:15:58,1.16.3,PRexp,3,3.82,nan,3,Left,Left,9,0,4,4,nan,nan,0.07
1/17/2024 17:15:59,1.16.3,PRexp,3,3.82,2,3,Pellet,Left,9,0,5,5,0.40,32,nan
1/17/2024 17:20:49,1.16.3,PRexp,3,3.83,nan,4,Right,Left,9,1,5,5,nan,nan,0.34
1/17/2024 17:20:50,1.16.3,PRexp,3,3.82,nan,4,Right,Left,9,2,5,5,nan,nan,0.15
1/17/2024 17:20:53,1.16.3,PRexp,3,3.83,nan,4,Right,Left,9,3,5,5,nan,nan,0.18
1/17/2024 17:20:55,1.16.3,PRexp,3,3.82,nan,4,Right,Left,9,4,5,5,nan,nan,0.19
1/17/2024 17:20:57,1.16.3,PRexp,3,3.82,nan,4,Right,Left,9,5,5,5,nan,nan,0.20
1/17/2024 17:21:41,1.16.3,PRexp,3,3.82,nan,4,Left,Left,10,5,5,5,nan,nan,0.28
1/17/2024 17:21:44,1.16.3,PRexp,3,3.82,nan,4,Left,Left,11,5,5,5,nan,nan,0.31
1/17/2024 17:21:49,1.16.3,PRexp,3,3.82,nan,4,Left,Left,12,5,5,5,nan,nan,0.10
1/17/2024 17:25:13,1.16.3,PRexp,3,3.82,nan,4,Left,Left,13,5,5,5,nan,nan,0.14
1/17/2024 17:25:14,1.16.3,PRexp,3,3.82,1,4,Pellet,Left,13,5,6,6,0.81,555,nan
1/17/2024 17:26:03,1.16.3,PRexp,3,3.82,nan,5,Left,Left,14,5,6,6,nan,nan,0.19
1/17/2024 17:26:17,1.16.3,PRexp,3,3.82,nan,5,Right,Left,14,6,6,6,nan,nan,0.23
1/17/2024 17:30:27,1.16.3,PRexp,3,3.82,nan,5,Left,Left,15,6,6,6,nan,nan,0.41
1/17/2024 17:30:29,1.16.3,PRexp,3,3.82,nan,5,Left,Left,16,6,6,6,nan,nan,0.27
1/17/2024 17:30:32,1.16.3,PRexp,3,3.82,nan,5,Left,Left,17,6,6,6,nan,nan,0.26
1/17/2024 17:30:35,1.16.3,PRexp,3,3.82,nan,5,Left,Left,18,6,6,6,nan,nan,0.25
1/17/2024 17:30:36,1.16.3,PRexp,3,3.82,1,5,Pellet,Left,18,6,7,7,0.27,322,nan
1/17/2024 17:31:05,1.16.3,PRexp,3,3.82,nan,6,Left,Left,19,6,7,7,nan,nan,0.27
1/17/2024 17:31:09,1.16.3,PRexp,3,3.82,nan,6,Left,Left,20,6,7,7,nan,nan,0.37
1/17/2024 17:31:13,1.16.3,PRexp,3,3.82,nan,6,Left,Left,21,6,7,7,nan,nan,0.21
1/17/2024 17:31:14,1.16.3,PRexp,3,3.82,nan,6,Left,Left,22,6,7,7,nan,nan,0.19
1/17/2024 17:31:15,1.16.3,PRexp,3,3.83,nan,6,Left,Left,23,6,7,7,nan,nan,0.19
1/17/2024 17:31:17,1.16.3,PRexp,3,3.82,nan,6,Left,Left,24,6,7,7,nan,nan,0.26
1/17/2024 17:31:18,1.16.3,PRexp,3,3.82,1,6,Pellet,Left,24,6,8,8,0.27,42,nan
1/17/2024 17:32:23,1.16.3,PRexp,3,3.82,nan,7,Left,Left,25,6,8,8,nan,nan,0.18
1/17/2024 17:32:24,1.16.3,PRexp,3,3.82,nan,7,Left,Left,26,6,8,8,nan,nan,0.17
1/17/2024 17:32:25,1.16.3,PRexp,3,3.82,nan,7,Left,Left,27,6,8,8,nan,nan,0.11
1/17/2024 17:32:27,1.16.3,PRexp,3,3.82,nan,7,Left,Left,28,6,8,8,nan,nan,0.20
1/17/2024 17:32:28,1.16.3,PRexp,3,3.82,nan,7,Left,Left,29,6,8,8,nan,nan,0.21
