MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/3/2023 16:54:57,1.16.3,PRexp,3,4.20,nan,1,Left,Left,1,0,0,0,nan,nan,0.02
5/3/2023 16:54:59,1.16.3,PRexp,3,4.20,1,1,Pellet,Left,1,0,1,1,0.68,nan,nan
5/3/2023 16:58:07,1.16.3,PRexp,3,4.20,nan,1,Left,Left,2,0,1,1,nan,nan,0.67
5/3/2023 16:58:08,1.16.3,PRexp,3,4.20,1,1,Pellet,Left,2,0,2,2,0.61,189,nan
5/3/2023 16:58:31,1.16.3,PRexp,3,4.20,nan,2,Left,Left,3,0,2,2,nan,nan,0.05
5/3/2023 16:58:33,1.16.3,PRexp,3,4.20,nan,2,Left,Left,4,0,2,2,nan,nan,0.23
5/3/2023 16:58:34,1.16.3,PRexp,3,4.20,1,2,Pellet,Left,4,0,3,3,0.54,26,nan
5/3/2023 16:59:07,1.16.3,PRexp,3,4.20,nan,2,Left,Left,5,0,3,3,nan,nan,0.18
5/3/2023 16:59:08,1.16.3,PRexp,3,4.20,nan,2,Left,Left,6,0,3,3,nan,nan,0.15
5/3/2023 16:59:09,1.16.3,PRexp,3,4.20,1,2,Pellet,Left,6,0,4,4,0.61,35,nan
5/3/2023 16:59:31,1.16.3,PRexp,3,4.20,nan,3,Right,Left,6,1,4,4,nan,nan,1.02
5/3/2023 17:00:57,1.16.3,PRexp,3,4.20,nan,3,Left,Left,7,1,4,4,nan,nan,0.12
5/3/2023 17:00:59,1.16.3,PRexp,3,4.20,nan,3,Left,Left,8,1,4,4,nan,nan,0.08
5/3/2023 17:07:21,1.16.3,PRexp,3,4.20,nan,3,Right,Left,8,2,4,4,nan,nan,0.04
5/3/2023 17:07:54,1.16.3,PRexp,3,4.20,nan,3,Right,Left,8,3,4,4,nan,nan,0.35
5/3/2023 17:07:56,1.16.3,PRexp,3,4.20,nan,3,Right,Left,8,4,4,4,nan,nan,0.35
5/3/2023 17:08:02,1.16.3,PRexp,3,4.20,nan,3,Right,Left,8,5,4,4,nan,nan,0.00
5/3/2023 17:08:16,1.16.3,PRexp,3,4.19,nan,3,Left,Left,9,5,4,4,nan,nan,0.12
5/3/2023 17:08:17,1.16.3,PRexp,3,4.20,1,3,Pellet,Left,9,5,5,5,0.81,548,nan
5/3/2023 17:39:04,1.16.3,PRexp,3,4.20,nan,1,Left,Left,10,5,5,0,nan,nan,0.06
5/3/2023 17:39:05,1.16.3,PRexp,3,4.20,1,1,Pellet,Left,10,5,6,1,0.81,1848,nan
5/3/2023 17:39:38,1.16.3,PRexp,3,4.20,nan,1,Left,Left,11,5,6,1,nan,nan,0.06
5/3/2023 17:39:40,1.16.3,PRexp,3,4.20,1,1,Pellet,Left,11,5,7,2,0.40,34,nan
5/3/2023 17:40:07,1.16.3,PRexp,3,4.20,nan,2,Left,Left,12,5,7,2,nan,nan,0.06
5/3/2023 17:40:08,1.16.3,PRexp,3,4.19,nan,2,Left,Left,13,5,7,2,nan,nan,0.13
5/3/2023 17:40:11,1.16.3,PRexp,3,4.20,3,2,Pellet,Left,13,5,8,3,0.06,32,nan
5/3/2023 17:40:27,1.16.3,PRexp,3,4.19,nan,2,Left,Left,14,5,8,3,nan,nan,0.05
5/3/2023 17:40:28,1.16.3,PRexp,3,4.20,nan,2,Left,Left,15,5,8,3,nan,nan,0.10
5/3/2023 17:40:34,1.16.3,PRexp,3,4.19,4,2,Pellet,Left,15,5,9,4,0.06,23,nan
5/3/2023 17:40:36,1.16.3,PRexp,3,4.19,nan,3,Left,Left,16,5,9,4,nan,nan,0.13
5/3/2023 17:40:37,1.16.3,PRexp,3,4.20,nan,3,Left,Left,17,5,9,4,nan,nan,0.04
5/3/2023 17:40:46,1.16.3,PRexp,3,4.19,nan,3,Left,Left,18,5,9,4,nan,nan,0.11
5/3/2023 17:40:49,1.16.3,PRexp,3,4.20,2,3,Pellet,Left,18,5,10,5,0.20,15,nan
5/3/2023 17:41:21,1.16.3,PRexp,3,4.19,nan,4,Left,Left,19,5,10,5,nan,nan,0.00
5/3/2023 17:41:24,1.16.3,PRexp,3,4.20,nan,4,Left,Left,20,5,10,5,nan,nan,0.12
