MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-04-24 18:24:30,1.16.3,PRexp,3,3.66,,1,Left,Left,5,0,4,0,,,0.15
2024-04-24 18:24:32,1.16.3,PRexp,3,3.67,1.0,1,Pellet,Left,5,0,5,1,1.08,1956.0,
2024-04-24 18:24:57,1.16.3,PRexp,3,3.65,,1,Left,Left,6,0,5,1,,,0.1
2024-04-24 18:24:58,1.16.3,PRexp,3,3.66,1.0,1,Pellet,Left,6,0,6,2,0.4,26.0,
2024-04-24 18:25:11,1.16.3,PRexp,3,3.65,,2,Left,Left,7,0,6,2,,,0.14
2024-04-24 18:25:13,1.16.3,PRexp,3,3.66,,2,Left,Left,8,0,6,2,,,0.63
2024-04-24 18:25:25,1.16.3,PRexp,3,3.66,1.0,2,Pellet,Left,8,0,7,3,11.21,27.0,
2024-04-24 18:26:05,1.16.3,PRexp,3,3.66,,2,Left,Left,9,0,7,3,,,0.06
2024-04-24 18:26:06,1.16.3,PRexp,3,3.66,,2,Left,Left,10,0,7,3,,,0.04
2024-04-24 18:26:07,1.16.3,PRexp,3,3.65,1.0,2,Pellet,Left,10,0,8,4,0.2,42.0,
2024-04-24 18:26:28,1.16.3,PRexp,3,3.66,,3,Left,Left,11,0,8,4,,,0.12
2024-04-24 18:26:29,1.16.3,PRexp,3,3.66,,3,Left,Left,12,0,8,4,,,0.15
2024-04-24 18:26:31,1.16.3,PRexp,3,3.66,,3,Left,Left,13,0,8,4,,,0.09
2024-04-24 18:26:32,1.16.3,PRexp,3,3.65,1.0,3,Pellet,Left,13,0,9,5,0.4,25.0,
2024-04-24 18:26:48,1.16.3,PRexp,3,3.66,,4,Left,Left,14,0,9,5,,,0.22
2024-04-24 18:26:49,1.16.3,PRexp,3,3.66,,4,Left,Left,15,0,9,5,,,0.42
2024-04-24 18:26:50,1.16.3,PRexp,3,3.66,,4,Left,Left,16,0,9,5,,,0.0
2024-04-24 18:26:52,1.16.3,PRexp,3,3.66,,4,Left,Left,17,0,9,5,,,0.16
2024-04-24 18:27:13,1.16.3,PRexp,3,3.66,7.0,4,Pellet,Left,17,0,10,6,9.15,41.0,
2024-04-24 18:48:18,1.16.3,PRexp,3,3.66,,5,Left,Left,18,0,10,6,,,1.07
2024-04-24 18:48:20,1.16.3,PRexp,3,3.66,,5,Left,Left,19,0,10,6,,,0.59
2024-04-24 18:48:24,1.16.3,PRexp,3,3.66,,5,Left,Left,20,0,10,6,,,0.72
2024-04-24 18:48:25,1.16.3,PRexp,3,3.65,,5,Left,Left,21,0,10,6,,,0.42
2024-04-24 18:48:28,1.16.3,PRexp,3,3.66,,5,Left,Left,22,0,10,6,,,0.56
2024-04-24 18:49:01,1.16.3,PRexp,3,3.66,3.0,5,Pellet,Left,22,0,11,7,29.73,1308.0,
2024-04-24 18:49:19,1.16.3,PRexp,3,3.65,,6,Left,Left,23,0,11,7,,,0.07
2024-04-24 18:49:20,1.16.3,PRexp,3,3.66,,6,Left,Left,24,0,11,7,,,0.08
2024-04-24 18:49:22,1.16.3,PRexp,3,3.66,,6,Left,Left,25,0,11,7,,,0.47
2024-04-24 18:49:25,1.16.3,PRexp,3,3.65,,6,Left,Left,26,0,11,7,,,0.08
2024-04-24 18:49:26,1.16.3,PRexp,3,3.67,,6,Left,Left,27,0,11,7,,,0.38
2024-04-24 18:49:28,1.16.3,PRexp,3,3.66,,6,Left,Left,28,0,11,7,,,0.21
2024-04-24 18:49:38,1.16.3,PRexp,3,3.66,2.0,6,Pellet,Left,28,0,12,8,9.84,37.0,
2024-04-24 19:04:17,1.16.3,PRexp,3,3.65,,7,Left,Left,29,0,12,8,,,0.09
2024-04-24 19:04:18,1.16.3,PRexp,3,3.66,,7,Left,Left,30,0,12,8,,,0.29
2024-04-24 19:05:50,1.16.3,PRexp,3,3.66,,7,Left,Left,31,0,12,8,,,0.05
2024-04-24 19:05:52,1.16.3,PRexp,3,3.66,,7,Left,Left,32,0,12,8,,,0.18
2024-04-24 19:21:15,1.16.3,PRexp,3,3.67,,7,Right,Left,32,1,12,8,,,0.04
2024-04-24 19:21:19,1.16.3,PRexp,3,3.66,,7,Right,Left,32,2,12,8,,,0.54
2024-04-24 19:21:20,1.16.3,PRexp,3,3.66,,7,Right,Left,32,3,12,8,,,0.42
2024-04-24 19:21:21,1.16.3,PRexp,3,3.66,,7,Right,Left,32,4,12,8,,,0.0
2024-04-24 19:21:29,1.16.3,PRexp,3,3.66,,7,Left,Left,33,4,12,8,,,0.6
2024-04-24 19:21:31,1.16.3,PRexp,3,3.65,,7,Left,Left,34,4,12,8,,,0.19
2024-04-24 19:22:34,1.16.3,PRexp,3,3.66,,7,Right,Left,34,5,12,8,,,0.1
2024-04-24 19:22:36,1.16.3,PRexp,3,3.66,,7,Right,Left,34,6,12,8,,,0.35
2024-04-24 19:22:42,1.16.3,PRexp,3,3.65,,7,Left,Left,35,6,12,8,,,0.29
2024-04-24 19:22:43,1.16.3,PRexp,3,3.67,1.0,7,Pellet,Left,35,6,13,9,0.2,1985.0,
2024-04-24 19:25:12,1.16.3,PRexp,3,3.67,,9,Right,Left,35,7,13,9,,,0.1
2024-04-24 19:48:28,1.16.3,PRexp,3,3.66,,9,Left,Left,36,7,13,9,,,0.6
2024-04-24 19:48:30,1.16.3,PRexp,3,3.66,,9,Left,Left,37,7,13,9,,,0.31
2024-04-24 19:48:31,1.16.3,PRexp,3,3.66,,9,Left,Left,38,7,13,9,,,0.04
2024-04-24 19:48:32,1.16.3,PRexp,3,3.65,,9,Left,Left,39,7,13,9,,,0.06
2024-04-24 19:48:34,1.16.3,PRexp,3,3.66,,9,Left,Left,40,7,13,9,,,0.37
2024-04-24 19:48:36,1.16.3,PRexp,3,3.66,,9,Left,Left,41,7,13,9,,,0.36
2024-04-24 19:48:37,1.16.3,PRexp,3,3.66,,9,Left,Left,42,7,13,9,,,0.41
2024-04-24 19:48:40,1.16.3,PRexp,3,3.66,,9,Left,Left,43,7,13,9,,,0.18
2024-04-24 19:48:42,1.16.3,PRexp,3,3.65,,9,Left,Left,44,7,13,9,,,0.23
2024-04-24 19:48:44,1.16.3,PRexp,3,3.66,1.0,9,Pellet,Left,44,7,14,10,0.95,1561.0,
2024-04-24 19:48:59,1.16.3,PRexp,3,3.66,,10,Left,Left,45,7,14,10,,,0.49
2024-04-24 19:49:00,1.16.3,PRexp,3,3.66,,10,Left,Left,46,7,14,10,,,0.28
2024-04-24 19:49:01,1.16.3,PRexp,3,3.65,,10,Left,Left,47,7,14,10,,,0.22
2024-04-24 19:49:03,1.16.3,PRexp,3,3.66,,10,Left,Left,48,7,14,10,,,0.39
2024-04-24 19:49:04,1.16.3,PRexp,3,3.65,,10,Left,Left,49,7,14,10,,,0.21
2024-04-24 19:49:05,1.16.3,PRexp,3,3.66,,10,Left,Left,50,7,14,10,,,0.0
2024-04-24 19:49:06,1.16.3,PRexp,3,3.65,,10,Left,Left,51,7,14,10,,,0.0
2024-04-24 19:49:08,1.16.3,PRexp,3,3.65,,10,Left,Left,52,7,14,10,,,0.64
2024-04-24 19:49:09,1.16.3,PRexp,3,3.66,,10,Left,Left,53,7,14,10,,,0.34
2024-04-24 19:49:11,1.16.3,PRexp,3,3.66,,10,Left,Left,54,7,14,10,,,0.45
2024-04-24 19:49:12,1.16.3,PRexp,3,3.65,2.0,10,Pellet,Left,54,7,15,11,0.06,28.0,
2024-04-24 20:11:24,1.16.3,PRexp,3,3.66,,12,Left,Left,55,7,15,11,,,0.07
2024-04-24 20:11:25,1.16.3,PRexp,3,3.66,,12,Left,Left,56,7,15,11,,,0.33
2024-04-24 20:11:27,1.16.3,PRexp,3,3.65,,12,Left,Left,57,7,15,11,,,0.31
2024-04-24 20:11:28,1.16.3,PRexp,3,3.66,,12,Left,Left,58,7,15,11,,,0.33
2024-04-24 20:11:30,1.16.3,PRexp,3,3.66,,12,Left,Left,59,7,15,11,,,0.11
2024-04-24 20:11:31,1.16.3,PRexp,3,3.66,,12,Left,Left,60,7,15,11,,,0.11
2024-04-24 20:11:33,1.16.3,PRexp,3,3.66,,12,Left,Left,61,7,15,11,,,0.32
2024-04-24 20:11:34,1.16.3,PRexp,3,3.66,,12,Left,Left,62,7,15,11,,,0.27
2024-04-24 20:11:36,1.16.3,PRexp,3,3.66,,12,Left,Left,63,7,15,11,,,0.45
2024-04-24 20:11:38,1.16.3,PRexp,3,3.66,,12,Left,Left,64,7,15,11,,,0.23
2024-04-24 20:11:40,1.16.3,PRexp,3,3.66,,12,Left,Left,65,7,15,11,,,0.2
2024-04-24 20:11:42,1.16.3,PRexp,3,3.66,,12,Left,Left,66,7,15,11,,,0.08
2024-04-24 20:11:43,1.16.3,PRexp,3,3.65,1.0,12,Pellet,Left,66,7,16,12,0.13,1351.0,
2024-04-24 20:11:55,1.16.3,PRexp,3,3.65,,13,Left,Left,67,7,16,12,,,0.11
2024-04-24 20:11:56,1.16.3,PRexp,3,3.65,,13,Left,Left,68,7,16,12,,,0.39
2024-04-24 20:11:57,1.16.3,PRexp,3,3.66,,13,Left,Left,69,7,16,12,,,0.13
2024-04-24 20:11:58,1.16.3,PRexp,3,3.65,,13,Left,Left,70,7,16,12,,,0.1
2024-04-24 20:12:00,1.16.3,PRexp,3,3.66,,13,Left,Left,71,7,16,12,,,0.57
2024-04-24 20:12:00,1.16.3,PRexp,3,3.65,,13,Left,Left,72,7,16,12,,,0.0
