MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-03-29 19:21:18,1.16.3,PRexp,5,3.99,,1,Left,Left,1,0,0,0,,,0.01
2024-03-29 19:21:23,1.16.3,PRexp,5,3.98,2.0,1,Pellet,Left,1,0,1,1,1.97,,
2024-03-29 19:23:31,1.16.3,PRexp,5,3.98,,1,Right,Left,1,1,1,1,,,0.03
2024-03-29 19:23:31,1.16.3,PRexp,5,3.99,,1,Right,Left,1,2,1,1,,,0.03
2024-03-29 20:24:46,1.16.3,PRexp,5,3.98,,1,Left,Left,2,2,1,0,,,0.41
2024-03-29 20:24:48,1.16.3,PRexp,5,3.98,1.0,1,Pellet,Left,2,2,2,1,0.88,3805.0,
2024-03-29 20:25:25,1.16.3,PRexp,5,3.98,,1,Left,Left,3,2,2,1,,,0.15
2024-03-29 20:25:26,1.16.3,PRexp,5,3.98,1.0,1,Pellet,Left,3,2,3,2,0.41,38.0,
2024-03-29 20:26:04,1.16.3,PRexp,5,3.98,,2,Left,Left,4,2,3,2,,,0.03
2024-03-29 20:26:18,1.16.3,PRexp,5,3.98,,2,Left,Left,5,2,3,2,,,0.22
2024-03-29 20:26:19,1.16.3,PRexp,5,3.98,1.0,2,Pellet,Left,5,2,4,3,0.47,53.0,
2024-03-29 20:35:17,1.16.3,PRexp,5,3.99,,2,Left,Left,6,2,4,3,,,0.04
2024-03-29 20:35:24,1.16.3,PRexp,5,3.98,,2,Left,Left,7,2,4,3,,,0.21
2024-03-29 20:35:25,1.16.3,PRexp,5,3.98,,2,LeftDuringDispense,Left,8,2,4,4,,,0.1
2024-03-29 20:35:28,1.16.3,PRexp,5,3.98,2.0,2,Pellet,Left,8,2,5,4,0.88,549.0,
2024-03-29 20:35:59,1.16.3,PRexp,5,3.98,,3,Left,Left,9,2,5,4,,,0.12
2024-03-29 20:36:00,1.16.3,PRexp,5,3.98,,3,Left,Left,10,2,5,4,,,0.07
2024-03-29 20:36:04,1.16.3,PRexp,5,3.98,,3,Left,Left,11,2,5,4,,,0.1
2024-03-29 20:36:05,1.16.3,PRexp,5,3.98,2.0,3,Pellet,Left,11,2,6,5,0.34,37.0,
2024-03-29 20:36:53,1.16.3,PRexp,5,3.98,,4,Left,Left,12,2,6,5,,,0.09
2024-03-29 20:36:55,1.16.3,PRexp,5,3.98,,4,Left,Left,13,2,6,5,,,0.17
2024-03-29 20:36:57,1.16.3,PRexp,5,3.98,,4,Left,Left,14,2,6,5,,,0.12
2024-03-29 20:37:00,1.16.3,PRexp,5,3.98,,4,Left,Left,15,2,6,5,,,0.15
2024-03-29 20:37:01,1.16.3,PRexp,5,3.98,1.0,4,Pellet,Left,15,2,7,6,0.27,56.0,
2024-03-29 20:37:47,1.16.3,PRexp,5,3.98,,5,Left,Left,16,2,7,6,,,0.03
2024-03-29 20:37:49,1.16.3,PRexp,5,3.98,,5,Left,Left,17,2,7,6,,,0.29
2024-03-29 20:37:50,1.16.3,PRexp,5,3.98,,5,Left,Left,18,2,7,6,,,0.33
2024-03-29 20:37:53,1.16.3,PRexp,5,3.98,,5,Left,Left,19,2,7,6,,,0.25
2024-03-29 20:37:55,1.16.3,PRexp,5,3.99,,5,Left,Left,20,2,7,6,,,0.03
2024-03-29 20:37:59,1.16.3,PRexp,5,3.98,2.0,5,Pellet,Left,20,2,8,7,0.47,58.0,
2024-03-29 20:38:42,1.16.3,PRexp,5,3.98,,6,Left,Left,21,2,8,7,,,0.0
2024-03-29 20:38:43,1.16.3,PRexp,5,3.98,,6,Left,Left,22,2,8,7,,,0.33
2024-03-29 20:38:45,1.16.3,PRexp,5,3.98,,6,Left,Left,23,2,8,7,,,0.45
2024-03-29 20:38:47,1.16.3,PRexp,5,3.98,,6,Left,Left,24,2,8,7,,,0.41
2024-03-29 20:38:49,1.16.3,PRexp,5,3.98,,6,Left,Left,25,2,8,7,,,0.1
2024-03-29 20:38:55,1.16.3,PRexp,5,3.98,,6,Left,Left,26,2,8,7,,,0.14
2024-03-29 20:38:56,1.16.3,PRexp,5,3.98,1.0,6,Pellet,Left,26,2,9,8,0.41,57.0,
2024-03-29 21:24:19,1.16.3,PRexp,5,3.98,,1,Left,Left,27,2,9,0,,,0.03
2024-03-29 21:24:22,1.16.3,PRexp,5,3.98,2.0,1,Pellet,Left,27,2,10,1,0.27,2726.0,
2024-03-29 21:25:01,1.16.3,PRexp,5,3.98,,1,Left,Left,28,2,10,1,,,0.04
2024-03-29 21:25:02,1.16.3,PRexp,5,3.98,1.0,1,Pellet,Left,28,2,11,2,0.47,40.0,
2024-03-29 21:25:47,1.16.3,PRexp,5,3.98,,2,Left,Left,29,2,11,2,,,0.06
2024-03-29 21:25:50,1.16.3,PRexp,5,3.98,,2,Left,Left,30,2,11,2,,,0.02
2024-03-29 21:25:51,1.16.3,PRexp,5,3.98,2.0,2,Pellet,Left,30,2,12,3,0.2,49.0,
2024-03-29 21:26:20,1.16.3,PRexp,5,3.98,,2,Left,Left,31,2,12,3,,,0.17
2024-03-29 21:26:21,1.16.3,PRexp,5,3.98,,2,Left,Left,32,2,12,3,,,0.04
2024-03-29 21:26:22,1.16.3,PRexp,5,3.98,1.0,2,Pellet,Left,32,2,13,4,0.2,31.0,
2024-03-29 21:27:41,1.16.3,PRexp,5,3.98,,3,Left,Left,33,2,13,4,,,0.18
2024-03-29 21:27:46,1.16.3,PRexp,5,3.98,,3,Left,Left,34,2,13,4,,,0.16
2024-03-29 21:27:49,1.16.3,PRexp,5,3.98,,3,Left,Left,35,2,13,4,,,0.24
2024-03-29 21:27:51,1.16.3,PRexp,5,3.98,2.0,3,Pellet,Left,35,2,14,5,0.47,89.0,
2024-03-29 21:29:32,1.16.3,PRexp,5,3.98,,4,Left,Left,36,2,14,5,,,0.07
2024-03-29 21:29:34,1.16.3,PRexp,5,3.98,,4,Left,Left,37,2,14,5,,,0.31
2024-03-29 21:29:36,1.16.3,PRexp,5,3.98,,4,Left,Left,38,2,14,5,,,0.42
2024-03-29 21:29:37,1.16.3,PRexp,5,3.98,,4,Left,Left,39,2,14,5,,,0.45
2024-03-29 21:29:39,1.16.3,PRexp,5,3.98,1.0,4,Pellet,Left,39,2,15,6,0.4,107.0,
2024-03-29 21:30:12,1.16.3,PRexp,5,3.97,,5,Left,Left,40,2,15,6,,,0.08
2024-03-29 21:30:14,1.16.3,PRexp,5,3.98,,5,Left,Left,41,2,15,6,,,0.08
2024-03-29 21:30:16,1.16.3,PRexp,5,3.98,,5,Left,Left,42,2,15,6,,,0.04
2024-03-29 21:30:16,1.16.3,PRexp,5,3.98,,5,Left,Left,43,2,15,6,,,0.24
2024-03-29 21:30:19,1.16.3,PRexp,5,3.98,,5,Left,Left,44,2,15,6,,,0.24
2024-03-29 21:30:20,1.16.3,PRexp,5,3.98,1.0,5,Pellet,Left,44,2,16,7,0.4,42.0,
2024-03-29 21:30:52,1.16.3,PRexp,5,3.98,,6,Left,Left,45,2,16,7,,,0.03
2024-03-29 21:30:56,1.16.3,PRexp,5,3.98,,6,Left,Left,46,2,16,7,,,0.04
2024-03-29 21:30:58,1.16.3,PRexp,5,3.98,,6,Left,Left,47,2,16,7,,,0.02
2024-03-29 21:31:02,1.16.3,PRexp,5,3.98,,6,Left,Left,48,2,16,7,,,0.4
2024-03-29 21:31:04,1.16.3,PRexp,5,3.98,,6,Left,Left,49,2,16,7,,,0.45
2024-03-29 21:31:06,1.16.3,PRexp,5,3.98,,6,Left,Left,50,2,16,7,,,0.41
2024-03-29 21:31:07,1.16.3,PRexp,5,3.98,1.0,6,Pellet,Left,50,2,17,8,0.2,47.0,
2024-03-29 21:31:40,1.16.3,PRexp,5,3.97,,7,Left,Left,51,2,17,8,,,0.09
2024-03-29 21:31:42,1.16.3,PRexp,5,3.98,,7,Left,Left,52,2,17,8,,,0.1
2024-03-29 21:31:44,1.16.3,PRexp,5,3.98,,7,Left,Left,53,2,17,8,,,0.51
2024-03-29 21:31:45,1.16.3,PRexp,5,3.98,,7,Left,Left,54,2,17,8,,,0.17
2024-03-29 21:31:47,1.16.3,PRexp,5,3.98,,7,Left,Left,55,2,17,8,,,0.38
2024-03-29 21:31:48,1.16.3,PRexp,5,3.98,,7,Left,Left,56,2,17,8,,,0.04
2024-03-29 21:31:49,1.16.3,PRexp,5,3.98,,7,Left,Left,57,2,17,8,,,0.0
2024-03-29 21:31:50,1.16.3,PRexp,5,3.98,1.0,7,Pellet,Left,57,2,18,9,0.47,43.0,
2024-03-29 21:32:31,1.16.3,PRexp,5,3.99,,9,Left,Left,58,2,18,9,,,0.06
2024-03-29 21:36:43,1.16.3,PRexp,5,3.98,,9,Right,Left,58,3,18,9,,,0.02
2024-03-29 22:00:51,1.16.3,PRexp,5,3.98,,9,Left,Left,59,3,18,9,,,0.04
2024-03-29 22:00:54,1.16.3,PRexp,5,3.98,,9,Left,Left,60,3,18,9,,,0.03
2024-03-29 22:00:56,1.16.3,PRexp,5,3.98,,9,Left,Left,61,3,18,9,,,0.04
2024-03-29 22:00:58,1.16.3,PRexp,5,3.96,,9,Left,Left,62,3,18,9,,,0.04
2024-03-29 22:01:02,1.16.3,PRexp,5,3.98,,9,Left,Left,63,3,18,9,,,0.25
2024-03-29 22:01:06,1.16.3,PRexp,5,3.98,,9,Left,Left,64,3,18,9,,,0.09
2024-03-29 22:01:10,1.16.3,PRexp,5,3.98,,9,Left,Left,65,3,18,9,,,0.26
2024-03-29 22:01:10,1.16.3,PRexp,5,3.98,,9,Left,Left,66,3,18,9,,,0.06
2024-03-29 22:01:11,1.16.3,PRexp,5,3.98,1.0,9,Pellet,Left,66,3,19,10,0.41,1761.0,
2024-03-29 22:15:07,1.16.3,PRexp,5,3.98,,10,Left,Left,67,3,19,10,,,0.06
2024-03-29 22:15:09,1.16.3,PRexp,5,3.98,,10,Left,Left,68,3,19,10,,,0.07
2024-03-29 22:15:10,1.16.3,PRexp,5,3.98,,10,Left,Left,69,3,19,10,,,0.44
2024-03-29 22:15:12,1.16.3,PRexp,5,3.98,,10,Left,Left,70,3,19,10,,,0.07
2024-03-29 22:15:16,1.16.3,PRexp,5,3.98,,10,Left,Left,71,3,19,10,,,0.06
2024-03-29 22:15:18,1.16.3,PRexp,5,3.98,,10,Left,Left,72,3,19,10,,,0.03
2024-03-29 22:15:18,1.16.3,PRexp,5,3.98,,10,Left,Left,73,3,19,10,,,0.0
2024-03-29 22:15:20,1.16.3,PRexp,5,3.98,,10,Left,Left,74,3,19,10,,,0.09
2024-03-29 22:15:22,1.16.3,PRexp,5,3.98,,10,Left,Left,75,3,19,10,,,0.05
2024-03-29 22:15:23,1.16.3,PRexp,5,3.98,,10,Left,Left,76,3,19,10,,,0.0
2024-03-29 22:15:24,1.16.3,PRexp,5,3.98,1.0,10,Pellet,Left,76,3,20,11,0.2,852.0,
2024-03-29 22:21:45,1.16.3,PRexp,5,3.98,,12,Left,Left,77,3,20,11,,,0.05
2024-03-29 22:21:47,1.16.3,PRexp,5,3.98,,12,Left,Left,78,3,20,11,,,0.04
2024-03-29 22:21:49,1.16.3,PRexp,5,3.98,,12,Left,Left,79,3,20,11,,,0.03
2024-03-29 22:21:53,1.16.3,PRexp,5,3.98,,12,Left,Left,80,3,20,11,,,0.04
2024-03-29 22:21:57,1.16.3,PRexp,5,3.98,,12,Left,Left,81,3,20,11,,,0.06
2024-03-29 22:22:00,1.16.3,PRexp,5,3.98,,12,Left,Left,82,3,20,11,,,0.03
2024-03-29 22:22:02,1.16.3,PRexp,5,3.98,,12,Left,Left,83,3,20,11,,,0.57
2024-03-29 22:22:03,1.16.3,PRexp,5,3.98,,12,Left,Left,84,3,20,11,,,0.17
2024-03-29 22:22:06,1.16.3,PRexp,5,3.98,,12,Left,Left,85,3,20,11,,,0.43
2024-03-29 22:22:09,1.16.3,PRexp,5,3.98,,12,Left,Left,86,3,20,11,,,0.02
2024-03-29 22:22:12,1.16.3,PRexp,5,3.98,,12,Left,Left,87,3,20,11,,,0.23
2024-03-29 22:22:14,1.16.3,PRexp,5,3.98,,12,Left,Left,88,3,20,11,,,0.33
2024-03-29 22:22:15,1.16.3,PRexp,5,3.98,2.0,12,Pellet,Left,88,3,21,12,0.13,412.0,
2024-03-29 22:23:02,1.16.3,PRexp,5,3.98,,13,Left,Left,89,3,21,12,,,0.03
2024-03-29 22:23:04,1.16.3,PRexp,5,3.98,,13,Left,Left,90,3,21,12,,,0.35
2024-03-29 22:23:08,1.16.3,PRexp,5,3.98,,13,Left,Left,91,3,21,12,,,0.33
2024-03-29 22:23:10,1.16.3,PRexp,5,3.98,,13,Left,Left,92,3,21,12,,,0.08
2024-03-29 22:23:11,1.16.3,PRexp,5,3.98,,13,Left,Left,93,3,21,12,,,0.15
2024-03-29 22:23:13,1.16.3,PRexp,5,3.98,,13,Left,Left,94,3,21,12,,,0.42
2024-03-29 22:23:16,1.16.3,PRexp,5,3.98,,13,Left,Left,95,3,21,12,,,0.33
2024-03-29 22:23:18,1.16.3,PRexp,5,3.98,,13,Left,Left,96,3,21,12,,,0.29
2024-03-29 22:23:21,1.16.3,PRexp,5,3.97,,13,Left,Left,97,3,21,12,,,0.61
2024-03-29 22:23:24,1.16.3,PRexp,5,3.98,,13,Left,Left,98,3,21,12,,,0.45
2024-03-29 22:23:25,1.16.3,PRexp,5,3.98,,13,Left,Left,99,3,21,12,,,0.14
2024-03-29 22:23:27,1.16.3,PRexp,5,3.98,,13,Left,Left,100,3,21,12,,,0.26
2024-03-29 22:23:29,1.16.3,PRexp,5,3.98,,13,Left,Left,101,3,21,12,,,0.52
2024-03-29 22:23:30,1.16.3,PRexp,5,3.98,1.0,13,Pellet,Left,101,3,22,13,0.41,75.0,
2024-03-29 22:24:13,1.16.3,PRexp,5,3.98,,15,Left,Left,102,3,22,13,,,0.05
2024-03-29 22:24:14,1.16.3,PRexp,5,3.98,,15,Left,Left,103,3,22,13,,,0.09
2024-03-29 22:24:15,1.16.3,PRexp,5,3.98,,15,Left,Left,104,3,22,13,,,0.19
2024-03-29 22:24:17,1.16.3,PRexp,5,3.98,,15,Left,Left,105,3,22,13,,,0.5
2024-03-29 22:24:20,1.16.3,PRexp,5,3.98,,15,Left,Left,106,3,22,13,,,0.57
2024-03-29 22:24:22,1.16.3,PRexp,5,3.98,,15,Left,Left,107,3,22,13,,,0.57
2024-03-29 22:24:24,1.16.3,PRexp,5,3.98,,15,Left,Left,108,3,22,13,,,0.41
2024-03-29 22:24:25,1.16.3,PRexp,5,3.98,,15,Left,Left,109,3,22,13,,,0.2
2024-03-29 22:24:26,1.16.3,PRexp,5,3.98,,15,Left,Left,110,3,22,13,,,0.0
2024-03-29 22:24:28,1.16.3,PRexp,5,3.98,,15,Left,Left,111,3,22,13,,,0.04
2024-03-29 22:24:31,1.16.3,PRexp,5,3.98,,15,Left,Left,112,3,22,13,,,0.37
2024-03-29 22:24:32,1.16.3,PRexp,5,3.98,,15,Left,Left,113,3,22,13,,,0.19
2024-03-29 22:24:34,1.16.3,PRexp,5,3.98,,15,Left,Left,114,3,22,13,,,0.19
2024-03-29 22:24:37,1.16.3,PRexp,5,3.98,,15,Left,Left,115,3,22,13,,,0.21
2024-03-29 22:24:41,1.16.3,PRexp,5,3.98,,15,Left,Left,116,3,22,13,,,0.06
