MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-04-24 18:23:46,1.16.3,PRexp,12,4.09,,1,Left,Left,10,0,5,0,,,0.04
2024-04-24 18:23:48,1.16.3,PRexp,12,4.09,1.0,1,Pellet,Left,10,0,6,1,0.63,3067.0,
2024-04-24 18:24:04,1.16.3,PRexp,12,4.09,,1,Left,Left,11,0,6,1,,,0.09
2024-04-24 18:24:05,1.16.3,PRexp,12,4.09,1.0,1,Pellet,Left,11,0,7,2,0.75,17.0,
2024-04-24 18:24:28,1.16.3,PRexp,12,4.09,,2,Left,Left,12,0,7,2,,,0.31
2024-04-24 18:24:29,1.16.3,PRexp,12,4.09,,2,Left,Left,13,0,7,2,,,0.09
2024-04-24 18:24:30,1.16.3,PRexp,12,4.09,1.0,2,Pellet,Left,13,0,8,3,0.37,25.0,
2024-04-24 18:24:51,1.16.3,PRexp,12,4.09,,2,Left,Left,14,0,8,3,,,0.45
2024-04-24 18:24:59,1.16.3,PRexp,12,4.09,,2,Left,Left,15,0,8,3,,,0.56
2024-04-24 18:25:00,1.16.3,PRexp,12,4.09,1.0,2,Pellet,Left,15,0,9,4,0.31,30.0,
2024-04-24 18:25:17,1.16.3,PRexp,12,4.09,,3,Left,Left,16,0,9,4,,,0.03
2024-04-24 18:25:23,1.16.3,PRexp,12,4.09,,3,Left,Left,17,0,9,4,,,0.16
2024-04-24 18:25:24,1.16.3,PRexp,12,4.09,,3,Left,Left,18,0,9,4,,,0.0
2024-04-24 18:25:27,1.16.3,PRexp,12,4.09,2.0,3,Pellet,Left,18,0,10,5,0.5,27.0,
2024-04-24 18:25:50,1.16.3,PRexp,12,4.09,,4,Left,Left,19,0,10,5,,,0.18
2024-04-24 18:25:51,1.16.3,PRexp,12,4.09,,4,Left,Left,20,0,10,5,,,0.0
2024-04-24 18:25:52,1.16.3,PRexp,12,4.09,,4,Left,Left,21,0,10,5,,,0.0
2024-04-24 18:25:53,1.16.3,PRexp,12,4.09,,4,Left,Left,22,0,10,5,,,0.24
2024-04-24 18:25:54,1.16.3,PRexp,12,4.09,1.0,4,Pellet,Left,22,0,11,6,0.44,27.0,
2024-04-24 18:26:15,1.16.3,PRexp,12,4.09,,5,Left,Left,23,0,11,6,,,0.02
2024-04-24 18:26:16,1.16.3,PRexp,12,4.09,,5,Left,Left,24,0,11,6,,,0.1
2024-04-24 18:26:36,1.16.3,PRexp,12,4.09,,5,Left,Left,25,0,11,6,,,0.12
2024-04-24 18:26:37,1.16.3,PRexp,12,4.09,,5,Left,Left,26,0,11,6,,,0.23
2024-04-24 18:27:01,1.16.3,PRexp,12,4.09,,5,Left,Left,27,0,11,6,,,0.05
2024-04-24 18:27:02,1.16.3,PRexp,12,4.09,1.0,5,Pellet,Left,27,0,12,7,0.44,68.0,
2024-04-24 18:27:21,1.16.3,PRexp,12,4.08,,6,Left,Left,28,0,12,7,,,0.7
2024-04-24 18:27:22,1.16.3,PRexp,12,4.09,,6,Left,Left,29,0,12,7,,,0.5
2024-04-24 18:27:24,1.16.3,PRexp,12,4.09,,6,Left,Left,30,0,12,7,,,0.21
2024-04-24 18:27:25,1.16.3,PRexp,12,4.09,,6,Left,Left,31,0,12,7,,,0.12
2024-04-24 18:27:26,1.16.3,PRexp,12,4.09,,6,Left,Left,32,0,12,7,,,0.14
2024-04-24 18:27:27,1.16.3,PRexp,12,4.09,,6,Left,Left,33,0,12,7,,,0.17
2024-04-24 18:27:28,1.16.3,PRexp,12,4.09,,6,LeftDuringDispense,Left,34,0,12,8,,,0.1
2024-04-24 18:27:31,1.16.3,PRexp,12,4.09,2.0,6,Pellet,Left,34,0,13,8,0.56,29.0,
2024-04-24 18:27:49,1.16.3,PRexp,12,4.08,,7,Left,Left,35,0,13,8,,,0.25
2024-04-24 18:27:50,1.16.3,PRexp,12,4.09,,7,Left,Left,36,0,13,8,,,0.21
2024-04-24 18:27:51,1.16.3,PRexp,12,4.09,,7,Left,Left,37,0,13,8,,,0.16
2024-04-24 18:27:53,1.16.3,PRexp,12,4.09,,7,Left,Left,38,0,13,8,,,0.57
2024-04-24 18:27:54,1.16.3,PRexp,12,4.09,,7,Left,Left,39,0,13,8,,,0.21
2024-04-24 18:28:02,1.16.3,PRexp,12,4.09,,7,Left,Left,40,0,13,8,,,0.2
2024-04-24 19:00:54,1.16.3,PRexp,12,4.09,,1,Left,Left,41,0,13,0,,,0.04
