MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-04-25 18:01:55,1.17.0,PRexp,16,3.94,,2,Left,Left,4,1,2,2,,,0.18
2024-04-25 18:01:58,1.17.0,PRexp,16,3.94,1.0,2,Pellet,Left,4,1,3,3,0.42,635.0,
2024-04-25 18:04:35,1.17.0,PRexp,16,3.94,,2,Right,Left,4,2,3,3,,,0.67
2024-04-25 18:04:36,1.17.0,PRexp,16,3.94,,2,Right,Left,4,3,3,3,,,0.0
2024-04-25 18:40:21,1.17.0,PRexp,16,3.94,,1,Left,Left,5,3,3,0,,,0.04
2024-04-25 18:40:23,1.17.0,PRexp,16,3.94,1.0,1,Pellet,Left,5,3,4,1,0.18,2305.0,
2024-04-25 18:41:23,1.17.0,PRexp,16,3.94,,1,Left,Left,6,3,4,1,,,0.06
2024-04-25 18:41:25,1.17.0,PRexp,16,3.94,1.0,1,Pellet,Left,6,3,5,2,0.24,62.0,
2024-04-25 18:42:08,1.17.0,PRexp,16,3.94,,2,Left,Left,7,3,5,2,,,0.04
2024-04-25 18:42:14,1.17.0,PRexp,16,3.94,,2,Left,Left,8,3,5,2,,,0.06
2024-04-25 18:42:16,1.17.0,PRexp,16,3.94,1.0,2,Pellet,Left,8,3,6,3,0.18,51.0,
2024-04-25 18:43:13,1.17.0,PRexp,16,3.94,,2,Left,Left,9,3,6,3,,,0.24
2024-04-25 18:43:14,1.17.0,PRexp,16,3.94,,2,Left,Left,10,3,6,3,,,0.04
2024-04-25 18:43:42,1.17.0,PRexp,16,3.94,2.0,2,Pellet,Left,10,3,7,4,23.09,86.0,
2024-04-25 18:44:40,1.17.0,PRexp,16,3.94,,3,Left,Left,11,3,7,4,,,0.19
2024-04-25 18:44:45,1.17.0,PRexp,16,3.94,,3,Right,Left,11,4,7,4,,,0.05
2024-04-25 18:44:58,1.17.0,PRexp,16,3.94,,3,Left,Left,12,4,7,4,,,0.0
2024-04-25 18:45:14,1.17.0,PRexp,16,3.94,,3,Left,Left,13,4,7,4,,,0.06
2024-04-25 18:45:16,1.17.0,PRexp,16,3.94,2.0,3,Pellet,Left,13,4,8,5,0.36,94.0,
2024-04-25 19:01:09,1.17.0,PRexp,16,3.94,,4,Right,Left,13,5,8,5,,,0.18
2024-04-25 19:02:19,1.17.0,PRexp,16,3.94,,4,Left,Left,14,5,8,5,,,0.17
2024-04-25 19:03:01,1.17.0,PRexp,16,3.94,,4,Left,Left,15,5,8,5,,,0.0
2024-04-25 19:03:08,1.17.0,PRexp,16,3.94,,4,Left,Left,16,5,8,5,,,0.0
2024-04-25 19:03:22,1.17.0,PRexp,16,3.94,,4,Left,Left,17,5,8,5,,,0.3
2024-04-25 19:03:25,1.17.0,PRexp,16,3.94,1.0,4,Pellet,Left,17,5,9,6,0.36,1089.0,
2024-04-25 19:17:45,1.17.0,PRexp,16,3.94,,5,Left,Left,18,5,9,6,,,0.11
2024-04-25 19:17:50,1.17.0,PRexp,16,3.94,,5,Left,Left,19,5,9,6,,,0.87
2024-04-25 19:17:52,1.17.0,PRexp,16,3.94,,5,Left,Left,20,5,9,6,,,0.08
2024-04-25 19:17:53,1.17.0,PRexp,16,3.94,,5,Left,Left,21,5,9,6,,,0.3
2024-04-25 19:17:56,1.17.0,PRexp,16,3.94,,5,Left,Left,22,5,9,6,,,0.08
2024-04-25 19:18:23,1.17.0,PRexp,16,3.94,2.0,5,Pellet,Left,22,5,10,7,22.53,898.0,
2024-04-25 19:19:12,1.17.0,PRexp,16,3.94,,6,Left,Left,23,5,10,7,,,0.2
2024-04-25 19:19:13,1.17.0,PRexp,16,3.94,,6,Left,Left,24,5,10,7,,,0.03
2024-04-25 19:19:17,1.17.0,PRexp,16,3.94,,6,Left,Left,25,5,10,7,,,0.59
2024-04-25 19:19:19,1.17.0,PRexp,16,3.94,,6,Left,Left,26,5,10,7,,,0.18
2024-04-25 19:19:21,1.17.0,PRexp,16,3.94,,6,Left,Left,27,5,10,7,,,0.26
2024-04-25 19:19:24,1.17.0,PRexp,16,3.94,,6,Left,Left,28,5,10,7,,,0.22
2024-04-25 19:19:27,1.17.0,PRexp,16,3.94,1.0,6,Pellet,Left,28,5,11,8,0.12,64.0,
2024-04-25 19:20:10,1.17.0,PRexp,16,3.94,,7,Left,Left,29,5,11,8,,,0.1
2024-04-25 19:20:13,1.17.0,PRexp,16,3.94,,7,Left,Left,30,5,11,8,,,0.24
2024-04-25 19:20:17,1.17.0,PRexp,16,3.94,,7,Left,Left,31,5,11,8,,,0.12
2024-04-25 19:20:19,1.17.0,PRexp,16,3.94,,7,Left,Left,32,5,11,8,,,0.14
2024-04-25 19:20:20,1.17.0,PRexp,16,3.95,,7,Left,Left,33,5,11,8,,,0.33
2024-04-25 19:20:24,1.17.0,PRexp,16,3.95,,7,Left,Left,34,5,11,8,,,1.05
2024-04-25 19:20:28,1.17.0,PRexp,16,3.94,,7,Left,Left,35,5,11,8,,,0.15
2024-04-25 19:20:30,1.17.0,PRexp,16,3.94,1.0,7,Pellet,Left,35,5,12,9,0.30,63.0,
2024-04-25 19:38:04,1.17.0,PRexp,16,3.94,,9,Left,Left,36,5,12,9,,,0.34
2024-04-25 19:38:13,1.17.0,PRexp,16,3.94,,9,Left,Left,37,5,12,9,,,0.21
2024-04-25 19:38:14,1.17.0,PRexp,16,3.94,,9,Left,Left,38,5,12,9,,,0.17
2024-04-25 19:38:19,1.17.0,PRexp,16,3.94,,9,Left,Left,39,5,12,9,,,0.12
