MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-04-25 18:18:27,1.16.3,PRexp,10,3.81,,1,Left,Left,2,0,1,0,,,0.1
2024-04-25 18:18:28,1.16.3,PRexp,10,3.81,1.0,1,Pellet,Left,2,0,2,1,0.68,2073.0,
2024-04-25 18:18:52,1.16.3,PRexp,10,3.81,,1,Left,Left,3,0,2,1,,,0.17
2024-04-25 18:18:53,1.16.3,PRexp,10,3.81,1.0,1,Pellet,Left,3,0,3,2,0.40,25.0,
2024-04-25 18:19:27,1.16.3,PRexp,10,3.81,,2,Left,Left,4,0,3,2,,,0.04
2024-04-25 18:19:28,1.16.3,PRexp,10,3.81,,2,Left,Left,5,0,3,2,,,0.18
2024-04-25 18:19:29,1.16.3,PRexp,10,3.81,1.0,2,Pellet,Left,5,0,4,3,0.34,36.0,
2024-04-25 18:20:00,1.16.3,PRexp,10,3.81,,2,Left,Left,6,0,4,3,,,0.02
2024-04-25 18:20:03,1.16.3,PRexp,10,3.81,,2,Left,Left,7,0,4,3,,,0.11
2024-04-25 18:20:04,1.16.3,PRexp,10,3.81,1.0,2,Pellet,Left,7,0,5,4,0.34,35.0,
2024-04-25 18:20:31,1.16.3,PRexp,10,3.81,,3,Left,Left,8,0,5,4,,,0.03
2024-04-25 18:20:32,1.16.3,PRexp,10,3.8,,3,Left,Left,9,0,5,4,,,0.0
2024-04-25 18:20:34,1.16.3,PRexp,10,3.81,,3,Left,Left,10,0,5,4,,,0.67
2024-04-25 18:20:35,1.16.3,PRexp,10,3.81,1.0,3,Pellet,Left,10,0,6,5,0.40,31.0,
2024-04-25 18:21:08,1.16.3,PRexp,10,3.82,,4,Left,Left,11,0,6,5,,,0.1
2024-04-25 18:21:10,1.16.3,PRexp,10,3.81,,4,Left,Left,12,0,6,5,,,0.08
2024-04-25 18:21:13,1.16.3,PRexp,10,3.8,,4,Left,Left,13,0,6,5,,,0.14
2024-04-25 18:21:15,1.16.3,PRexp,10,3.81,,4,Left,Left,14,0,6,5,,,0.32
2024-04-25 18:21:16,1.16.3,PRexp,10,3.8,1.0,4,Pellet,Left,14,0,7,6,0.47,41.0,
2024-04-25 18:22:19,1.16.3,PRexp,10,3.81,,5,Left,Left,15,0,7,6,,,0.04
2024-04-25 18:34:29,1.16.3,PRexp,10,3.81,,5,Left,Left,16,0,7,6,,,0.06
2024-04-25 18:34:30,1.16.3,PRexp,10,3.81,,5,Left,Left,17,0,7,6,,,0.08
2024-04-25 18:34:33,1.16.3,PRexp,10,3.81,,5,Left,Left,18,0,7,6,,,0.54
2024-04-25 18:34:35,1.16.3,PRexp,10,3.81,,5,Left,Left,19,0,7,6,,,0.75
2024-04-25 18:34:36,1.16.3,PRexp,10,3.81,1.0,5,Pellet,Left,19,0,8,7,0.40,800.0,
2024-04-25 18:35:07,1.16.3,PRexp,10,3.81,,6,Left,Left,20,0,8,7,,,0.09
2024-04-25 18:35:08,1.16.3,PRexp,10,3.81,,6,Left,Left,21,0,8,7,,,0.18
2024-04-25 18:35:10,1.16.3,PRexp,10,3.81,,6,Left,Left,22,0,8,7,,,0.04
2024-04-25 18:35:11,1.16.3,PRexp,10,3.81,,6,Left,Left,23,0,8,7,,,0.39
2024-04-25 18:35:12,1.16.3,PRexp,10,3.81,,6,Left,Left,24,0,8,7,,,0.33
2024-04-25 18:35:16,1.16.3,PRexp,10,3.81,,6,Left,Left,25,0,8,7,,,0.08
2024-04-25 18:35:17,1.16.3,PRexp,10,3.81,1.0,6,Pellet,Left,25,0,9,8,0.34,41.0,
2024-04-25 18:35:53,1.16.3,PRexp,10,3.81,,7,Right,Left,25,1,9,8,,,0.1
2024-04-25 18:50:41,1.16.3,PRexp,10,3.81,,7,Left,Left,26,1,9,8,,,0.26
2024-04-25 18:50:43,1.16.3,PRexp,10,3.8,,7,Left,Left,27,1,9,8,,,0.04
2024-04-25 18:50:44,1.16.3,PRexp,10,3.8,,7,Left,Left,28,1,9,8,,,0.11
2024-04-25 18:50:45,1.16.3,PRexp,10,3.81,,7,Left,Left,29,1,9,8,,,0.07
2024-04-25 18:50:46,1.16.3,PRexp,10,3.81,,7,Left,Left,30,1,9,8,,,0.25
2024-04-25 18:50:48,1.16.3,PRexp,10,3.82,,7,Left,Left,31,1,9,8,,,0.14
2024-04-25 18:50:49,1.16.3,PRexp,10,3.8,,7,Left,Left,32,1,9,8,,,0.22
2024-04-25 18:50:51,1.16.3,PRexp,10,3.81,1.0,7,Pellet,Left,32,1,10,9,0.68,934.0,
2024-04-25 18:51:26,1.16.3,PRexp,10,3.81,,9,Left,Left,33,1,10,9,,,0.11
2024-04-25 18:51:48,1.16.3,PRexp,10,3.8,,9,Left,Left,34,1,10,9,,,0.08
2024-04-25 18:51:51,1.16.3,PRexp,10,3.82,,9,Left,Left,35,1,10,9,,,0.64
2024-04-25 18:51:53,1.16.3,PRexp,10,3.81,,9,Left,Left,36,1,10,9,,,0.77
2024-04-25 18:51:56,1.16.3,PRexp,10,3.81,,9,Left,Left,37,1,10,9,,,0.09
2024-04-25 18:51:58,1.16.3,PRexp,10,3.8,,9,Left,Left,38,1,10,9,,,0.35
2024-04-25 18:51:59,1.16.3,PRexp,10,3.81,,9,Left,Left,39,1,10,9,,,0.38
2024-04-25 18:52:02,1.16.3,PRexp,10,3.81,,9,Left,Left,40,1,10,9,,,0.29
2024-04-25 18:52:04,1.16.3,PRexp,10,3.81,,9,Left,Left,41,1,10,9,,,0.35
2024-04-25 18:52:06,1.16.3,PRexp,10,3.81,1.0,9,Pellet,Left,41,1,11,10,0.95,74.0,
2024-04-25 19:10:54,1.16.3,PRexp,10,3.81,,10,Left,Left,42,1,11,10,,,0.08
2024-04-25 19:10:55,1.16.3,PRexp,10,3.81,,10,Left,Left,43,1,11,10,,,0.1
2024-04-25 19:10:59,1.16.3,PRexp,10,3.81,,10,Left,Left,44,1,11,10,,,0.63
2024-04-25 19:11:01,1.16.3,PRexp,10,3.81,,10,Left,Left,45,1,11,10,,,0.55
2024-04-25 19:11:02,1.16.3,PRexp,10,3.81,,10,Left,Left,46,1,11,10,,,0.04
2024-04-25 19:11:03,1.16.3,PRexp,10,3.81,,10,Left,Left,47,1,11,10,,,0.0
2024-04-25 19:11:04,1.16.3,PRexp,10,3.8,,10,Left,Left,48,1,11,10,,,0.48
2024-04-25 19:11:06,1.16.3,PRexp,10,3.81,,10,Left,Left,49,1,11,10,,,0.38
2024-04-25 19:11:07,1.16.3,PRexp,10,3.81,,10,Left,Left,50,1,11,10,,,0.06
2024-04-25 19:11:10,1.16.3,PRexp,10,3.82,,10,Left,Left,51,1,11,10,,,0.47
2024-04-25 19:11:11,1.16.3,PRexp,10,3.8,1.0,10,Pellet,Left,51,1,12,11,0.40,1146.0,
2024-04-25 19:19:05,1.16.3,PRexp,10,3.81,,12,Left,Left,52,1,12,11,,,0.17
2024-04-25 19:19:10,1.16.3,PRexp,10,3.81,,12,Left,Left,53,1,12,11,,,0.23
2024-04-25 19:19:16,1.16.3,PRexp,10,3.8,,12,Left,Left,54,1,12,11,,,0.27
2024-04-25 19:19:17,1.16.3,PRexp,10,3.81,,12,Left,Left,55,1,12,11,,,0.14
2024-04-25 19:19:18,1.16.3,PRexp,10,3.8,,12,Left,Left,56,1,12,11,,,0.0
2024-04-25 19:19:22,1.16.3,PRexp,10,3.81,,12,Left,Left,57,1,12,11,,,0.24
2024-04-25 19:19:24,1.16.3,PRexp,10,3.81,,12,Left,Left,58,1,12,11,,,0.09
2024-04-25 19:19:25,1.16.3,PRexp,10,3.81,,12,Left,Left,59,1,12,11,,,0.23
2024-04-25 19:19:27,1.16.3,PRexp,10,3.81,,12,Left,Left,60,1,12,11,,,0.26
2024-04-25 19:19:32,1.16.3,PRexp,10,3.81,,12,Left,Left,61,1,12,11,,,0.34
2024-04-25 19:19:34,1.16.3,PRexp,10,3.81,,12,Left,Left,62,1,12,11,,,0.78
2024-04-25 19:19:35,1.16.3,PRexp,10,3.8,,12,Left,Left,63,1,12,11,,,0.4
2024-04-25 19:19:35,1.16.3,PRexp,10,3.8,,12,LeftDuringDispense,Left,64,1,12,12,,,0.03
2024-04-25 19:19:39,1.16.3,PRexp,10,3.8,2.0,12,Pellet,Left,64,1,13,12,0.75,508.0,
2024-04-25 19:21:27,1.16.3,PRexp,10,3.8,,13,Left,Left,65,1,13,12,,,0.04
2024-04-25 19:22:54,1.16.3,PRexp,10,3.81,,13,Right,Left,65,2,13,12,,,0.53
2024-04-25 19:22:56,1.16.3,PRexp,10,3.81,,13,Left,Left,66,2,13,12,,,0.2
2024-04-25 19:22:59,1.16.3,PRexp,10,3.8,,13,Left,Left,67,2,13,12,,,0.44
2024-04-25 19:23:02,1.16.3,PRexp,10,3.81,,13,Left,Left,68,2,13,12,,,0.36
2024-04-25 19:23:09,1.16.3,PRexp,10,3.8,,13,Left,Left,69,2,13,12,,,0.37
2024-04-25 19:23:10,1.16.3,PRexp,10,3.81,,13,Left,Left,70,2,13,12,,,0.37
2024-04-25 19:23:12,1.16.3,PRexp,10,3.81,,13,Left,Left,71,2,13,12,,,0.15
2024-04-25 19:23:15,1.16.3,PRexp,10,3.81,,13,Left,Left,72,2,13,12,,,0.32
2024-04-25 19:23:17,1.16.3,PRexp,10,3.8,,13,Left,Left,73,2,13,12,,,0.53
2024-04-25 19:23:19,1.16.3,PRexp,10,3.8,,13,Left,Left,74,2,13,12,,,0.49
2024-04-25 19:23:21,1.16.3,PRexp,10,3.8,,13,Left,Left,75,2,13,12,,,0.02
2024-04-25 19:23:23,1.16.3,PRexp,10,3.81,,13,Left,Left,76,2,13,12,,,0.39
2024-04-25 19:23:25,1.16.3,PRexp,10,3.8,,13,Left,Left,77,2,13,12,,,0.37
2024-04-25 19:23:28,1.16.3,PRexp,10,3.81,2.0,13,Pellet,Left,77,2,14,13,0.27,229.0,
2024-04-25 19:40:18,1.16.3,PRexp,10,3.81,,15,Left,Left,78,2,14,13,,,0.82
2024-04-25 19:40:19,1.16.3,PRexp,10,3.81,,15,Left,Left,79,2,14,13,,,0.28
2024-04-25 19:40:22,1.16.3,PRexp,10,3.8,,15,Left,Left,80,2,14,13,,,0.08
2024-04-25 19:40:23,1.16.3,PRexp,10,3.81,,15,Left,Left,81,2,14,13,,,0.0
2024-04-25 19:40:25,1.16.3,PRexp,10,3.81,,15,Left,Left,82,2,14,13,,,0.49
2024-04-25 19:40:26,1.16.3,PRexp,10,3.81,,15,Left,Left,83,2,14,13,,,0.75
2024-04-25 19:40:28,1.16.3,PRexp,10,3.78,,15,Left,Left,84,2,14,13,,,0.62
2024-04-25 19:40:32,1.16.3,PRexp,10,3.81,,15,Left,Left,85,2,14,13,,,0.89
2024-04-25 19:40:34,1.16.3,PRexp,10,3.8,,15,Left,Left,86,2,14,13,,,0.16
2024-04-25 19:40:37,1.16.3,PRexp,10,3.81,,15,Left,Left,87,2,14,13,,,1.22
2024-04-25 19:40:38,1.16.3,PRexp,10,3.81,,15,Left,Left,88,2,14,13,,,0.07
2024-04-25 19:40:39,1.16.3,PRexp,10,3.81,,15,Left,Left,89,2,14,13,,,0.43
2024-04-25 19:40:41,1.16.3,PRexp,10,3.81,,15,Left,Left,90,2,14,13,,,0.45
2024-04-25 19:40:42,1.16.3,PRexp,10,3.8,,15,Left,Left,91,2,14,13,,,0.06
2024-04-25 19:40:45,1.16.3,PRexp,10,3.8,,15,Left,Left,92,2,14,13,,,0.54
2024-04-25 19:40:47,1.16.3,PRexp,10,3.8,2.0,15,Pellet,Left,92,2,15,14,0.61,1039.0,
2024-04-25 19:46:43,1.16.3,PRexp,10,3.8,,17,Left,Left,93,2,15,14,,,0.14
2024-04-25 19:49:27,1.16.3,PRexp,10,3.81,,17,Left,Left,94,2,15,14,,,0.19
2024-04-25 19:49:28,1.16.3,PRexp,10,3.8,,17,Left,Left,95,2,15,14,,,0.44
2024-04-25 19:49:32,1.16.3,PRexp,10,3.81,,17,Left,Left,96,2,15,14,,,0.3
2024-04-25 19:49:34,1.16.3,PRexp,10,3.81,,17,Left,Left,97,2,15,14,,,0.08
2024-04-25 19:49:45,1.16.3,PRexp,10,3.81,,17,Left,Left,98,2,15,14,,,0.52
2024-04-25 19:49:47,1.16.3,PRexp,10,3.8,,17,Left,Left,99,2,15,14,,,0.41
2024-04-25 19:49:54,1.16.3,PRexp,10,3.81,,17,Left,Left,100,2,15,14,,,0.27
2024-04-25 19:49:55,1.16.3,PRexp,10,3.8,,17,Left,Left,101,2,15,14,,,0.23
2024-04-25 19:50:00,1.16.3,PRexp,10,3.81,,17,Left,Left,102,2,15,14,,,0.42
2024-04-25 19:50:03,1.16.3,PRexp,10,3.8,,17,Left,Left,103,2,15,14,,,0.47
2024-04-25 19:50:06,1.16.3,PRexp,10,3.8,,17,Left,Left,104,2,15,14,,,0.44
2024-04-25 19:50:11,1.16.3,PRexp,10,3.8,,17,Left,Left,105,2,15,14,,,0.29
2024-04-25 19:50:12,1.16.3,PRexp,10,3.81,,17,Left,Left,106,2,15,14,,,0.28
2024-04-25 19:50:15,1.16.3,PRexp,10,3.8,,17,Left,Left,107,2,15,14,,,0.33
2024-04-25 19:50:17,1.16.3,PRexp,10,3.8,,17,Left,Left,108,2,15,14,,,0.22
2024-04-25 19:50:19,1.16.3,PRexp,10,3.81,,17,Left,Left,109,2,15,14,,,0.26
2024-04-25 19:50:20,1.16.3,PRexp,10,3.8,,17,LeftDuringDispense,Left,110,2,15,15,,,0.07
2024-04-25 19:50:23,1.16.3,PRexp,10,3.8,2.0,17,Pellet,Left,110,2,16,15,0.27,576.0,
2024-04-25 19:52:59,1.16.3,PRexp,10,3.8,,20,Left,Left,111,2,16,15,,,0.05
2024-04-25 19:54:51,1.16.3,PRexp,10,3.8,,20,Right,Left,111,3,16,15,,,0.66
2024-04-25 19:54:52,1.16.3,PRexp,10,3.8,,20,Left,Left,112,3,16,15,,,0.15
2024-04-25 19:54:54,1.16.3,PRexp,10,3.81,,20,Left,Left,113,3,16,15,,,0.26
2024-04-25 19:54:55,1.16.3,PRexp,10,3.8,,20,Left,Left,114,3,16,15,,,0.19
2024-04-25 19:54:57,1.16.3,PRexp,10,3.81,,20,Left,Left,115,3,16,15,,,0.18
2024-04-25 19:54:59,1.16.3,PRexp,10,3.81,,20,Left,Left,116,3,16,15,,,0.29
2024-04-25 19:55:02,1.16.3,PRexp,10,3.8,,20,Left,Left,117,3,16,15,,,0.14
2024-04-25 19:55:04,1.16.3,PRexp,10,3.81,,20,Left,Left,118,3,16,15,,,0.13
2024-04-25 19:55:10,1.16.3,PRexp,10,3.81,,20,Left,Left,119,3,16,15,,,0.0
2024-04-25 19:55:11,1.16.3,PRexp,10,3.8,,20,Left,Left,120,3,16,15,,,0.03
2024-04-25 19:55:14,1.16.3,PRexp,10,3.8,,20,Left,Left,121,3,16,15,,,0.25
2024-04-25 19:55:18,1.16.3,PRexp,10,3.8,,20,Left,Left,122,3,16,15,,,0.9
2024-04-25 19:55:20,1.16.3,PRexp,10,3.81,,20,Left,Left,123,3,16,15,,,0.29
2024-04-25 19:55:21,1.16.3,PRexp,10,3.8,,20,Left,Left,124,3,16,15,,,0.27
2024-04-25 19:55:24,1.16.3,PRexp,10,3.81,,20,Left,Left,125,3,16,15,,,0.2
2024-04-25 19:55:25,1.16.3,PRexp,10,3.81,,20,Left,Left,126,3,16,15,,,0.18
2024-04-25 19:55:28,1.16.3,PRexp,10,3.8,,20,Left,Left,127,3,16,15,,,0.35
2024-04-25 19:55:29,1.16.3,PRexp,10,3.8,,20,Left,Left,128,3,16,15,,,0.44
2024-04-25 19:55:30,1.16.3,PRexp,10,3.81,,20,Left,Left,129,3,16,15,,,0.12
2024-04-25 19:55:33,1.16.3,PRexp,10,3.8,,20,Left,Left,130,3,16,15,,,0.36
