MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-12-23 19:03:51,1.17.0,PRexp,4,3.72,,1,Left,Left,4812,255,315,1,,,0.6
2024-12-23 19:03:55,1.17.0,PRexp,4,3.71,2.0,1,Pellet,Left,4812,255,316,2,0.06,342.0,
2024-12-23 19:04:46,1.17.0,PRexp,4,3.72,,2,Left,Left,4813,255,316,2,,,0.34
2024-12-23 19:04:47,1.17.0,PRexp,4,3.71,,2,Left,Left,4814,255,316,2,,,0.0
2024-12-23 19:04:49,1.17.0,PRexp,4,3.72,1.0,2,Pellet,Left,4814,255,317,3,0.12,54.0,
2024-12-23 19:05:13,1.17.0,PRexp,4,3.71,,2,Left,Left,4815,255,317,3,,,0.26
2024-12-23 19:05:15,1.17.0,PRexp,4,3.72,,2,Left,Left,4816,255,317,3,,,0.54
2024-12-23 19:05:20,1.17.0,PRexp,4,3.71,3.0,2,Pellet,Left,4816,255,318,4,0.06,31.0,
2024-12-23 19:05:43,1.17.0,PRexp,4,3.72,,3,Left,Left,4817,255,318,4,,,0.29
2024-12-23 19:05:44,1.17.0,PRexp,4,3.71,,3,Left,Left,4818,255,318,4,,,0.42
2024-12-23 19:05:50,1.17.0,PRexp,4,3.72,,3,Left,Left,4819,255,318,4,,,0.34
2024-12-23 19:05:52,1.17.0,PRexp,4,3.72,1.0,3,Pellet,Left,4819,255,319,5,0.06,32.0,
2024-12-23 19:06:14,1.17.0,PRexp,4,3.72,,4,Left,Left,4820,255,319,5,,,0.56
2024-12-23 19:06:21,1.17.0,PRexp,4,3.71,,4,Left,Left,4821,255,319,5,,,0.19
2024-12-23 19:07:22,1.17.0,PRexp,4,3.71,,4,Right,Left,4821,256,319,5,,,0.09
2024-12-23 19:07:30,1.17.0,PRexp,4,3.71,,4,Left,Left,4822,256,319,5,,,0.3
2024-12-23 19:08:14,1.17.0,PRexp,4,3.72,,4,Left,Left,4823,256,319,5,,,0.22
2024-12-23 19:08:17,1.17.0,PRexp,4,3.72,1.0,4,Pellet,Left,4823,256,320,6,0.67,145.0,
2024-12-23 19:08:57,1.17.0,PRexp,4,3.71,,5,Left,Left,4824,256,320,6,,,0.5
2024-12-23 19:11:49,1.17.0,PRexp,4,3.71,,5,Left,Left,4825,256,320,6,,,0.21
2024-12-23 19:12:13,1.17.0,PRexp,4,3.71,,5,Left,Left,4826,256,320,6,,,0.3
2024-12-23 19:12:16,1.17.0,PRexp,4,3.71,,5,Left,Left,4827,256,320,6,,,0.38
2024-12-23 19:12:33,1.17.0,PRexp,4,3.72,,5,Left,Left,4828,256,320,6,,,0.33
2024-12-23 19:12:48,1.17.0,PRexp,4,3.71,2.0,5,Pellet,Left,4828,256,321,7,10.84,271.0,
2024-12-23 19:33:15,1.17.0,PRexp,4,3.71,,6,Left,Left,4829,256,321,7,,,0.68
2024-12-23 19:33:20,1.17.0,PRexp,4,3.71,,6,Left,Left,4830,256,321,7,,,0.57
2024-12-23 19:33:37,1.17.0,PRexp,4,3.72,,6,Left,Left,4831,256,321,7,,,0.24
2024-12-23 19:33:42,1.17.0,PRexp,4,3.71,,6,Left,Left,4832,256,321,7,,,0.36
2024-12-23 19:33:44,1.17.0,PRexp,4,3.72,,6,Left,Left,4833,256,321,7,,,0.37
2024-12-23 19:37:59,1.17.0,PRexp,4,3.72,,6,Left,Left,4834,256,321,7,,,0.42
2024-12-23 19:38:01,1.17.0,PRexp,4,3.71,1.0,6,Pellet,Left,4834,256,322,8,0.49,1513.0,
2024-12-23 19:40:01,1.17.0,PRexp,4,3.72,,7,Left,Left,4835,256,322,8,,,0.46
2024-12-23 19:40:04,1.17.0,PRexp,4,3.71,,7,Left,Left,4836,256,322,8,,,0.24
2024-12-23 19:40:18,1.17.0,PRexp,4,3.71,,7,Left,Left,4837,256,322,8,,,0.42
2024-12-23 19:40:34,1.17.0,PRexp,4,3.71,,7,Left,Left,4838,256,322,8,,,0.06
2024-12-23 19:40:38,1.17.0,PRexp,4,3.72,,7,Left,Left,4839,256,322,8,,,0.41
2024-12-23 19:40:39,1.17.0,PRexp,4,3.72,,7,Left,Left,4840,256,322,8,,,0.0
2024-12-23 19:46:00,1.17.0,PRexp,4,3.71,,7,Left,Left,4841,256,322,8,,,0.05
2024-12-23 19:46:03,1.17.0,PRexp,4,3.72,1.0,7,Pellet,Left,4841,256,323,9,0.18,481.0,
2024-12-23 19:46:30,1.17.0,PRexp,4,3.71,,9,Left,Left,4842,256,323,9,,,0.57
2024-12-23 19:46:31,1.17.0,PRexp,4,3.71,,9,Left,Left,4843,256,323,9,,,0.1
2024-12-23 19:46:42,1.17.0,PRexp,4,3.72,,9,Left,Left,4844,256,323,9,,,0.09
2024-12-23 19:46:43,1.17.0,PRexp,4,3.72,,9,Left,Left,4845,256,323,9,,,0.29
2024-12-23 19:46:45,1.17.0,PRexp,4,3.71,,9,Left,Left,4846,256,323,9,,,0.0
2024-12-23 19:46:52,1.17.0,PRexp,4,3.71,,9,Left,Left,4847,256,323,9,,,0.19
2024-12-23 19:46:53,1.17.0,PRexp,4,3.71,,9,Left,Left,4848,256,323,9,,,0.19
2024-12-23 19:46:57,1.17.0,PRexp,4,3.71,,9,Left,Left,4849,256,323,9,,,0.02
2024-12-23 19:47:30,1.17.0,PRexp,4,3.71,,9,Left,Left,4850,256,323,9,,,0.2
2024-12-23 19:48:02,1.17.0,PRexp,4,3.71,,9,LeftWithPellet,Left,4851,256,323,10,,,0.53
2024-12-23 19:48:05,1.17.0,PRexp,4,3.71,2.0,9,Pellet,Left,4851,256,324,10,31.06,123.0,
2024-12-23 19:48:07,1.17.0,PRexp,4,3.71,,10,Left,Left,4852,256,324,10,,,0.04
2024-12-23 19:48:12,1.17.0,PRexp,4,3.71,,10,Left,Left,4853,256,324,10,,,0.74
2024-12-23 19:48:13,1.17.0,PRexp,4,3.71,,10,Left,Left,4854,256,324,10,,,0.12
2024-12-23 19:48:15,1.17.0,PRexp,4,3.71,,10,Left,Left,4855,256,324,10,,,0.35
2024-12-23 19:49:49,1.17.0,PRexp,4,3.71,,10,Left,Left,4856,256,324,10,,,0.17
2024-12-23 19:50:42,1.17.0,PRexp,4,3.71,,10,Left,Left,4857,256,324,10,,,0.24
2024-12-23 19:52:53,1.17.0,PRexp,4,3.71,,10,Left,Left,4858,256,324,10,,,0.16
2024-12-23 19:53:27,1.17.0,PRexp,4,3.71,,10,Left,Left,4859,256,324,10,,,0.13
2024-12-23 19:55:29,1.17.0,PRexp,4,3.71,,10,Left,Left,4860,256,324,10,,,0.12
2024-12-23 19:56:14,1.17.0,PRexp,4,3.71,,10,Left,Left,4861,256,324,10,,,0.02
2024-12-23 19:56:16,1.17.0,PRexp,4,3.71,1.0,10,Pellet,Left,4861,256,325,11,0.12,491.0,
2024-12-23 19:56:33,1.17.0,PRexp,4,3.71,,12,Left,Left,4862,256,325,11,,,0.02
2024-12-23 19:56:39,1.17.0,PRexp,4,3.71,,12,Left,Left,4863,256,325,11,,,0.01
2024-12-23 19:56:42,1.17.0,PRexp,4,3.72,,12,Left,Left,4864,256,325,11,,,0.41
2024-12-23 19:56:48,1.17.0,PRexp,4,3.71,,12,Left,Left,4865,256,325,11,,,0.62
2024-12-23 19:57:03,1.17.0,PRexp,4,3.71,,12,Left,Left,4866,256,325,11,,,0.19
2024-12-23 19:57:50,1.17.0,PRexp,4,3.71,,12,Left,Left,4867,256,325,11,,,0.31
2024-12-23 19:57:52,1.17.0,PRexp,4,3.71,,12,Left,Left,4868,256,325,11,,,0.24
2024-12-23 19:57:58,1.17.0,PRexp,4,3.72,,12,Left,Left,4869,256,325,11,,,0.24
2024-12-23 19:59:52,1.17.0,PRexp,4,3.71,,12,Left,Left,4870,256,325,11,,,0.23
2024-12-23 20:00:28,1.17.0,PRexp,4,3.72,,12,Left,Left,4871,256,325,11,,,0.21
