MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-02-01 07:28:47,1.16.3,PRexp,10,3.95,,1,Left,Left,4414,115,563,0,,,0.22
2024-02-01 07:28:48,1.16.3,PRexp,10,3.95,1.0,1,Pellet,Left,4414,115,564,1,0.06,4547.0,
2024-02-01 07:29:33,1.16.3,PRexp,10,3.95,,1,Left,Left,4415,115,564,1,,,0.04
2024-02-01 07:29:34,1.16.3,PRexp,10,3.95,1.0,1,Pellet,Left,4415,115,565,2,0.06,46.0,
2024-02-01 07:30:02,1.16.3,PRexp,10,3.94,,2,Left,Left,4416,115,565,2,,,0.26
2024-02-01 07:30:03,1.16.3,PRexp,10,3.95,,2,Left,Left,4417,115,565,2,,,0.57
2024-02-01 07:30:04,1.16.3,PRexp,10,3.95,1.0,2,Pellet,Left,4417,115,566,3,0.06,30.0,
2024-02-01 07:30:27,1.16.3,PRexp,10,3.95,,2,Left,Left,4418,115,566,3,,,0.11
2024-02-01 07:30:28,1.16.3,PRexp,10,3.95,,2,Left,Left,4419,115,566,3,,,0.3
2024-02-01 07:30:33,1.16.3,PRexp,10,3.95,3.0,2,Pellet,Left,4419,115,567,4,0.06,29.0,
2024-02-01 07:30:55,1.16.3,PRexp,10,3.95,,3,Left,Left,4420,115,567,4,,,0.07
2024-02-01 07:30:56,1.16.3,PRexp,10,3.95,,3,Left,Left,4421,115,567,4,,,0.25
2024-02-01 07:30:57,1.16.3,PRexp,10,3.95,,3,Left,Left,4422,115,567,4,,,0.06
2024-02-01 07:30:58,1.16.3,PRexp,10,3.95,1.0,3,Pellet,Left,4422,115,568,5,0.06,25.0,
2024-02-01 07:31:18,1.16.3,PRexp,10,3.95,,4,Left,Left,4423,115,568,5,,,0.2
2024-02-01 07:31:20,1.16.3,PRexp,10,3.95,,4,Left,Left,4424,115,568,5,,,0.0
2024-02-01 07:31:21,1.16.3,PRexp,10,3.94,,4,Left,Left,4425,115,568,5,,,0.36
2024-02-01 07:31:22,1.16.3,PRexp,10,3.95,,4,Left,Left,4426,115,568,5,,,0.07
2024-02-01 07:31:23,1.16.3,PRexp,10,3.94,1.0,4,Pellet,Left,4426,115,569,6,0.06,25.0,
2024-02-01 07:31:44,1.16.3,PRexp,10,3.95,,5,Left,Left,4427,115,569,6,,,0.09
2024-02-01 07:31:45,1.16.3,PRexp,10,3.95,,5,Left,Left,4428,115,569,6,,,0.13
2024-02-01 07:31:46,1.16.3,PRexp,10,3.94,,5,Left,Left,4429,115,569,6,,,0.1
2024-02-01 07:31:47,1.16.3,PRexp,10,3.95,,5,Left,Left,4430,115,569,6,,,0.17
