MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-12-24 07:15:17,1.16.3,PRexp,10,3.92,,1,Left,Left,5234,391,468,0,,,0.2
2024-12-24 07:15:20,1.16.3,PRexp,10,3.92,3.0,1,Pellet,Left,5234,391,469,1,0.18,3637.0,
2024-12-24 07:15:43,1.16.3,PRexp,10,3.91,,1,Left,Left,5235,391,469,1,,,0.09
2024-12-24 07:15:44,1.16.3,PRexp,10,3.91,1.0,1,Pellet,Left,5235,391,470,2,0.06,24.0,
2024-12-24 07:16:01,1.16.3,PRexp,10,3.91,,2,Left,Left,5236,391,470,2,,,0.11
2024-12-24 07:16:02,1.16.3,PRexp,10,3.91,,2,Left,Left,5237,391,470,2,,,0.3
2024-12-24 07:16:03,1.16.3,PRexp,10,3.91,1.0,2,Pellet,Left,5237,391,471,3,0.12,19.0,
2024-12-24 07:16:23,1.16.3,PRexp,10,3.92,,2,Left,Left,5238,391,471,3,,,0.06
2024-12-24 07:16:24,1.16.3,PRexp,10,3.91,,2,Left,Left,5239,391,471,3,,,0.1
2024-12-24 07:16:25,1.16.3,PRexp,10,3.91,2.0,2,Pellet,Left,5239,391,472,4,0.06,22.0,
2024-12-24 07:16:48,1.16.3,PRexp,10,3.91,,3,Left,Left,5240,391,472,4,,,0.1
2024-12-24 07:16:50,1.16.3,PRexp,10,3.92,,3,Left,Left,5241,391,472,4,,,0.11
2024-12-24 07:16:51,1.16.3,PRexp,10,3.92,,3,Left,Left,5242,391,472,4,,,0.23
2024-12-24 07:16:52,1.16.3,PRexp,10,3.91,2.0,3,Pellet,Left,5242,391,473,5,0.06,26.0,
2024-12-24 07:17:36,1.16.3,PRexp,10,3.91,,4,Left,Left,5243,391,473,5,,,0.04
