Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5869,2021-06-13 07:25:59,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5017,335,518,10,,,0.0
5870,2021-06-13 07:26:00,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5018,335,518,10,,,0.09
5871,2021-06-13 07:26:01,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5019,335,518,10,,,0.13
5872,2021-06-13 07:26:03,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5020,335,518,10,,,0.33
5873,2021-06-13 07:26:04,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5021,335,518,10,,,0.23
5874,2021-06-13 07:26:06,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5022,335,518,10,,,0.27
5875,2021-06-13 07:26:07,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5023,335,518,10,,,0.2
5876,2021-06-13 07:26:09,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5024,335,518,10,,,0.13
5877,2021-06-13 07:26:10,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5025,335,518,10,,,0.09
5878,2021-06-13 07:26:11,1.8.1,yhc210607,2,3.68,1,10,Left,Left,5026,335,518,10,,,0.61
5879,2021-06-13 07:26:13,1.8.1,yhc210607,2,3.68,1,10,Pellet,Left,5026,335,519,11,0.42,1690.0,
5880,2021-06-13 07:26:49,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5027,335,519,11,,,0.12
5881,2021-06-13 07:26:50,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5028,335,519,11,,,0.03
5882,2021-06-13 07:26:51,1.8.1,yhc210607,2,3.69,1,12,Left,Left,5029,335,519,11,,,0.0
5883,2021-06-13 07:26:53,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5030,335,519,11,,,0.18
5884,2021-06-13 07:26:54,1.8.1,yhc210607,2,3.67,1,12,Left,Left,5031,335,519,11,,,0.11
5885,2021-06-13 07:26:56,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5032,335,519,11,,,0.55
5886,2021-06-13 07:26:57,1.8.1,yhc210607,2,3.69,1,12,Left,Left,5033,335,519,11,,,0.14
5887,2021-06-13 07:26:57,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5034,335,519,11,,,0.2
5888,2021-06-13 07:26:59,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5035,335,519,11,,,0.02
5889,2021-06-13 07:27:01,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5036,335,519,11,,,0.66
5890,2021-06-13 07:27:02,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5037,335,519,11,,,0.37
5891,2021-06-13 07:27:03,1.8.1,yhc210607,2,3.68,1,12,Left,Left,5038,335,519,11,,,0.21
5892,2021-06-13 07:27:04,1.8.1,yhc210607,2,3.68,1,12,Pellet,Left,5038,335,520,12,0.24,51.0,
5893,2021-06-13 07:27:39,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5039,335,520,12,,,0.15
5894,2021-06-13 07:27:40,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5040,335,520,12,,,0.26
5895,2021-06-13 07:27:41,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5041,335,520,12,,,0.0
5896,2021-06-13 07:27:43,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5042,335,520,12,,,0.5
5897,2021-06-13 07:27:45,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5043,335,520,12,,,0.0
5898,2021-06-13 07:27:46,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5044,335,520,12,,,0.19
5899,2021-06-13 07:27:56,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5045,335,520,12,,,0.03
5900,2021-06-13 07:27:57,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5046,335,520,12,,,0.06
5901,2021-06-13 07:27:58,1.8.1,yhc210607,2,3.69,1,13,Left,Left,5047,335,520,12,,,0.34
5902,2021-06-13 07:28:00,1.8.1,yhc210607,2,3.67,1,13,Left,Left,5048,335,520,12,,,0.28
5903,2021-06-13 07:28:03,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5049,335,520,12,,,0.07
5904,2021-06-13 07:28:05,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5050,335,520,12,,,0.46
5905,2021-06-13 07:28:07,1.8.1,yhc210607,2,3.68,1,13,Left,Left,5051,335,520,12,,,0.0
