MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-01-11 07:00:48,1.16.3,PRexp,3,4.05,,45,Left,Left,5844,234,324,22,,,0.24
2024-01-11 07:39:01,1.16.3,PRexp,3,4.05,,1,Left,Left,5845,234,324,0,,,0.05
2024-01-11 07:39:02,1.16.3,PRexp,3,4.04,1.0,1,Pellet,Left,5845,234,325,1,0.54,3292.0,
2024-01-11 07:39:20,1.16.3,PRexp,3,4.04,,1,Left,Left,5846,234,325,1,,,0.04
2024-01-11 07:39:23,1.16.3,PRexp,3,4.04,2.0,1,Pellet,Left,5846,234,326,2,0.41,21.0,
2024-01-11 07:39:40,1.16.3,PRexp,3,4.05,,2,Left,Left,5847,234,326,2,,,0.23
2024-01-11 07:39:45,1.16.3,PRexp,3,4.04,,2,Left,Left,5848,234,326,2,,,0.26
2024-01-11 07:39:46,1.16.3,PRexp,3,4.04,1.0,2,Pellet,Left,5848,234,327,3,0.88,23.0,
2024-01-11 07:40:01,1.16.3,PRexp,3,4.04,,2,Left,Left,5849,234,327,3,,,0.03
2024-01-11 07:40:04,1.16.3,PRexp,3,4.04,,2,Left,Left,5850,234,327,3,,,0.23
2024-01-11 07:40:06,1.16.3,PRexp,3,4.05,1.0,2,Pellet,Left,5850,234,328,4,0.34,19.0,
2024-01-11 07:40:20,1.16.3,PRexp,3,4.05,,3,Left,Left,5851,234,328,4,,,0.08
2024-01-11 07:40:23,1.16.3,PRexp,3,4.04,,3,Left,Left,5852,234,328,4,,,0.16
2024-01-11 07:40:25,1.16.3,PRexp,3,4.05,,3,Left,Left,5853,234,328,4,,,0.04
2024-01-11 07:40:31,1.16.3,PRexp,3,4.05,3.0,3,Pellet,Left,5853,234,329,5,0.61,26.0,
2024-01-11 07:40:50,1.16.3,PRexp,3,4.05,,4,Left,Left,5854,234,329,5,,,0.09
2024-01-11 07:40:52,1.16.3,PRexp,3,4.05,,4,Left,Left,5855,234,329,5,,,0.14
2024-01-11 07:40:54,1.16.3,PRexp,3,4.04,,4,Left,Left,5856,234,329,5,,,0.22
2024-01-11 07:40:55,1.16.3,PRexp,3,4.04,,4,Left,Left,5857,234,329,5,,,0.14
2024-01-11 07:40:56,1.16.3,PRexp,3,4.04,1.0,4,Pellet,Left,5857,234,330,6,0.41,25.0,
2024-01-11 07:41:21,1.16.3,PRexp,3,4.04,,5,Left,Left,5858,234,330,6,,,0.0
2024-01-11 07:41:22,1.16.3,PRexp,3,4.04,,5,Left,Left,5859,234,330,6,,,0.18
2024-01-11 07:41:24,1.16.3,PRexp,3,4.05,,5,Left,Left,5860,234,330,6,,,0.17
2024-01-11 07:41:27,1.16.3,PRexp,3,4.04,,5,Left,Left,5861,234,330,6,,,0.09
2024-01-11 07:41:29,1.16.3,PRexp,3,4.05,,5,Left,Left,5862,234,330,6,,,0.12
2024-01-11 07:41:30,1.16.3,PRexp,3,4.05,1.0,5,Pellet,Left,5862,234,331,7,0.47,34.0,
2024-01-11 07:41:53,1.16.3,PRexp,3,4.04,,6,Left,Left,5863,234,331,7,,,0.07
2024-01-11 07:41:54,1.16.3,PRexp,3,4.04,,6,Left,Left,5864,234,331,7,,,0.09
2024-01-11 07:41:56,1.16.3,PRexp,3,4.05,,6,Left,Left,5865,234,331,7,,,0.33
2024-01-11 07:41:57,1.16.3,PRexp,3,4.04,,6,Left,Left,5866,234,331,7,,,0.46
2024-01-11 07:42:07,1.16.3,PRexp,3,4.05,,6,Left,Left,5867,234,331,7,,,0.12
