MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
10/8/2024 15:38,1.17.0,PRexp,8,4,,25,Poke,Left,17406,841,1138,17,,,0.1,2 days 21:32:03.000000000,0,,1,0,1,3,PR
10/8/2024 15:38,1.17.0,PRexp,8,4,,25,Poke,Left,17407,841,1138,17,,,0.07,2 days 21:32:04.000000000,0,,1,0,1,3,PR
10/8/2024 15:38,1.17.0,PRexp,8,4,2,25,Pellet,Left,17407,841,1139,18,0.24,1947,,2 days 21:32:09.000000000,1,32.45,0,0,,3,PR
10/8/2024 15:39,1.17.0,PRexp,8,4,,28,Poke,Left,17408,841,1139,18,,,0.42,2 days 21:32:56.000000000,0,,1,0,1,3,PR
10/8/2024 15:39,1.17.0,PRexp,8,3.99,,28,Poke,Left,17409,841,1139,18,,,0,2 days 21:32:57.000000000,0,,1,0,1,3,PR
10/8/2024 15:39,1.17.0,PRexp,8,3.99,,28,Poke,Left,17410,841,1139,18,,,0.28,2 days 21:32:59.000000000,0,,1,0,1,3,PR
10/8/2024 15:39,1.17.0,PRexp,8,3.99,,28,Poke,Left,17411,841,1139,18,,,0.35,2 days 21:33:01.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17412,841,1139,18,,,0.2,2 days 21:35:46.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17413,841,1139,18,,,0.1,2 days 21:35:49.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17414,841,1139,18,,,0,2 days 21:35:50.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17415,841,1139,18,,,0.13,2 days 21:35:57.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,3.99,,28,Poke,Left,17416,841,1139,18,,,0.12,2 days 21:36:00.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,3.99,,28,Poke,Left,17417,841,1139,18,,,0,2 days 21:36:01.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17418,841,1139,18,,,0.03,2 days 21:36:03.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17419,841,1139,18,,,0.07,2 days 21:36:18.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17420,841,1139,18,,,0.21,2 days 21:36:21.000000000,0,,1,0,1,3,PR
10/8/2024 15:42,1.17.0,PRexp,8,4,,28,Poke,Left,17421,841,1139,18,,,0.37,2 days 21:36:23.000000000,0,,1,0,1,3,PR
