MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
10/8/2024 7:00,1.17.0,PRexp,12,3.94,,2,Poke,Left,31686,777,1129,3,,,0.17,0 days 14:20:54.000000000,0,,1,0,1,3,PR
10/8/2024 7:00,1.17.0,PRexp,12,3.94,,2,Poke,Left,31687,777,1129,3,,,0.34,0 days 14:20:57.000000000,0,,1,0,1,3,PR
10/8/2024 7:00,1.17.0,PRexp,12,3.95,1,2,Pellet,Left,31687,777,1130,4,0.06,53,,0 days 14:21:00.000000000,1,0.9,0,0,,3,PR
10/8/2024 7:01,1.17.0,PRexp,12,3.94,,3,Poke,Left,31688,777,1130,4,,,0.37,0 days 14:21:45.000000000,0,,1,0,1,3,PR
10/8/2024 7:01,1.17.0,PRexp,12,3.95,,3,Poke,Left,31689,777,1130,4,,,0.09,0 days 14:21:50.000000000,0,,1,0,1,3,PR
10/8/2024 7:01,1.17.0,PRexp,12,3.94,,3,Poke,Left,31690,777,1130,4,,,0.15,0 days 14:21:52.000000000,0,,1,0,1,3,PR
10/8/2024 7:01,1.17.0,PRexp,12,3.94,1,3,Pellet,Left,31690,777,1131,5,0.3,55,,0 days 14:21:54.000000000,1,0.9,0,0,,3,PR
10/8/2024 7:02,1.17.0,PRexp,12,3.95,,4,Poke,Left,31691,777,1131,5,,,0.28,0 days 14:22:45.000000000,0,,1,0,1,3,PR
10/8/2024 7:02,1.17.0,PRexp,12,3.95,,4,Poke,Left,31692,777,1131,5,,,0.31,0 days 14:22:47.000000000,0,,1,0,1,3,PR
10/8/2024 7:02,1.17.0,PRexp,12,3.95,,4,Poke,Left,31693,777,1131,5,,,0.34,0 days 14:22:51.000000000,0,,1,0,1,3,PR
10/8/2024 7:02,1.17.0,PRexp,12,3.95,,4,Poke,Left,31694,777,1131,5,,,0.22,0 days 14:22:53.000000000,0,,1,0,1,3,PR
10/8/2024 7:02,1.17.0,PRexp,12,3.94,2,4,Pellet,Left,31694,777,1132,6,9.53,73,,0 days 14:23:07.000000000,1,1.2166666666666666,0,0,,3,PR
10/8/2024 7:04,1.17.0,PRexp,12,3.94,,5,Poke,Left,31695,777,1132,6,,,0,0 days 14:24:19.000000000,0,,1,0,1,3,PR
10/8/2024 7:04,1.17.0,PRexp,12,3.95,,5,Poke,Left,31696,777,1132,6,,,0.22,0 days 14:24:21.000000000,0,,1,0,1,3,PR
10/8/2024 7:04,1.17.0,PRexp,12,3.95,,5,Poke,Left,31697,777,1132,6,,,0.5,0 days 14:24:25.000000000,0,,1,0,1,3,PR
10/8/2024 7:04,1.17.0,PRexp,12,3.95,,5,Poke,Left,31698,777,1132,6,,,0.23,0 days 14:24:27.000000000,0,,1,0,1,3,PR
10/8/2024 7:04,1.17.0,PRexp,12,3.95,,5,Poke,Left,31699,777,1132,6,,,0.18,0 days 14:24:29.000000000,0,,1,0,1,3,PR
10/8/2024 7:04,1.17.0,PRexp,12,3.95,2,5,Pellet,Left,31699,777,1133,7,0.06,84,,0 days 14:24:31.000000000,1,1.4,0,0,,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.95,,6,Poke,Left,31700,777,1133,7,,,0.35,0 days 14:25:27.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.94,,6,Poke,Left,31701,777,1133,7,,,0.25,0 days 14:25:29.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.95,,6,Poke,Left,31702,777,1133,7,,,0.26,0 days 14:25:30.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.94,,6,Poke,Left,31703,777,1133,7,,,0.39,0 days 14:25:32.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.95,,6,Poke,Left,31704,777,1133,7,,,0.28,0 days 14:25:33.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.95,,6,Poke,Left,31705,777,1133,7,,,0.11,0 days 14:25:38.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.94,1,6,Pellet,Left,31705,777,1134,8,0.12,70,,0 days 14:25:41.000000000,1,1.1666666666666667,0,0,,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.94,,7,Poke,Left,31706,777,1134,8,,,0.02,0 days 14:26:04.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.95,,7,Poke,Left,31707,777,1134,8,,,0.73,0 days 14:26:06.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.95,,7,Poke,Left,31708,777,1134,8,,,0.33,0 days 14:26:08.000000000,0,,1,0,1,3,PR
10/8/2024 7:05,1.17.0,PRexp,12,3.95,,7,Poke,Left,31709,777,1134,8,,,0.19,0 days 14:26:09.000000000,0,,1,0,1,3,PR
10/8/2024 7:06,1.17.0,PRexp,12,3.94,,7,Poke,Left,31710,777,1134,8,,,0.73,0 days 14:26:13.000000000,0,,1,0,1,3,PR
10/8/2024 7:06,1.17.0,PRexp,12,3.95,,7,Poke,Left,31711,777,1134,8,,,0.16,0 days 14:26:18.000000000,0,,1,0,1,3,PR
10/8/2024 7:06,1.17.0,PRexp,12,3.95,,7,Poke,Left,31712,777,1134,8,,,0.15,0 days 14:26:20.000000000,0,,1,0,1,3,PR
10/8/2024 7:06,1.17.0,PRexp,12,3.95,1,7,Pellet,Left,31712,777,1135,9,0.12,41,,0 days 14:26:22.000000000,1,0.6833333333333333,0,0,,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.95,,9,Poke,Left,31713,777,1135,9,,,0.4,0 days 14:27:14.000000000,0,,1,0,1,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.94,,9,Poke,Left,31714,777,1135,9,,,0.17,0 days 14:27:19.000000000,0,,1,0,1,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.95,,9,Poke,Left,31715,777,1135,9,,,0,0 days 14:27:20.000000000,0,,1,0,1,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.95,,9,Poke,Left,31716,777,1135,9,,,0,0 days 14:27:21.000000000,0,,1,0,1,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.95,,9,Poke,Left,31717,777,1135,9,,,0.14,0 days 14:27:23.000000000,0,,1,0,1,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.95,,9,Poke,Left,31718,777,1135,9,,,0.16,0 days 14:27:26.000000000,0,,1,0,1,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.95,,9,Poke,Left,31719,777,1135,9,,,0.4,0 days 14:27:28.000000000,0,,1,0,1,3,PR
10/8/2024 7:07,1.17.0,PRexp,12,3.95,,9,Poke,Left,31720,777,1135,9,,,0.13,0 days 14:27:30.000000000,0,,1,0,1,3,PR
10/8/2024 7:08,1.17.0,PRexp,12,3.94,,9,Poke,Left,31721,777,1135,9,,,0.19,0 days 14:28:14.000000000,0,,1,0,1,3,PR
10/8/2024 7:08,1.17.0,PRexp,12,3.95,1,9,Pellet,Left,31721,777,1136,10,0.12,114,,0 days 14:28:16.000000000,1,1.9,0,0,,3,PR
10/8/2024 7:12,1.17.0,PRexp,12,3.96,,10,Poke,Left,31722,777,1136,10,,,0.04,0 days 14:32:34.000000000,0,,1,0,1,3,PR
10/8/2024 7:12,1.17.0,PRexp,12,3.94,,10,Poke,Left,31723,777,1136,10,,,0.31,0 days 14:32:37.000000000,0,,1,0,1,3,PR
10/8/2024 7:12,1.17.0,PRexp,12,3.95,,10,Poke,Left,31724,777,1136,10,,,0.18,0 days 14:32:42.000000000,0,,1,0,1,3,PR
10/8/2024 7:12,1.17.0,PRexp,12,3.95,,10,Poke,Left,31725,777,1136,10,,,1.75,0 days 14:32:48.000000000,0,,1,0,1,3,PR
10/8/2024 7:12,1.17.0,PRexp,12,3.94,,10,Poke,Left,31726,777,1136,10,,,1.89,0 days 14:32:51.000000000,0,,1,0,1,3,PR
10/8/2024 7:12,1.17.0,PRexp,12,3.95,,10,Poke,Left,31727,777,1136,10,,,0.13,0 days 14:32:53.000000000,0,,1,0,1,3,PR
10/8/2024 7:12,1.17.0,PRexp,12,3.94,,10,Poke,Left,31728,777,1136,10,,,0,0 days 14:33:00.000000000,0,,1,0,1,3,PR
10/8/2024 7:53,1.17.0,PRexp,12,3.94,,1,Poke,Left,31729,777,1136,0,,,0.19,0 days 15:13:31.000000000,0,,1,0,1,3,PR
10/8/2024 7:53,1.17.0,PRexp,12,3.94,1,1,Pellet,Left,31729,777,1137,1,0.49,2718,,0 days 15:13:34.000000000,1,45.3,0,0,,3,PR
10/8/2024 7:53,1.17.0,PRexp,12,3.95,,1,Poke,Left,31730,777,1137,1,,,0.06,0 days 15:14:10.000000000,0,,1,0,1,3,PR
10/8/2024 7:53,1.17.0,PRexp,12,3.94,1,1,Pellet,Left,31730,777,1138,2,0.06,38,,0 days 15:14:12.000000000,1,0.6333333333333333,0,0,,3,PR
10/8/2024 7:54,1.17.0,PRexp,12,3.95,,2,Poke,Left,31731,777,1138,2,,,0.15,0 days 15:15:00.000000000,0,,1,0,1,3,PR
10/8/2024 7:54,1.17.0,PRexp,12,3.95,,2,Poke,Left,31732,777,1138,2,,,0.24,0 days 15:15:03.000000000,0,,1,0,1,3,PR
10/8/2024 7:54,1.17.0,PRexp,12,3.94,1,2,Pellet,Left,31732,777,1139,3,0.06,54,,0 days 15:15:06.000000000,1,0.9,0,0,,3,PR
10/8/2024 7:55,1.17.0,PRexp,12,3.94,,2,Poke,Left,31733,777,1139,3,,,0.18,0 days 15:15:42.000000000,0,,1,0,1,3,PR
10/8/2024 7:55,1.17.0,PRexp,12,3.95,,2,Poke,Left,31734,777,1139,3,,,0.14,0 days 15:15:43.000000000,0,,1,0,1,3,PR
10/8/2024 7:55,1.17.0,PRexp,12,3.94,1,2,Pellet,Left,31734,777,1140,4,0.24,40,,0 days 15:15:46.000000000,1,0.6666666666666666,0,0,,3,PR
10/8/2024 7:56,1.17.0,PRexp,12,3.94,,3,Poke,Left,31735,777,1140,4,,,0.13,0 days 15:16:33.000000000,0,,1,0,1,3,PR
10/8/2024 7:56,1.17.0,PRexp,12,3.94,,3,Poke,Left,31736,777,1140,4,,,0.25,0 days 15:16:35.000000000,0,,1,0,1,3,PR
10/8/2024 7:56,1.17.0,PRexp,12,3.95,,3,Poke,Left,31737,777,1140,4,,,0.11,0 days 15:16:36.000000000,0,,1,0,1,3,PR
10/8/2024 7:56,1.17.0,PRexp,12,3.94,1,3,Pellet,Left,31737,777,1141,5,0.06,52,,0 days 15:16:38.000000000,1,0.8666666666666667,0,0,,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.94,,4,Poke,Left,31738,777,1141,5,,,0.09,0 days 15:17:20.000000000,0,,1,0,1,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.95,,4,Poke,Left,31739,777,1141,5,,,0.14,0 days 15:17:22.000000000,0,,1,0,1,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.94,,4,Poke,Left,31740,777,1141,5,,,0.19,0 days 15:17:25.000000000,0,,1,0,1,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.94,,4,Poke,Left,31741,777,1141,5,,,0.22,0 days 15:17:27.000000000,0,,1,0,1,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.94,1,4,Pellet,Left,31741,777,1142,6,0.06,51,,0 days 15:17:29.000000000,1,0.85,0,0,,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.94,,5,Poke,Left,31742,777,1142,6,,,0.48,0 days 15:18:02.000000000,0,,1,0,1,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.94,,5,Poke,Left,31743,777,1142,6,,,0.69,0 days 15:18:05.000000000,0,,1,0,1,3,PR
10/8/2024 7:57,1.17.0,PRexp,12,3.94,,5,Poke,Left,31744,777,1142,6,,,0.36,0 days 15:18:12.000000000,0,,1,0,1,3,PR
10/8/2024 7:58,1.17.0,PRexp,12,3.95,,5,Poke,Left,31745,777,1142,6,,,0.14,0 days 15:18:13.000000000,0,,1,0,1,3,PR
10/8/2024 7:58,1.17.0,PRexp,12,3.95,,5,Poke,Left,31746,777,1142,6,,,0,0 days 15:18:15.000000000,0,,1,0,1,3,PR
10/8/2024 7:58,1.17.0,PRexp,12,3.94,1,5,Pellet,Left,31746,777,1143,7,0.06,48,,0 days 15:18:17.000000000,1,0.8,0,0,,3,PR
10/8/2024 7:58,1.17.0,PRexp,12,3.95,,6,Poke,Left,31747,777,1143,7,,,0.18,0 days 15:18:57.000000000,0,,1,0,1,3,PR
10/8/2024 7:58,1.17.0,PRexp,12,3.94,,6,Poke,Left,31748,777,1143,7,,,0.61,0 days 15:19:01.000000000,0,,1,0,1,3,PR
10/8/2024 7:58,1.17.0,PRexp,12,3.94,,6,Poke,Left,31749,777,1143,7,,,1.95,0 days 15:19:06.000000000,0,,1,0,1,3,PR
10/8/2024 7:59,1.17.0,PRexp,12,3.95,,6,Poke,Left,31750,777,1143,7,,,0.35,0 days 15:19:16.000000000,0,,1,0,1,3,PR
