MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
10/8/2024 15:49,1.16.3,PRexp,10,3.93,,4,Poke,Left,25618,1401,1290,5,,,0.01,2 days 21:33:39.000000000,0,,1,0,1,2,PR
10/8/2024 15:49,1.16.3,PRexp,10,3.93,,4,Poke,Left,25619,1401,1290,5,,,0.12,2 days 21:33:42.000000000,0,,1,0,1,2,PR
10/8/2024 15:49,1.16.3,PRexp,10,3.93,,4,Poke,Left,25619,1402,1290,5,,,0.13,2 days 21:33:53.000000000,0,,0,1,0,2,PR
10/8/2024 16:22,1.16.3,PRexp,10,3.93,,1,Poke,Left,25620,1402,1290,0,,,0.11,2 days 22:06:31.000000000,0,,1,0,1,2,PR
10/8/2024 16:22,1.16.3,PRexp,10,3.92,3,1,Pellet,Left,25620,1402,1291,1,0.18,2061,,2 days 22:06:34.000000000,1,34.35,0,0,,2,PR
10/8/2024 16:22,1.16.3,PRexp,10,3.93,,1,Poke,Left,25621,1402,1291,1,,,0.13,2 days 22:07:03.000000000,0,,1,0,1,2,PR
10/8/2024 16:22,1.16.3,PRexp,10,3.93,2,1,Pellet,Left,25621,1402,1292,2,0.67,30,,2 days 22:07:04.000000000,1,0.5,0,0,,2,PR
10/8/2024 16:23,1.16.3,PRexp,10,3.93,,2,Poke,Left,25622,1402,1292,2,,,0.51,2 days 22:07:33.000000000,0,,1,0,1,2,PR
10/8/2024 16:23,1.16.3,PRexp,10,3.93,,2,Poke,Left,25623,1402,1292,2,,,0.02,2 days 22:07:34.000000000,0,,1,0,1,2,PR
10/8/2024 16:23,1.16.3,PRexp,10,3.93,,2,Poke,Left,25624,1402,1292,3,,,0.12,2 days 22:07:34.000000000,0,,1,0,1,2,PR
10/8/2024 16:23,1.16.3,PRexp,10,3.93,4,2,Pellet,Left,25624,1402,1293,3,16.97,55,,2 days 22:07:59.000000000,1,0.9166666666666666,0,0,,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.93,,2,Poke,Left,25625,1402,1293,3,,,0.07,2 days 22:08:34.000000000,0,,1,0,1,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.92,,2,Poke,Left,25626,1402,1293,3,,,0.31,2 days 22:08:36.000000000,0,,1,0,1,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.93,2,2,Pellet,Left,25626,1402,1294,4,0.73,38,,2 days 22:08:37.000000000,1,0.6333333333333333,0,0,,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.93,,3,Poke,Left,25627,1402,1294,4,,,0.08,2 days 22:09:02.000000000,0,,1,0,1,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.93,,3,Poke,Left,25628,1402,1294,4,,,0.08,2 days 22:09:03.000000000,0,,1,0,1,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.93,,3,Poke,Left,25629,1402,1294,4,,,0.11,2 days 22:09:04.000000000,0,,1,0,1,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.93,1,3,Pellet,Left,25629,1402,1295,5,0.73,28,,2 days 22:09:05.000000000,1,0.4666666666666667,0,0,,2,PR
10/8/2024 16:24,1.16.3,PRexp,10,3.93,,4,Poke,Left,25630,1402,1295,5,,,0.04,2 days 22:09:27.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,4,Poke,Left,25631,1402,1295,5,,,0.04,2 days 22:09:28.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,4,Poke,Left,25632,1402,1295,5,,,0.12,2 days 22:09:29.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,4,Poke,Left,25633,1402,1295,5,,,0.15,2 days 22:09:31.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,2,4,Pellet,Left,25633,1402,1296,6,0.36,28,,2 days 22:09:33.000000000,1,0.4666666666666667,0,0,,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,5,Poke,Left,25634,1402,1296,6,,,0.04,2 days 22:09:53.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,5,Poke,Left,25635,1402,1296,6,,,0.02,2 days 22:09:56.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,5,Poke,Left,25636,1402,1296,6,,,0.06,2 days 22:09:57.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,5,Poke,Left,25637,1402,1296,6,,,0.06,2 days 22:09:58.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,5,Poke,Left,25638,1402,1296,6,,,0.04,2 days 22:09:59.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,1,5,Pellet,Left,25638,1402,1297,7,0.79,28,,2 days 22:10:01.000000000,1,0.4666666666666667,0,0,,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,6,Poke,Left,25639,1402,1297,7,,,0.04,2 days 22:10:24.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,6,Poke,Left,25640,1402,1297,7,,,0.04,2 days 22:10:25.000000000,0,,1,0,1,2,PR
10/8/2024 16:25,1.16.3,PRexp,10,3.93,,6,Poke,Left,25641,1402,1297,7,,,0.03,2 days 22:10:27.000000000,0,,1,0,1,2,PR
